,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
18,,,2.0,-36.5,0.9090909090909091,36.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.9090909090909091,55.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,37.0,1.0,20181110020707.0,11077.0
19,,,2.0,-36.5,0.9090909090909091,36.5,0.8333333333333334,138.5,0.9090909090909091,138.5,0.8333333333333334,55.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,34.0,0.0,20181110020710.0,11077.0
20,,,2.0,-36.5,0.9090909090909091,36.5,0.8333333333333334,138.5,0.9090909090909091,138.5,0.8333333333333334,55.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,34.0,1.0,20181110020729.0,11077.0
21,,,2.0,-36.5,0.9090909090909091,36.5,0.8333333333333334,138.5,0.8333333333333334,138.5,0.9090909090909091,55.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,25.0,1.0,20181110020738.0,11077.0
22,,,2.0,-36.5,0.8695652173913043,36.5,0.8695652173913043,137.5,0.9090909090909091,137.5,0.8333333333333334,54.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,22.0,1.0,20181110020741.0,21077.0
23,,,2.0,-36.5,0.8695652173913043,36.5,0.8695652173913043,137.5,0.9090909090909091,137.5,0.8333333333333334,54.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,22.0,0.0,20181110020742.0,21077.0
24,,,2.0,-36.5,0.8695652173913043,36.5,0.8695652173913043,137.5,0.9090909090909091,137.5,0.8333333333333334,54.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,22.0,1.0,20181110020759.0,21077.0
25,,,2.0,-36.5,0.8695652173913043,36.5,0.8695652173913043,137.5,0.9090909090909091,137.5,0.8333333333333334,54.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,21.0,1.0,20181110020759.0,21077.0
26,,,2.0,-36.5,0.8695652173913043,36.5,0.8695652173913043,137.5,0.8333333333333334,137.5,0.9090909090909091,54.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,12.0,1.0,20181110020808.0,21077.0
27,,,2.0,-36.5,0.9090909090909091,36.5,0.8333333333333334,136.5,0.8695652173913043,136.5,0.8695652173913043,55.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,4.0,1.0,20181110020816.0,21077.0
28,,,2.0,-37.5,0.8695652173913043,37.5,0.8695652173913043,138.5,0.9090909090909091,138.5,0.8333333333333334,54.0,^,2.0,2.0,6.0,18.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,18.0,3.0,1.0,20181110020817.0,21074^11077
29,,,2.0,-37.5,0.8695652173913043,37.5,0.8695652173913043,138.5,0.9090909090909091,138.5,0.8333333333333334,54.0,,2.0,2.0,6.0,18.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,18.0,2.0,1.0,20181110020818.0,11077.0
30,,,2.0,-37.5,0.8695652173913043,37.5,0.8695652173913043,138.5,0.8,138.5,0.9523809523809523,54.0,,2.0,2.0,6.0,18.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,53.0,1.0,20181110020827.0,11077.0
31,,,2.0,-37.5,0.8695652173913043,37.5,0.8695652173913043,137.5,0.8695652173913043,137.5,0.8695652173913043,54.0,,2.0,2.0,6.0,18.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,44.0,1.0,20181110020835.0,11077.0
32,,,2.0,-37.5,0.9090909090909091,37.5,0.8333333333333334,136.5,0.9090909090909091,136.5,0.8333333333333334,54.0,,2.0,2.0,6.0,18.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,37.0,1.0,20181110020843.0,11077.0
33,,,2.0,-37.5,0.8333333333333334,37.5,0.9090909090909091,136.5,0.9090909090909091,136.5,0.8333333333333334,54.0,^,2.0,2.0,6.0,19.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,37.0,1.0,20181110020843.0,21077.0
34,,,2.0,-37.5,0.8333333333333334,37.5,0.9090909090909091,136.5,0.9090909090909091,136.5,0.8333333333333334,54.0,^,2.0,2.0,6.0,19.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,37.0,1.0,20181110020848.0,21077.0
35,,,2.0,-37.5,0.8333333333333334,37.5,0.9090909090909091,136.5,0.8695652173913043,136.5,0.8695652173913043,52.0,,2.0,2.0,6.0,19.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,30.0,0.0,20181110020850.0,11077.0
36,44.0,5.0,2.0,-37.5,0.8333333333333334,37.5,0.9090909090909091,136.5,0.8695652173913043,136.5,0.8695652173913043,52.0,,2.0,2.0,6.0,19.0,1.0,7.0,1.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,30.0,0.0,20181110020852.0,11081.0
37,,,2.0,-37.5,0.8333333333333334,37.5,0.9090909090909091,136.5,0.8695652173913043,136.5,0.8695652173913043,52.0,,2.0,2.0,6.0,19.0,1.0,7.0,1.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,30.0,0.0,20181110021133.0,11077.0
38,,,2.0,-37.5,0.8333333333333334,37.5,0.9090909090909091,136.5,0.8695652173913043,136.5,0.8695652173913043,52.0,,2.0,2.0,6.0,19.0,1.0,7.0,1.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,30.0,1.0,20181110021137.0,11077.0
39,,,2.0,-39.5,0.9090909090909091,39.5,0.8333333333333334,136.5,0.8333333333333334,136.5,0.9090909090909091,53.0,,2.0,2.0,6.0,19.0,1.0,7.0,1.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,25.0,1.0,20181110021141.0,21077.0
40,,,2.0,-39.5,0.9090909090909091,39.5,0.8333333333333334,137.5,0.8695652173913043,137.5,0.8695652173913043,52.0,,2.0,2.0,6.0,19.0,1.0,7.0,1.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,16.0,1.0,20181110021150.0,21077.0
41,,,2.0,-39.5,0.9090909090909091,39.5,0.8333333333333334,137.5,0.8333333333333334,137.5,0.9090909090909091,52.0,,2.0,2.0,6.0,19.0,1.0,7.0,1.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,12.0,0.0,20181110021154.0,21077.0
42,,,2.0,-38.5,0.8333333333333334,38.5,0.9090909090909091,137.5,0.8333333333333334,137.5,0.9090909090909091,52.0,,2.0,2.0,6.0,19.0,1.0,7.0,1.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,12.0,0.0,20181110021156.0,11077.0
43,,,2.0,-38.5,0.8333333333333334,38.5,0.9090909090909091,137.5,0.8333333333333334,137.5,0.9090909090909091,52.0,,2.0,2.0,6.0,19.0,1.0,7.0,1.0,4,0.0,0.0,25.0,58.3,19.0,49.0,0,1,17.0,12.0,1.0,20181110021205.0,11077.0
