,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS
0,,,,,61.5,0.83,-61.5,0.83,167.5,0.83,167.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717154825,,
1,,,,,61.5,0.83,-61.5,0.83,167.5,0.83,167.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717160718.0,,
2,,,,,61.5,0.83,-61.5,0.83,167.5,0.83,167.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717160718.0,,
3,,,,,61.5,0.83,-61.5,0.83,167.5,0.83,167.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180717161601.0,,
4,,,,,61.5,0.83,-61.5,0.83,167.5,0.83,167.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,1~GD,0.0,0,20180717161601.0,,
5,,,,,61.5,0.83,-61.5,0.83,167.5,0.83,167.5,0.83,,,,,,,,,,,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180717161628.0,,
6,,,,,61.5,0.83,-61.5,0.83,167.5,0.83,167.5,0.83,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,59.0,1.0,20180717161628.0,1087.0,
7,,,,,61.5,0.83,-61.5,0.83,166.5,0.83,167.5,0.83,166.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,59.0,1.0,20180717161628.0,21077.0,
8,,,,,61.5,0.83,-61.5,0.83,166.5,0.83,166.5,0.83,166.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,52.0,0.0,20180717161635.0,21077.0,
9,,,,,61.5,0.83,-61.5,0.83,166.5,0.83,166.5,0.83,166.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,52.0,0.0,20180717161635.0,21077.0,
10,,,,,61.5,0.83,-61.5,0.83,166.5,0.83,166.5,0.83,166.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,52.0,0.0,20180717161636.0,21077.0,
11,,,,,61.5,0.83,-61.5,0.83,166.5,0.83,166.5,0.83,166.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,52.0,0.0,20180717161636.0,21077.0,
12,,,,,61.5,0.83,-61.5,0.83,166.5,0.83,166.5,0.83,166.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,52.0,1.0,20180717161641.0,21077.0,
13,,,,,61.5,0.83,-61.5,0.83,166.5,0.8,166.5,0.83,166.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,52.0,1.0,20180717161641.0,11077.0,
14,,,,,61.5,0.83,-61.5,0.83,166.5,0.8,166.5,0.87,166.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,44.0,1.0,20180717161649.0,11077.0,
15,,,,,61.5,0.83,-61.5,0.83,168.5,0.83,166.5,0.83,168.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,0.0,1,9.0,1~GD,44.0,1.0,20180717161649.0,11077.0,
16,,,,,61.5,0.83,-61.5,0.83,168.5,0.83,168.5,0.83,168.5,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1,9.0,1~GD,42.0,1.0,20180717161651.0,11077.0,
