,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
19,,,4.0,11.5,0.8,-11.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,^,6.0,11,33,21.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,104,0,1,2.0,23.0,1.0,20181026142955.0,21074^11077
20,,,4.0,11.5,0.8,-11.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,,6.0,11,33,21.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,104,0,1,2.0,14.0,1.0,20181026143004.0,11077.0
21,,,4.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,,6.0,11,33,21.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,104,0,1,2.0,5.0,1.0,20181026143012.0,11077.0
22,,,4.0,11.5,0.8333333333333334,-11.5,0.8333333333333334,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,,6.0,11,33,21.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,104,0,1,2.0,1.0,0.0,20181026143017.0,11077.0
23,,,4.0,10.5,0.8,-10.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,,6.0,11,33,21.0,19.0,14.0,2,2.0,6.0,6.0,79.2,87.5,115,104,0,1,2.0,1.0,0.0,20181026143034.0,21077.0
24,44.0,5.0,4.0,10.5,0.8,-10.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,,6.0,11,33,21.0,19.0,14.0,2,1.0,6.0,6.0,79.2,87.5,115,104,0,1,2.0,1.0,0.0,20181026143042.0,21081.0
25,,,4.0,10.5,0.8,-10.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,,6.0,11,33,21.0,19.0,14.0,2,1.0,6.0,6.0,79.2,87.5,115,104,0,1,2.0,1.0,0.0,20181026143148.0,21077.0
26,,,4.0,10.5,0.8,-10.5,0.8695652173913043,231.5,0.8333333333333334,231.5,0.8333333333333334,6.0,,6.0,11,33,21.0,19.0,14.0,2,1.0,6.0,6.0,79.2,87.5,115,104,0,1,2.0,1.0,1.0,20181026143157.0,21077.0
27,,,4.0,10.5,0.0,-10.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,1.0,,6.0,11,33,21.0,19.0,14.0,2,1.0,6.0,6.0,79.2,87.5,115,104,0,1,1.0,52.0,1.0,20181026143206.0,21077.0
28,,,4.0,10.5,0.0,-10.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,1.0,,6.0,11,33,21.0,19.0,14.0,2,1.0,6.0,6.0,79.2,87.5,115,104,0,1,1.0,51.0,0.0,20181026143207.0,21077.0
29,,,4.0,10.5,0.0,-10.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,1.0,^,6.0,11,33,21.0,19.0,14.0,2,1.0,7.0,6.0,79.2,87.5,115,104,0,1,1.0,51.0,0.0,20181026143229.0,11086^21077
30,,,4.0,9.5,0.0,-9.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,2.0,1:2,6.0,11,33,21.0,19.0,15.0,2,1.0,7.0,6.0,79.2,88.2,115,104,0,1,1.0,51.0,0.0,20181026143229.0,21078.0
31,,,4.0,9.5,0.0,-9.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,2.0,2:2^,6.0,11,33,21.0,19.0,16.0,2,1.0,7.0,6.0,79.2,88.9,115,106,0,1,1.0,51.0,0.0,20181026143242.0,21079^11077
32,,,4.0,9.5,0.0,-9.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,2.0,,6.0,11,33,21.0,19.0,16.0,2,1.0,7.0,6.0,79.2,88.9,115,106,0,1,1.0,51.0,0.0,20181026143243.0,11077.0
33,,,4.0,9.5,0.0,-9.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,2.0,,6.0,11,33,21.0,19.0,16.0,2,1.0,7.0,6.0,79.2,88.9,115,106,0,1,1.0,51.0,1.0,20181026143245.0,11077.0
34,,,4.0,9.5,0.0,-9.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,2.0,,6.0,11,33,21.0,19.0,16.0,2,1.0,7.0,6.0,79.2,88.9,115,106,0,1,1.0,42.0,1.0,20181026143253.0,11077.0
35,,,4.0,9.5,0.0,-9.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,1.0,,6.0,11,33,21.0,19.0,16.0,2,1.0,7.0,6.0,79.2,88.9,115,106,0,1,1.0,34.0,1.0,20181026143302.0,11077.0
36,,,4.0,8.5,0.0,-8.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,3.0,,6.0,11,33,21.0,19.0,16.0,2,1.0,7.0,6.0,79.2,88.9,115,106,0,1,1.0,33.0,1.0,20181026143303.0,21077.0
37,,,4.0,8.5,0.0,-8.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,3.0,,6.0,11,33,21.0,19.0,16.0,2,1.0,7.0,6.0,79.2,88.9,115,106,0,1,1.0,25.0,0.0,20181026143311.0,21077.0
38,,,4.0,8.5,0.0,-8.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,3.0,,6.0,11,33,21.0,19.0,16.0,2,1.0,7.0,6.0,79.2,88.9,115,106,0,1,1.0,25.0,0.0,20181026143313.0,21094.0
39,,,4.0,9.5,0.0,-9.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,1.0,,6.0,11,33,21.0,19.0,16.0,2,1.0,7.0,6.0,79.2,88.9,115,106,0,1,1.0,25.0,0.0,20181026143314.0,11077.0
40,,,4.0,9.5,0.0,-9.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,1.0,^,6.0,11,33,21.0,19.0,16.0,2,1.0,7.0,7.0,79.2,88.9,115,106,0,1,1.0,25.0,0.0,20181026143357.0,21086^11077
41,,,4.0,9.5,0.0,-9.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,1.0,1:2,6.0,11,33,21.0,19.0,16.0,2,1.0,7.0,7.0,79.2,88.9,115,106,0,1,1.0,25.0,0.0,20181026143358.0,11078.0
42,,,4.0,9.5,0.0,-9.5,0.0,231.5,0.8333333333333334,231.5,0.8333333333333334,2.0,1:2^2:2,6.0,11,33,21.0,19.0,16.0,2,1.0,7.0,7.0,76.0,88.9,115,106,0,1,1.0,25.0,0.0,20181026143409.0,11080^11078
