,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,第4节,1.5,0.8,-1.5,0.87,171.5,0.83,171.5,0.83,,,,6.0,9.0,22.0,18.0,4.0,4.0,2.0,2.0,0.0,0.0,57.1,80.0,68.0,68.0,0.0,1,7.0,36.0,0,,21077,0.0,0.0
1,,,第4节,1.5,0.8,-1.5,0.87,170.5,0.83,170.5,0.83,170.5,,,6.0,9.0,22.0,18.0,4.0,4.0,2.0,2.0,0.0,0.0,57.1,80.0,68.0,68.0,0.0,1,7.0,36.0,0,,21077,0.0,0.0
2,,,第4节,1.5,0.8,-1.5,0.87,170.5,0.83,170.5,0.83,170.5,,,6.0,9.0,22.0,18.0,4.0,4.0,2.0,2.0,0.0,0.0,57.1,80.0,68.0,68.0,0.0,1,7.0,20.0,0,,11077.0,0.0,0.0
3,,,第4节,1.5,0.87,1.5,0.8,170.5,0.83,170.5,0.83,1.5,,,6.0,9.0,22.0,18.0,4.0,4.0,2.0,2.0,0.0,0.0,57.1,80.0,68.0,68.0,0.0,1,7.0,20.0,0,,21077.0,0.0,0.0
4,,,第4节,-1.5,0.87,1.5,0.8,170.5,0.83,168.5,0.83,-1.5,,,6.0,9.0,22.0,18.0,4.0,4.0,2.0,2.0,0.0,0.0,57.1,80.0,68.0,68.0,0.0,1,7.0,20.0,0,,21077.0,0.0,0.0
5,,,第4节,-1.5,0.87,1.5,0.8,168.5,0.83,168.5,0.83,168.5,,,6.0,9.0,22.0,18.0,4.0,4.0,2.0,2.0,0.0,0.0,57.1,80.0,68.0,68.0,0.0,1,7.0,20.0,0,,21077.0,0.0,0.0
6,,,第4节,-1.5,0.87,1.5,0.8,168.5,0.83,168.5,0.83,168.5,,,6.0,9.0,22.0,18.0,4.0,4.0,2.0,2.0,1.0,0.0,57.1,80.0,68.0,68.0,0.0,1,7.0,20.0,0,,11086.0,0.0,0.0
7,,,第4节,-1.5,0.87,1.5,0.8,168.5,0.83,168.5,0.83,168.5,,,6.0,9.0,22.0,18.0,4.0,4.0,2.0,2.0,1.0,0.0,57.1,80.0,68.0,68.0,1.0,1,7.0,20.0,0,,21077.0,0.0,0.0
8,,,第4节,-1.5,0.87,1.5,0.8,168.5,0.83,168.5,0.83,168.5,,,6.0,9.0,22.0,18.0,4.0,4.0,2.0,2.0,1.0,0.0,57.1,80.0,68.0,68.0,1.0,1,7.0,20.0,0,,21077.0,0.0,0.0
9,,,第4节,-1.5,0.87,1.5,0.8,168.5,0.83,168.5,0.83,168.5,,,6.0,9.0,22.0,18.0,4.0,4.0,2.0,2.0,1.0,0.0,57.1,80.0,68.0,68.0,1.0,1,7.0,20.0,0,,21077.0,0.0,0.0
