,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
17,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,178.5,0.9090909090909091,178.5,0.7692307692307693,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,3.0,1.0,92.9,69.6,84,72,0,1,5.0,20.0,1.0,20181023004547.0,11095.0,15.0,0.006666666666666667
18,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,178.5,0.9090909090909091,178.5,0.7692307692307693,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,3.0,1.0,92.9,69.6,84,72,0,1,5.0,20.0,1.0,20181023004547.0,11077.0,15.0,0.006666666666666667
19,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,178.5,0.8695652173913043,178.5,0.8,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,3.0,1.0,92.9,69.6,84,72,0,1,5.0,20.0,1.0,20181023004552.0,21077.0,13.0,0.011111111111111112
20,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,178.5,0.8,178.5,0.8695652173913043,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,3.0,1.0,92.9,69.6,84,72,0,1,5.0,12.0,0.0,20181023004555.0,21077.0,14.0,0.01
21,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,178.5,0.8,178.5,0.8695652173913043,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,3.0,1.0,92.9,69.6,84,72,0,1,5.0,12.0,1.0,20181023004616.0,21077.0,14.0,0.01
22,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,177.5,0.8695652173913043,177.5,0.8,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,3.0,1.0,92.9,69.6,84,72,0,1,5.0,3.0,1.0,20181023004625.0,21077.0,14.0,0.01
23,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,177.5,0.8333333333333334,177.5,0.8333333333333334,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,3.0,1.0,92.9,69.6,84,72,0,1,5.0,0.0,1.0,20181023004629.0,21095.0,14.0,0.01
24,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,176.5,0.9090909090909091,176.5,0.7692307692307693,,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,3.0,1.0,92.9,69.6,84,72,0,1,4.0,51.0,1.0,20181023004638.0,11077.0,16.0,0.005
25,,,4.0,13.5,0.8333333333333334,-13.5,0.8333333333333334,176.5,0.7692307692307693,176.5,0.9090909090909091,15.0,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,3.0,1.0,92.9,69.6,84,72,0,1,4.0,43.0,1.0,20181023004646.0,11077.0,16.0,0.005
26,,,4.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,176.5,0.7142857142857143,176.5,1.0,15.0,,6.0,8.0,20.0,16.0,26.0,16,3.0,1.0,3.0,1.0,92.9,69.6,84,72,0,1,4.0,41.0,1.0,20181023004648.0,11094.0,16.0,0.005
