,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,,,,,,,0.0,1,10.0,,0.0,0,,,1.2,0.63
1,,,,第1节,,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,,1.0,,,,,0.0,1,10.0,GD,0.0,0,,1087.0,1.2,0.63
2,,,,第1节,,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,,1.0,,,,,0.0,1,10.0,GD,0.0,1.0,20180513150042.0,11077.0,1.2,0.63
3,,,,第1节,,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,,1.0,,,,,0.0,1,9.0,GD,59.0,1.0,20180513150042.0,11077.0,1.2,0.63
4,,,,第1节,,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,,1.0,,,,,0.0,1,9.0,GD,59.0,1.0,20180513150058.0,11077.0,1.2,0.63
5,,,,第1节,,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,,1.0,,,,,0.0,1,9.0,GD,43.0,1.0,20180513150058.0,11077.0,1.2,0.63
6,,,,第1节,,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,,1.0,,,,,0.0,1,9.0,GD,43.0,1.0,20180513150100.0,11077.0,1.2,0.63
7,,,,第1节,-2.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,-2.5,1.0,,,,,0.0,1,9.0,GD,43.0,1.0,20180513150100.0,21077.0,1.2,0.63
8,,,,第1节,2.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,2.5,1.0,,,,,0.0,1,9.0,GD,37.0,1.0,20180513150105.0,21077.0,1.2,0.63
9,,,,第1节,2.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,2.5,1.0,,,,,0.0,1,9.0,GD,37.0,1.0,20180513150105.0,21077.0,1.2,0.63
10,,,,第1节,2.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,2.5,1.0,,,,,0.0,1,9.0,GD,35.0,1.0,20180513150106.0,21077.0,1.2,0.63
11,,,,第1节,2.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,2.5,1.0,,,,,0.0,1,9.0,GD,35.0,1.0,20180513150106.0,21077.0,1.2,0.63
12,,,,第1节,2.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,2.5,1.0,,,,,0.0,1,9.0,GD,35.0,1.0,20180513150107.0,21077.0,1.2,0.63
13,,,,第1节,2.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,2.5,1.0,,,,,0.0,1,9.0,GD,35.0,0.0,20180513150107.0,21077.0,1.2,0.63
14,,,,第1节,2.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,2.5,1.0,,,,,0.0,1,9.0,GD,31.0,0.0,20180513150110.0,21077.0,1.2,0.63
15,,,,第1节,2.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,2.5,1.0,,,,,0.0,1,9.0,GD,31.0,0.0,20180513150110.0,11086.0,1.2,0.63
16,,,,第1节,2.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,2.5,1.0,,,,,0.0,1,9.0,GD,31.0,0.0,20180513150110.0,21077.0,1.2,0.63
17,,,,第1节,-1.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,-1.5,1.0,,1:2,,,0.0,1,9.0,GD,31.0,0.0,20180513150110.0,21078.0,1.2,0.63
18,,,,第1节,1.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,1.5,1.0,,1:2,,,0.0,1,9.0,GD,31.0,0.0,20180513150110.0,21079.0,1.2,0.63
19,,,,第1节,1.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,1.5,1.0,,2:2,1.0,0.0,0.0,1,9.0,GD,31.0,0.0,20180513150110.0,21078.0,1.2,0.63
20,,,,第1节,1.5,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,1.5,1.0,0.87,2:2,1.0,0.0,0.0,1,9.0,GD,31.0,0.0,20180513150110.0,21078.0,1.2,0.63
