,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,-1.5,0.8,1.5,0.8695652173913043,142.5,0.8333333333333334,142.5,0.8333333333333334,,,,,,0,1,4.0,33.0,0,20180913152902,11077,0.5714285714285714,1.25,
1,,,,-1.5,0.8,1.5,0.8695652173913043,142.5,0.8333333333333334,142.5,0.8333333333333334,,,,,,0,1,4.0,33.0,0,20180913152913.0,11077,0.5714285714285714,1.25,
2,,,,-1.5,0.8,1.5,0.8695652173913043,142.5,0.8333333333333334,142.5,0.8333333333333334,,,,,,0,1,4.0,33.0,0,20180913152914.0,11077,0.5714285714285714,1.25,
3,,,,-1.5,0.8,1.5,0.8695652173913043,142.5,0.8333333333333334,142.5,0.8333333333333334,,,,,,0,1,4.0,32.0,0,20180913152914.0,11077,0.5714285714285714,1.25,
4,,,,-1.5,0.8,1.5,0.8695652173913043,142.5,0.8333333333333334,142.5,0.8333333333333334,,,,,,0,1,4.0,32.0,0,20180913152920.0,11077.0,0.5714285714285714,1.25,
5,,,,-1.5,0.7692307692307693,1.5,0.9090909090909091,142.5,0.7142857142857143,142.5,1.0,,1.3,,,,0,1,4.0,23.0,0,20180913152929.0,11077.0,0.5714285714285714,1.25,
6,,,,-2.5,0.8,2.5,0.8695652173913043,142.5,0.8,142.5,1.0,,0.4166666666666667,,,,0,1,4.0,30.0,0,20180913152937.0,11077.0,0.5714285714285714,1.25,
7,,,,-2.5,0.8,2.5,0.8695652173913043,142.5,0.8,142.5,0.8695652173913043,,1.7,,,,0,1,4.0,30.0,0,20180913152938.0,21077.0,0.5714285714285714,1.25,
8,,,,-2.5,0.8,2.5,0.8695652173913043,142.5,0.8,142.5,0.8695652173913043,,1.7,,,,0,1,4.0,30.0,1.0,20180913152951.0,21077.0,0.5714285714285714,1.25,
9,,,,-2.5,0.8,2.5,0.8695652173913043,141.5,0.9090909090909091,141.5,0.7692307692307693,,1.75,,,,0,1,4.0,20.0,1.0,20180913152959.0,21077.0,0.5714285714285714,1.25,
10,,,,-2.5,0.8,2.5,0.8695652173913043,141.5,0.8,141.5,0.8695652173913043,,1.85,,,,0,1,4.0,12.0,1.0,20180913153007.0,21077.0,0.5714285714285714,1.25,
11,,,,-2.5,0.8,2.5,0.8695652173913043,141.5,0.8,141.5,0.8695652173913043,,1.85,^,,,0,1,4.0,14.0,0.0,20180913153012.0,11086^21077,0.5714285714285714,1.25,^
12,,,,-2.5,0.8,2.5,0.8695652173913043,141.5,0.8,141.5,0.8695652173913043,,1.85,^,,,0,1,4.0,13.0,0.0,20180913153030.0,11086^21077,0.5714285714285714,1.25,^
13,,,,-2.5,0.8,2.5,0.8695652173913043,141.5,0.7142857142857143,141.5,1.0,,1.85,,,,0,1,4.0,7.0,0.0,20180913153035.0,21077.0,0.5714285714285714,1.25,
14,,,,-2.5,0.8,2.5,0.8695652173913043,141.5,0.7692307692307693,141.5,0.9090909090909091,,1.85,^,,,0,1,4.0,11.0,0.0,20180913153040.0,11086^21077,0.5714285714285714,1.25,^
15,,,,-2.5,0.8,2.5,0.8695652173913043,141.5,0.7692307692307693,141.5,0.9090909090909091,,1.85,^,,,0,1,4.0,11.0,0.0,20180913153041.0,11086^21077,0.5714285714285714,1.25,^
16,,,,-2.5,0.8,3.5,0.7692307692307693,142.5,0.8333333333333334,142.5,0.8333333333333334,,2.15,1:2,,,0,1,4.0,11.0,0.0,20180913153041.0,21078.0,0.5714285714285714,1.25,
17,,,,-2.5,0.8,3.5,0.7692307692307693,142.5,0.9090909090909091,142.5,0.7692307692307693,,2.3,1:2^2:2,61.0,66.0,0,1,4.0,11.0,0.0,20180913153109.0,21079^21078,0.5714285714285714,1.25,^
18,,,,-2.5,0.8,3.5,0.8695652173913043,143.5,0.7692307692307693,143.5,0.9090909090909091,,2.65,2:2^,61.0,67.0,0,1,4.0,11.0,0.0,20180913153119.0,21079^11077,0.5714285714285714,1.25,^
19,,,,-2.5,0.8,3.5,0.8695652173913043,143.5,0.7692307692307693,143.5,0.9090909090909091,,2.65,2:2^,61.0,67.0,0,1,4.0,11.0,1.0,20180913153121.0,21079^11077,0.5714285714285714,1.25,^
20,,,,-2.5,0.8,3.5,0.8695652173913043,143.5,0.7692307692307693,143.5,0.9090909090909091,,2.65,2:2^,61.0,67.0,0,1,4.0,10.0,1.0,20180913153121.0,21079^11077,0.5714285714285714,1.25,^
21,,,,-2.5,0.8,3.5,0.8695652173913043,143.5,0.7692307692307693,143.5,0.9090909090909091,,2.65,,61.0,67.0,0,1,4.0,10.0,1.0,20180913153122.0,11077.0,0.5714285714285714,1.25,
