,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,第1节,3.5,0.8,-3.5,0.87,122.5,0.83,122.5,0.83,,,,,,,0.0,1,2.0,44.0,0,,21078,1.25,0.0,
1,,,,第1节,3.5,0.87,-2.5,0.8,122.5,0.83,122.5,0.83,-2.5,,,,,,0.0,1,2.0,44.0,0,,21078,1.25,0.0,
2,,,,第1节,2.5,0.87,-2.5,0.8,122.5,0.83,122.5,0.83,2.5,,,,,,0.0,1,2.0,44.0,0,,11094.0,1.25,0.0,"0.65,0.51"
3,,,,第1节,2.5,0.87,-2.5,0.8,122.5,0.83,122.5,0.83,2.5,,,,,,0.0,1,2.0,26.0,0,,21077.0,1.25,0.0,
4,,,,第1节,2.5,0.83,-2.5,0.83,121.5,0.83,121.5,0.83,121.5,,,,,,0.0,1,2.0,26.0,0,,21077.0,1.25,0.0,
5,,,,第1节,2.5,0.83,-2.5,0.83,121.5,0.83,121.5,0.83,121.5,,0.63,,,,0.0,1,2.0,26.0,0,,21077.0,1.25,0.0,
6,,,,第1节,2.5,0.83,-2.5,0.83,121.5,0.83,121.5,0.83,121.5,,1.2,,,,0.0,1,2.0,25.0,0,,21077.0,1.25,0.0,
7,,,,第1节,2.5,0.8,-3.5,0.87,121.5,0.83,121.5,0.83,-3.5,,1.2,,,,0.0,1,2.0,25.0,0,,21077.0,1.25,0.0,
8,,,,第1节,3.5,0.8,-3.5,0.87,121.5,0.83,121.5,0.83,3.5,,1.2,,,,0.0,1,2.0,25.0,0,,21095.0,1.25,0.0,"0.09,0.50"
9,,,,第1节,3.5,0.8,-3.5,0.87,121.5,0.83,121.5,0.83,3.5,,1.2,,,,0.0,1,2.0,7.0,0,,11077.0,1.25,0.0,
10,,,,第1节,3.5,0.8,-3.5,0.87,120.5,0.83,120.5,0.83,120.5,,1.2,,,,0.0,1,2.0,7.0,0,,11077.0,1.25,0.0,
11,,,,第1节,3.5,0.8,-3.5,0.87,120.5,0.83,120.5,0.83,120.5,,0.0,,,,0.0,1,2.0,7.0,0,,11077.0,1.25,0.0,
