,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
24,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,134.5,0.8695652173913043,134.5,0.8,17.0,1.6,,47.0,53.0,0,1,8.0,34.0,1.0,20181017123057.0,21086.0,0.625,1.2
25,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,134.5,0.8333333333333334,134.5,0.8333333333333334,17.0,1.6,,47.0,53.0,0,1,8.0,29.0,0.0,20181017123102.0,11077.0,0.625,1.2
26,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,134.5,0.8333333333333334,134.5,0.8333333333333334,17.0,1.6,,47.0,53.0,0,1,8.0,29.0,0.0,20181017123104.0,21086.0,0.625,1.2
27,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,134.5,0.8333333333333334,134.5,0.8333333333333334,17.0,1.6,,47.0,53.0,0,1,8.0,29.0,0.0,20181017123105.0,21086.0,0.625,1.2
28,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,134.5,0.8333333333333334,134.5,0.8333333333333334,17.0,1.6,,47.0,53.0,0,1,8.0,29.0,1.0,20181017123127.0,11077.0,0.625,1.2
29,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,134.5,0.8333333333333334,134.5,0.8333333333333334,17.0,1.65,,47.0,53.0,0,1,8.0,21.0,0.0,20181017123136.0,11077.0,0.625,1.2
30,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,134.5,0.8333333333333334,134.5,0.8333333333333334,17.0,1.65,,47.0,53.0,0,1,8.0,21.0,0.0,20181017123140.0,21086.0,0.625,1.2
31,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,134.5,0.8333333333333334,134.5,0.8333333333333334,17.0,1.65,,47.0,53.0,0,1,8.0,21.0,0.0,20181017123146.0,21086.0,0.625,1.2
32,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,134.5,0.8333333333333334,134.5,0.8333333333333334,17.0,1.65,,47.0,53.0,0,1,8.0,21.0,0.0,20181017123147.0,21086.0,0.625,1.2
33,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,134.5,0.8333333333333334,134.5,0.8333333333333334,17.0,1.65,,47.0,53.0,0,1,8.0,21.0,1.0,20181017123204.0,21086.0,0.625,1.2
34,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,134.5,0.8,134.5,0.8695652173913043,17.0,1.65,,47.0,53.0,0,1,8.0,12.0,1.0,20181017123213.0,11077.0,0.625,1.2
35,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,134.5,0.8,134.5,0.8695652173913043,17.0,1.2,^,50.0,53.0,0,1,8.0,7.0,1.0,20181017123217.0,11075^21077,0.625,1.2
36,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.9090909090909091,135.5,0.7692307692307693,17.0,1.2,,50.0,53.0,0,1,8.0,3.0,1.0,20181017123222.0,21077.0,0.625,1.2
37,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.9090909090909091,135.5,0.7692307692307693,17.0,1.25,,50.0,53.0,0,1,8.0,2.0,1.0,20181017123222.0,21077.0,0.625,1.2
38,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.8,135.5,0.8695652173913043,17.0,1.25,,50.0,53.0,0,1,7.0,53.0,1.0,20181017123231.0,21077.0,0.625,1.2
39,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.8,135.5,0.8695652173913043,17.0,0.7142857142857143,,50.0,53.0,0,1,7.0,46.0,1.0,20181017123239.0,11077.0,0.625,1.2
40,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.8,135.5,0.8695652173913043,16.0,0.5714285714285714,^,52.0,53.0,0,1,7.0,42.0,1.0,20181017123243.0,11074^21077,0.625,1.2
41,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.8,135.5,0.8695652173913043,16.0,0.5714285714285714,^,52.0,53.0,0,1,7.0,39.0,0.0,20181017123245.0,11074^21077,0.625,1.2
42,44.0,5.0,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.8,135.5,0.8695652173913043,16.0,0.5714285714285714,,52.0,53.0,0,1,7.0,39.0,0.0,20181017123251.0,21081.0,0.625,1.2
43,44.0,5.0,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.8,135.5,0.8695652173913043,16.0,0.5714285714285714,^,52.0,53.0,0,1,7.0,39.0,0.0,20181017123252.0,21077^21081,0.625,1.2
44,44.0,5.0,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.8333333333333334,135.5,0.8333333333333334,16.0,0.5714285714285714,^,52.0,53.0,0,1,7.0,41.0,0.0,20181017123256.0,21077^21081,0.625,1.2
45,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.8333333333333334,135.5,0.8333333333333334,16.0,0.5714285714285714,,52.0,53.0,0,1,7.0,41.0,1.0,20181017123416.0,21077.0,0.625,1.2
46,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.8333333333333334,135.5,0.8333333333333334,16.0,0.5714285714285714,,52.0,53.0,0,1,7.0,41.0,1.0,20181017123417.0,21077.0,0.625,1.2
47,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,135.5,0.9090909090909091,135.5,0.7692307692307693,16.0,0.5714285714285714,,52.0,53.0,0,1,7.0,32.0,1.0,20181017123425.0,21077.0,0.625,1.2
