,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,LA,LM,OD,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,,,,,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,10.0,0.0,0,20180911180903,01082,1.65,0.43478260869565216,
1,,,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,,,,0.45454545454545453,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,10.0,0.0,0,20180911180903,01082,1.65,0.43478260869565216,
2,,,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,,,,0.43478260869565216,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,10.0,0.0,0,20180911180903,01082,1.65,0.43478260869565216,
3,,177.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,177.5,177.5,,0.8333333333333334,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,10.0,0.0,0,20180911180903,01082,1.65,0.43478260869565216,
4,,177.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,177.5,177.5,,0.8333333333333334,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,10.0,0.0,0,20180911181056.0,01082,1.65,0.43478260869565216,
5,,177.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,177.5,177.5,,0.8333333333333334,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,10.0,0.0,1.0,20180911181056.0,11077.0,1.65,0.43478260869565216,
6,,177.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,177.5,177.5,,0.38461538461538464,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,10.0,0.0,1.0,20180911181056.0,11077.0,1.65,0.43478260869565216,
7,,176.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,176.5,176.5,,0.7692307692307693,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,51.0,1.0,20180911181104.0,11077.0,1.65,0.43478260869565216,
8,,176.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,176.5,176.5,,0.8,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,51.0,1.0,20180911181105.0,11095.0,1.65,0.43478260869565216,"0.91,0.36"
9,,176.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,176.5,176.5,,0.8,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,51.0,1.0,20180911181105.0,11095.0,1.65,0.43478260869565216,"0.91,0.36"
10,,176.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,176.5,176.5,,0.8695652173913043,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,51.0,1.0,20180911181105.0,11095.0,1.65,0.43478260869565216,"0.91,0.36"
11,,176.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,176.5,176.5,,0.8695652173913043,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,51.0,1.0,20180911181105.0,11095.0,1.65,0.43478260869565216,"0.91,0.36"
12,,176.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,176.5,176.5,,0.8695652173913043,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,51.0,1.0,20180911181105.0,21077.0,1.65,0.43478260869565216,
13,,176.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,176.5,176.5,,0.8695652173913043,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,42.0,1.0,20180911181114.0,21077.0,1.65,0.43478260869565216,
14,,176.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,176.5,176.5,,0.4166666666666667,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,42.0,1.0,20180911181114.0,21077.0,1.65,0.43478260869565216,
15,,176.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,176.5,176.5,,0.8333333333333334,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,42.0,1.0,20180911181114.0,21077.0,1.65,0.43478260869565216,
16,,176.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,176.5,176.5,,0.8333333333333334,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,42.0,1.0,20180911181114.0,21077.0,1.65,0.43478260869565216,
17,,176.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,176.5,176.5,,0.9090909090909091,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,40.0,1.0,20180911181117.0,11077.0,1.65,0.43478260869565216,
18,,176.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,176.5,176.5,,0.8333333333333334,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,40.0,1.0,20180911181117.0,11077.0,1.65,0.43478260869565216,
19,,176.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,176.5,176.5,,0.8333333333333334,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,40.0,1.0,20180911181117.0,11077.0,1.65,0.43478260869565216,
20,,175.5,-18.5,0.8333333333333334,18.5,0.8333333333333334,179.5,0.9090909090909091,179.5,0.7692307692307693,175.5,175.5,,0.8,,,,10,8,,11,23,,8,7,2,4,,0,0,,66.7,58.3,60,78,0.0,1,9.0,37.0,0.0,20180911181120.0,11077.0,1.65,0.43478260869565216,
