,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,8.5,0.8,-8.5,0.87,155.5,0.83,155.5,0.83,,0.0,1,10,0,0,20180721122124,,0.0,0.0
1,,8.5,0.8,-8.5,0.87,155.5,0.83,155.5,0.83,,0.0,1,10,0,0,20180721122124,,0.0,0.0
2,,8.5,0.8,-8.5,0.87,155.5,0.83,155.5,0.83,,0.0,1,10,0,0,20180721122124,,0.0,0.0
3,,8.5,0.83,-8.5,0.83,155.5,0.83,155.5,0.83,,0.0,1,10,0,0,20180721122124,,0.0,0.0
4,,8.5,0.8,-8.5,0.87,155.5,0.83,155.5,0.83,,0.0,1,10,0,0,20180721122124,,0.0,0.0
5,,8.5,0.83,-8.5,0.83,155.5,0.83,155.5,0.83,,0.0,1,10,0,0,20180721122124,,0.0,0.0
6,,8.5,0.8,-8.5,0.87,155.5,0.83,155.5,0.83,,0.0,1,10,0,0,20180721122124,,0.0,0.0
7,,8.5,0.83,-8.5,0.83,155.5,0.83,155.5,0.83,,0.0,1,10,0,0,20180721122124,,0.0,0.0
8,,8.5,0.8,-8.5,0.87,155.5,0.83,155.5,0.83,,0.0,1,10,0,0,20180721122124,,0.0,0.0
9,,8.5,0.83,-8.5,0.83,155.5,0.83,155.5,0.83,,0.0,1,10,0,0,20180721122124,,0.0,0.0
10,,8.5,0.8,-8.5,0.87,155.5,0.83,155.5,0.83,,0.0,1,10,0,0,20180721122124,,0.0,0.0
11,,16.5,0.83,-16.5,0.83,155.5,0.83,155.5,0.83,16.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
12,,19.5,0.8,-16.5,0.87,155.5,0.83,155.5,0.83,-16.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
13,,19.5,0.8,-19.5,0.87,155.5,0.83,155.5,0.83,19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
14,,18.5,0.83,-19.5,0.83,155.5,0.83,155.5,0.83,-19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
15,,18.5,0.87,-18.5,0.83,155.5,0.83,155.5,0.83,18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
16,,18.5,0.8,-18.5,0.8,155.5,0.83,155.5,0.83,-18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
17,,18.5,0.83,-18.5,0.87,155.5,0.83,155.5,0.83,-18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
18,,18.5,0.83,-18.5,0.83,155.5,0.83,155.5,0.83,-18.5,1.0,1,10,0,0,20180721122124,,0.0,0.0
19,,18.5,0.83,-18.5,0.83,155.5,0.83,155.5,0.83,-18.5,1.0,1,10,0,0,20180721122124,,0.0,0.0
20,,18.5,0.83,-18.5,0.83,155.5,0.83,155.5,0.83,-18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
21,,18.5,0.8,-18.5,0.87,155.5,0.83,155.5,0.83,-18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
22,,18.5,0.8,-18.5,0.87,155.5,0.83,155.5,0.83,-18.5,1.0,1,10,0,0,20180721122124,,0.0,0.0
23,,18.5,0.83,-18.5,0.83,155.5,0.83,155.5,0.83,-18.5,1.0,1,10,0,0,20180721122124,,0.0,0.0
24,,18.5,0.87,-18.5,0.8,155.5,0.83,155.5,0.83,-18.5,1.0,1,10,0,0,20180721122124,,0.0,0.0
25,,18.5,0.83,-18.5,0.83,155.5,0.83,155.5,0.83,-18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
26,,18.5,0.87,-18.5,0.8,155.5,0.83,155.5,0.83,-18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
27,,19.5,0.83,-19.5,0.83,155.5,0.83,155.5,0.83,19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
28,,18.5,0.83,-19.5,0.83,155.5,0.83,155.5,0.83,-19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
29,,18.5,0.87,-18.5,0.83,155.5,0.83,155.5,0.83,18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
30,,18.5,0.83,-18.5,0.8,155.5,0.83,155.5,0.83,-18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
31,,19.5,0.83,-19.5,0.83,155.5,0.83,155.5,0.83,19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
32,,18.5,0.8,-19.5,0.87,155.5,0.83,155.5,0.83,-19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
33,,18.5,0.83,-18.5,0.87,155.5,0.83,155.5,0.83,18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
34,,18.5,0.8,-18.5,0.83,155.5,0.83,155.5,0.83,-18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
35,,18.5,0.83,-18.5,0.87,155.5,0.83,155.5,0.83,-18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
36,,19.5,0.83,-19.5,0.83,155.5,0.83,155.5,0.83,19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
37,,18.5,0.83,-19.5,0.83,155.5,0.83,155.5,0.83,-19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
38,,18.5,0.87,-18.5,0.83,155.5,0.83,155.5,0.83,18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
39,,19.5,0.87,-18.5,0.8,155.5,0.83,155.5,0.83,-18.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
40,,19.5,0.8,-19.5,0.8,155.5,0.83,155.5,0.83,19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
41,,19.5,0.83,-19.5,0.87,155.5,0.83,155.5,0.83,-19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
42,,19.5,0.87,-19.5,0.83,155.5,0.83,155.5,0.83,-19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
43,,19.5,0.83,-19.5,0.8,155.5,0.83,155.5,0.83,-19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
44,,19.5,0.8,-19.5,0.83,155.5,0.83,155.5,0.83,-19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
45,,19.5,0.83,-19.5,0.87,155.5,0.83,155.5,0.83,-19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
46,,19.5,0.87,-19.5,0.83,155.5,0.83,155.5,0.83,-19.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
47,,20.5,0.8,-20.5,0.8,155.5,0.83,155.5,0.83,20.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
48,,20.5,0.83,-20.5,0.87,155.5,0.83,155.5,0.83,-20.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
49,,22.5,0.8,-22.5,0.83,155.5,0.83,155.5,0.83,22.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
50,,22.5,0.83,-22.5,0.87,155.5,0.83,155.5,0.83,-22.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
51,,22.5,0.8,-22.5,0.83,155.5,0.83,155.5,0.83,-22.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
52,,21.5,0.87,-21.5,0.87,155.5,0.83,155.5,0.83,21.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
53,,22.5,0.87,-21.5,0.8,155.5,0.83,155.5,0.83,-21.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
54,,22.5,0.8,-22.5,0.8,155.5,0.83,155.5,0.83,22.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
55,,21.5,0.8,-22.5,0.87,155.5,0.83,155.5,0.83,-22.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
56,,21.5,0.87,-21.5,0.87,155.5,0.83,155.5,0.83,21.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
57,,21.5,0.83,-21.5,0.8,155.5,0.83,155.5,0.83,-21.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
58,,21.5,0.87,-21.5,0.83,155.5,0.83,155.5,0.83,-21.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
59,,22.5,0.8,-22.5,0.8,155.5,0.83,155.5,0.83,22.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
60,,23.5,0.8,-22.5,0.87,155.5,0.83,155.5,0.83,-22.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
61,,23.5,0.8,-23.5,0.87,155.5,0.83,155.5,0.83,23.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
62,,22.5,0.8,-23.5,0.87,155.5,0.83,155.5,0.83,-23.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
63,,22.5,0.87,-22.5,0.87,155.5,0.83,155.5,0.83,22.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
64,,21.5,0.87,-22.5,0.8,155.5,0.83,155.5,0.83,-22.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
65,,21.5,0.83,-21.5,0.8,155.5,0.83,155.5,0.83,21.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
66,,21.5,0.87,-21.5,0.83,155.5,0.83,155.5,0.83,-21.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
67,,21.5,0.83,-21.5,0.8,155.5,0.83,155.5,0.83,-21.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
68,,20.5,0.87,-20.5,0.83,155.5,0.83,155.5,0.83,20.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
69,,21.5,0.87,-20.5,0.8,155.5,0.83,155.5,0.83,-20.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
70,,21.5,0.8,-21.5,0.8,155.5,0.83,155.5,0.83,21.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
71,,20.5,0.8,-21.5,0.87,155.5,0.83,155.5,0.83,-21.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
72,,20.5,0.87,-20.5,0.87,155.5,0.83,155.5,0.83,20.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
73,,20.5,0.83,-20.5,0.8,155.5,0.83,155.5,0.83,-20.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
74,,20.5,0.87,-20.5,0.83,155.5,0.83,155.5,0.83,-20.5,0.0,1,10,0,0,20180721122124,,0.0,0.0
