,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,21.5,0.8333333333333334,-21.5,0.8333333333333334,,,,,8,3,,16,13,,10,6,2,1,,3,2,,58.8,75.0,,66,43,0,1,3.0,46.0,0,20180917062937,21078
1,4.0,22.5,0.8,-22.5,0.8695652173913043,3.0,1:2^2:2,,,8,3,,16,13,,10,6,2,1,,3,2,66.7,58.8,75.0,,66,43,0,1,3.0,46.0,0,20180917062956.0,21080^21078
2,4.0,22.5,0.7142857142857143,-22.5,1.0,4.0,2:2^,,,8,3,,16,13,7.0,10,6,2,1,,3,2,70.0,58.8,75.0,44.0,66,44,0,1,3.0,46.0,1.0,20180917063016.0,21079^11077
3,4.0,22.5,0.7142857142857143,-22.5,1.0,4.0,2:2^,,,8,3,,16,13,7.0,10,6,2,1,,3,2,70.0,58.8,75.0,44.0,66,44,0,1,3.0,45.0,1.0,20180917063016.0,21079^11077
4,4.0,22.5,0.7142857142857143,-22.5,1.0,3.0,,,,8,3,,16,13,7.0,10,6,2,1,,3,2,70.0,58.8,75.0,44.0,66,44,0,1,3.0,36.0,1.0,20180917063025.0,11077.0
5,4.0,23.5,0.7142857142857143,-23.5,1.0,3.0,,,,8,3,17.0,16,13,7.0,10,6,2,1,,3,2,70.0,58.8,75.0,68.0,68,44,0,1,3.0,34.0,1.0,20180917063027.0,21077.0
6,4.0,23.5,0.7142857142857143,-23.5,1.0,3.0,,,,8,3,17.0,16,13,7.0,10,6,2,1,,3,2,70.0,58.8,75.0,68.0,68,44,0,1,3.0,17.0,1.0,20180917063044.0,21077.0
7,4.0,22.5,0.0,-22.5,0.0,3.0,,,,8,3,14.0,16,13,7.0,10,6,2,1,,3,2,70.0,58.8,75.0,46.0,68,46,0,1,2.0,58.0,1.0,20180917063103.0,11077.0
8,4.0,21.5,0.0,-21.5,0.0,3.0,,,,8,3,14.0,16,13,7.0,10,6,2,1,,3,2,70.0,58.8,75.0,46.0,68,46,0,1,2.0,53.0,1.0,20180917063109.0,21077.0
9,4.0,21.5,0.0,-21.5,0.0,3.0,,,,8,3,14.0,16,13,7.0,10,6,2,1,,3,2,70.0,58.8,75.0,46.0,68,46,0,1,2.0,52.0,1.0,20180917063109.0,21077.0
10,4.0,21.5,0.0,-21.5,0.0,3.0,,,,8,3,14.0,16,13,7.0,10,6,2,1,,3,2,70.0,58.8,75.0,46.0,68,46,0,1,2.0,48.0,0.0,20180917063114.0,21077.0
11,4.0,21.5,0.0,-21.5,0.0,3.0,^,1.0,,8,3,14.0,16,13,7.0,10,6,2,1,4.0,3,2,70.0,58.8,75.0,46.0,68,46,0,1,2.0,48.0,0.0,20180917063124.0,11086^21077
12,4.0,21.5,0.0,-21.5,0.0,3.0,^,1.0,,8,3,14.0,16,13,7.0,10,6,2,1,4.0,3,2,70.0,58.8,75.0,46.0,68,46,0,1,2.0,47.0,1.0,20180917063144.0,11086^21077
13,4.0,21.5,0.0,-21.5,0.0,3.0,,1.0,,8,3,14.0,16,13,7.0,10,6,2,1,4.0,3,2,70.0,58.8,75.0,46.0,68,46,0,1,2.0,47.0,1.0,20180917063145.0,21077.0
14,4.0,19.5,0.7692307692307693,-19.5,0.9090909090909091,3.0,,1.0,4.0,8,3,14.0,16,13,7.0,10,6,2,1,4.0,3,2,70.0,58.8,75.0,49.0,68,49,0,1,2.0,39.0,1.0,20180917063152.0,11077.0
15,4.0,19.5,0.7692307692307693,-19.5,0.9090909090909091,3.0,,1.0,4.0,8,3,14.0,16,13,7.0,10,6,2,1,4.0,3,2,70.0,58.8,75.0,49.0,68,49,0,1,2.0,30.0,1.0,20180917063201.0,11077.0
16,4.0,19.5,0.7692307692307693,-19.5,0.9090909090909091,3.0,,1.0,4.0,8,3,14.0,16,13,7.0,10,6,2,1,4.0,3,2,70.0,58.8,75.0,49.0,68,49,0,1,2.0,22.0,1.0,20180917063209.0,11077.0
17,4.0,20.5,0.0,-20.5,0.0,3.0,,1.0,4.0,8,3,18.0,16,13,7.0,10,6,2,1,4.0,3,2,70.0,58.8,75.0,70.0,70,49,0,1,2.0,21.0,1.0,20180917063211.0,21077.0
18,4.0,21.5,0.0,-21.5,0.0,3.0,,1.0,4.0,8,3,18.0,16,13,7.0,10,6,2,1,4.0,3,2,70.0,58.8,75.0,70.0,70,49,0,1,2.0,14.0,1.0,20180917063218.0,11077.0
19,4.0,21.5,0.0,-21.5,0.0,3.0,,1.0,4.0,8,3,18.0,16,13,7.0,10,6,2,1,4.0,3,2,70.0,58.8,75.0,70.0,70,49,0,1,2.0,5.0,1.0,20180917063226.0,11077.0
20,4.0,21.5,0.0,-21.5,0.0,3.0,,1.0,4.0,8,3,18.0,16,13,7.0,10,6,2,1,4.0,3,2,70.0,58.8,75.0,70.0,70,49,0,1,2.0,2.0,0.0,20180917063230.0,11077.0
21,4.0,21.5,0.0,-21.5,0.0,3.0,,1.0,4.0,8,3,18.0,16,13,7.0,10,6,2,1,4.0,3,2,70.0,58.8,75.0,70.0,70,49,0,1,2.0,2.0,1.0,20180917063305.0,11077.0
22,4.0,22.5,0.0,-22.5,0.0,2.0,^,1.0,4.0,8,3,19.0,16,13,7.0,10,6,2,1,4.0,3,2,70.0,58.8,75.0,72.0,72,49,0,1,1.0,54.0,1.0,20180917063313.0,11074^21077
