,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,-1.5,0.83,1.5,0.83,137.5,0.83,137.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.77,0.91
1,,,,第1节,-1.5,0.83,1.5,0.83,137.5,0.83,137.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,58.0,0,,1087.0,0.77,0.91
2,,,,第1节,-1.5,0.83,1.5,0.83,137.5,0.83,137.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,58.0,0,,21077.0,0.77,0.91
3,,,,第1节,-1.5,0.83,1.5,0.83,137.5,0.83,137.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,53.0,0,,21077.0,0.77,0.91
4,,,,第1节,-1.5,0.83,1.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,53.0,0,,21077.0,0.77,0.91
5,,,,第1节,-1.5,0.83,1.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,49.0,0,,21077.0,0.77,0.91
6,,,,第1节,-1.5,0.83,1.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,49.0,0,,21077.0,0.77,0.91
7,,,,第1节,-1.5,0.83,1.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,45.0,0,,21077.0,0.77,0.91
8,,,,第1节,-1.5,0.83,1.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,45.0,0,,21077.0,0.77,0.91
9,,,,第1节,-1.5,0.83,1.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,30.0,0,,21077.0,0.77,0.91
10,,,,第1节,-1.5,0.83,1.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,0.0,1,9.0,GD,30.0,0,,11077.0,0.77,0.91
11,,,,第1节,-1.5,0.83,1.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,,,0.0,1,9.0,GD,30.0,0,,11075.0,0.77,0.91
12,,,,第1节,-1.5,0.83,1.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,9.0,GD,30.0,0,,21077.0,0.77,0.91
13,,,,第1节,-1.5,0.83,1.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,9.0,GD,17.0,0,,21077.0,0.77,0.91
14,,,,第1节,-1.5,0.83,-1.5,0.83,135.5,0.83,135.5,0.83,-1.5,1.0,,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,9.0,GD,17.0,0,,21077.0,0.77,0.91
15,,,,第1节,1.5,0.83,-1.5,0.83,135.5,0.83,138.5,0.83,1.5,1.0,,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,9.0,GD,17.0,0,,21077.0,0.77,0.91
16,,,,第1节,1.5,0.83,-1.5,0.83,138.5,0.83,138.5,0.83,138.5,1.0,,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,9.0,GD,17.0,0,,21077.0,0.77,0.91
17,,,,第1节,1.5,0.83,-1.5,0.83,138.5,0.83,138.5,0.83,138.5,1.0,0.71,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,9.0,GD,17.0,0,,21077.0,0.77,0.91
18,,,,第1节,1.5,0.83,-1.5,0.83,138.5,0.83,138.5,0.83,138.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,8.0,GD,47.0,0,,21077.0,0.77,0.91
19,,,,第1节,1.5,0.83,-1.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,8.0,GD,47.0,0,,11077.0,0.77,0.91
20,,,,第1节,1.5,0.83,-1.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,8.0,GD,27.0,0,,21077.0,0.77,0.91
21,,,,第1节,1.5,0.83,-1.5,0.83,134.5,0.83,134.5,0.83,134.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,8.0,GD,27.0,0,,21077.0,0.77,0.91
22,,,,第1节,1.5,0.83,-1.5,0.83,134.5,0.83,134.5,0.83,134.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,8.0,GD,17.0,0,,21077.0,0.77,0.91
23,,,,第1节,1.5,0.83,-1.5,0.83,133.5,0.83,133.5,0.83,133.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,8.0,GD,17.0,0,,11077.0,0.77,0.91
24,,,,第1节,1.5,0.83,-1.5,0.83,133.5,0.83,132.5,0.83,133.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,8.0,GD,17.0,0,,11077.0,0.77,0.91
25,,,,第1节,1.5,0.83,-1.5,0.83,132.5,0.83,132.5,0.83,132.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,8.0,GD,17.0,0,,11077.0,0.77,0.91
26,,,,第1节,1.5,0.83,-1.5,0.83,132.5,0.83,132.5,0.83,132.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,8.0,GD,0.0,0,,11077.0,0.77,0.91
