,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
27,,,,第1节,1.5,0.83,-1.5,0.83,132.5,0.83,132.5,0.83,132.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,8.0,GD,0.0,0,,21077.0,0.77,0.91
28,,,,第1节,1.5,0.87,-1.5,0.8,131.5,0.83,131.5,0.83,131.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,8.0,GD,0.0,0,,11077.0,0.77,0.91
29,,,,第1节,1.5,0.87,-1.5,0.8,131.5,0.83,131.5,0.83,131.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,7.0,GD,45.0,0,,11077.0,0.77,0.91
30,,,,第1节,1.5,0.87,-1.5,0.8,131.5,0.83,131.5,0.83,131.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,7.0,GD,45.0,0,,11077.0,0.77,0.91
31,,,,第1节,1.5,0.87,-1.5,0.8,131.5,0.83,131.5,0.83,131.5,1.0,1.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,1,7.0,GD,36.0,0,,11077.0,0.77,0.91
32,,,,第1节,1.5,0.87,-1.5,0.8,131.5,0.83,131.5,0.83,131.5,1.0,1.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,3.0,0.0,1,7.0,GD,36.0,0,,11074.0,0.77,0.91
33,,,,第1节,1.5,0.87,-1.5,0.8,131.5,0.83,131.5,0.83,131.5,1.0,1.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1,7.0,GD,33.0,0,,21077.0,0.77,0.91
34,,,,第1节,1.5,0.8,-3.5,0.87,131.5,0.83,131.5,0.83,-3.5,1.0,1.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1,7.0,GD,33.0,0,,21077.0,0.77,0.91
35,,,,第1节,3.5,0.8,-3.5,0.87,131.5,0.83,133.5,0.83,3.5,1.0,1.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1,7.0,GD,33.0,0,,21077.0,0.77,0.91
36,,,,第1节,3.5,0.8,-3.5,0.87,133.5,0.83,133.5,0.83,133.5,1.0,1.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1,7.0,GD,33.0,0,,21077.0,0.77,0.91
37,,,,第1节,3.5,0.8,-3.5,0.87,133.5,0.83,133.5,0.83,133.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1,7.0,GD,33.0,0,,21077.0,0.77,0.91
38,,,,第1节,3.5,0.8,-3.5,0.87,133.5,0.83,133.5,0.83,133.5,1.0,1.25,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1,7.0,GD,3.0,0,,21077.0,0.77,0.91
39,,,,第1节,3.5,0.8,-3.5,0.87,133.5,0.83,133.5,0.83,133.5,1.0,1.25,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1,7.0,GD,3.0,0,,21077.0,0.77,0.91
40,,,,第1节,3.5,0.8,-3.5,0.87,133.5,0.83,133.5,0.83,133.5,1.0,1.25,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1,7.0,GD,4.0,0,,21077.0,0.77,0.91
41,,,,第1节,3.5,0.8,-3.5,0.87,133.5,0.83,133.5,0.83,133.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,7.0,GD,4.0,0,,11086.0,0.77,0.91
42,,,,第1节,3.5,0.8,-3.5,0.87,131.5,0.83,131.5,0.83,131.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,7.0,GD,4.0,0,,21077.0,0.77,0.91
43,,,,第1节,3.5,0.8,-3.5,0.87,131.5,0.83,131.5,0.83,131.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,7.0,GD,3.0,0,,21077.0,0.77,0.91
44,,,,第1节,3.5,0.83,-3.5,0.83,131.5,0.83,131.5,0.83,131.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,7.0,GD,3.0,0,,21077.0,0.77,0.91
45,,,,第1节,3.5,0.83,-3.5,0.83,131.5,0.83,131.5,0.83,131.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,7.0,GD,1.0,0,,21077.0,0.77,0.91
46,,,,第1节,3.5,0.83,-3.5,0.83,131.5,0.83,131.5,0.83,131.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,6.0,GD,1.0,0,,11077.0,0.77,0.91
47,,,,第1节,3.5,0.83,-3.5,0.83,131.5,0.83,131.5,0.83,131.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,6.0,GD,59.0,0,,11077.0,0.77,0.91
48,,,,第1节,3.5,0.83,-3.5,0.83,131.5,0.83,131.5,0.83,131.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,6.0,GD,59.0,0,,21077.0,0.77,0.91
49,,,,第1节,3.5,0.83,-3.5,0.83,131.5,0.83,131.5,0.83,131.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,6.0,GD,56.0,0,,21077.0,0.77,0.91
50,,,,第1节,3.5,0.8,-3.5,0.87,130.5,0.83,130.5,0.83,130.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,6.0,GD,56.0,0,,21077.0,0.77,0.91
51,,,,第1节,3.5,0.8,-3.5,0.87,130.5,0.83,130.5,0.83,130.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,6.0,GD,55.0,0,,21077.0,0.77,0.91
52,,,,第1节,3.5,0.87,-1.5,0.8,130.5,0.83,130.5,0.83,-1.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,6.0,GD,55.0,0,,21077.0,0.77,0.91
53,,,,第1节,1.5,0.87,-1.5,0.8,130.5,0.83,133.5,0.83,1.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,6.0,GD,55.0,0,,21077.0,0.77,0.91
54,,,,第1节,1.5,0.87,-1.5,0.8,133.5,0.83,133.5,0.83,133.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,6.0,GD,55.0,0,,21077.0,0.77,0.91
55,,,,第1节,1.5,0.87,-1.5,0.8,133.5,0.83,133.5,0.83,133.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,6.0,GD,55.0,0,,21074.0,0.77,0.91
56,,,,第1节,1.5,0.87,-1.5,0.8,133.5,0.83,133.5,0.83,133.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,0.0,5.0,0.0,1,6.0,GD,52.0,0,,11077.0,0.77,0.91
57,,,,第1节,1.5,0.87,-1.5,0.8,133.5,0.83,133.5,0.83,133.5,1.0,1.25,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,2.0,5.0,0.0,1,6.0,GD,52.0,0,,11077.0,0.77,0.91
58,,,,第1节,1.5,0.87,-1.5,0.8,133.5,0.83,133.5,0.83,133.5,1.0,0.71,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,2.0,5.0,0.0,1,6.0,GD,52.0,0,,11077.0,0.77,0.91
59,,,,第1节,1.5,0.87,-1.5,0.8,133.5,0.83,133.5,0.83,133.5,1.0,1.0,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,2.0,5.0,0.0,1,6.0,GD,32.0,0,,11077.0,0.77,0.91
60,,,,第1节,1.5,0.83,-1.5,0.83,131.5,0.83,131.5,0.83,131.5,1.0,1.0,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,2.0,5.0,0.0,1,6.0,GD,32.0,0,,21077.0,0.77,0.91
61,,,,第1节,1.5,0.83,-1.5,0.83,131.5,0.83,131.5,0.83,131.5,1.0,1.0,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,2.0,5.0,0.0,1,6.0,GD,32.0,0,,21075.0,0.77,0.91
62,,,,第1节,1.5,0.83,-1.5,0.83,131.5,0.83,131.5,0.83,131.5,1.0,1.0,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,32.0,0,,11077.0,0.77,0.91
63,,,,第1节,1.5,0.83,1.5,0.83,131.5,0.83,131.5,0.83,1.5,1.0,1.0,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,32.0,0,,11077.0,0.77,0.91
64,,,,第1节,-1.5,0.83,1.5,0.83,131.5,0.83,135.5,0.83,-1.5,1.0,1.0,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,32.0,0,,11077.0,0.77,0.91
65,,,,第1节,-1.5,0.83,1.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,1.0,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,32.0,0,,11077.0,0.77,0.91
66,,,,第1节,-1.5,0.83,1.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,1.0,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,27.0,0,,11077.0,0.77,0.91
67,,,,第1节,-1.5,0.83,1.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,0.91,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,27.0,0,,11077.0,0.77,0.91
68,,,,第1节,-1.5,0.83,1.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,0.77,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,20.0,0,,11077.0,0.77,0.91
69,,,,第1节,-1.5,0.83,1.5,0.83,133.5,0.83,133.5,0.83,133.5,1.0,0.77,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,20.0,0,,11077.0,0.77,0.91
70,,,,第1节,-1.5,0.83,1.5,0.83,133.5,0.83,133.5,0.83,133.5,1.0,0.77,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,10.0,0,,11077.0,0.77,0.91
71,,,,第1节,-1.5,0.83,1.5,0.83,133.5,0.83,133.5,0.83,133.5,1.0,1.0,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,10.0,0,,21077.0,0.77,0.91
72,,,,第1节,-1.5,0.83,1.5,0.83,133.5,0.83,133.5,0.83,133.5,1.0,0.71,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,10.0,0,,21077.0,0.77,0.91
73,,,,第1节,-1.5,0.83,1.5,0.83,133.5,0.83,133.5,0.83,133.5,1.0,0.91,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,10.0,0,,21077.0,0.77,0.91
74,,,,第1节,-1.5,0.83,1.5,0.83,133.5,0.83,133.5,0.83,133.5,1.0,0.77,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,7.0,0,,11077.0,0.77,0.91
75,,,,第1节,-1.5,0.83,1.5,0.83,133.5,0.83,133.5,0.83,133.5,1.0,0.77,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,7.0,0,,21077.0,0.77,0.91
76,,,,第1节,-1.5,0.83,1.5,0.83,133.5,0.83,133.5,0.83,133.5,1.0,0.77,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,2.0,0,,21077.0,0.77,0.91
77,,,,第1节,-1.5,0.83,1.5,0.83,133.5,0.83,133.5,0.83,133.5,1.0,1.0,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,6.0,GD,2.0,0,,21077.0,0.77,0.91
78,,,,第1节,-1.5,0.83,1.5,0.83,133.5,0.83,133.5,0.83,133.5,1.0,0.71,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,5.0,GD,49.0,0,,11077.0,0.77,0.91
79,,,,第1节,-1.5,0.83,1.5,0.83,132.5,0.83,132.5,0.83,132.5,1.0,0.71,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,5.0,GD,49.0,0,,11077.0,0.77,0.91
80,,,,第1节,-1.5,0.83,1.5,0.83,132.5,0.83,132.5,0.83,132.5,1.0,0.91,,,1.0,1.0,0.0,5.0,1.0,0.0,5.0,5.0,5.0,0.0,1,5.0,GD,49.0,0,,11077.0,0.77,0.91
81,,,,第1节,-1.5,0.83,1.5,0.83,132.5,0.83,132.5,0.83,132.5,1.0,0.77,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,5.0,5.0,0.0,1,5.0,GD,49.0,0,,11074.0,0.77,0.91
82,,,,第1节,-1.5,0.83,1.5,0.83,132.5,0.83,132.5,0.83,132.5,1.0,0.77,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,5.0,7.0,0.0,1,5.0,GD,49.0,0,,21077.0,0.77,0.91
83,,,,第1节,-1.5,0.83,1.5,0.83,132.5,0.83,132.5,0.83,132.5,1.0,0.77,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,5.0,7.0,0.0,1,5.0,GD,32.0,0,,21077.0,0.77,0.91
84,,,,第1节,-1.5,0.8,-1.5,0.87,132.5,0.83,132.5,0.83,-1.5,1.0,0.77,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,5.0,7.0,0.0,1,5.0,GD,32.0,0,,21077.0,0.77,0.91
85,,,,第1节,1.5,0.8,-1.5,0.87,132.5,0.83,133.5,0.83,1.5,1.0,0.77,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,5.0,7.0,0.0,1,5.0,GD,32.0,0,,21077.0,0.77,0.91
86,,,,第1节,1.5,0.8,-1.5,0.87,133.5,0.83,133.5,0.83,133.5,1.0,0.77,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,5.0,7.0,0.0,1,5.0,GD,32.0,0,,21077.0,0.77,0.91
87,,,,第1节,1.5,0.8,-1.5,0.87,133.5,0.83,133.5,0.83,133.5,1.0,0.8,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,5.0,7.0,0.0,1,5.0,GD,32.0,0,,21077.0,0.77,0.91
88,,,,第1节,1.5,0.8,-1.5,0.87,133.5,0.83,133.5,0.83,133.5,1.0,0.87,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,5.0,7.0,0.0,1,5.0,GD,10.0,0,,11077.0,0.77,0.91
89,,,,第1节,1.5,0.8,-1.5,0.87,132.5,0.83,132.5,0.83,132.5,1.0,0.87,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,5.0,7.0,0.0,1,5.0,GD,10.0,0,,11077.0,0.77,0.91
90,,,,第1节,1.5,0.8,-1.5,0.87,132.5,0.83,132.5,0.83,132.5,1.0,0.77,,,1.0,2.0,0.0,5.0,1.0,0.0,7.0,5.0,7.0,0.0,1,5.0,GD,10.0,0,,11077.0,0.77,0.91
91,,,,第1节,1.5,0.8,-1.5,0.87,132.5,0.83,132.5,0.83,132.5,1.0,0.91,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,7.0,0.0,1,5.0,GD,10.0,0,,11075.0,0.77,0.91
92,,,,第1节,1.5,0.8,-1.5,0.87,132.5,0.83,132.5,0.83,132.5,1.0,0.91,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,10.0,0.0,1,5.0,GD,10.0,0,,21077.0,0.77,0.91
93,,,,第1节,1.5,0.8,-1.5,0.87,132.5,0.83,132.5,0.83,132.5,1.0,0.91,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,10.0,0.0,1,4.0,GD,58.0,0,,21077.0,0.77,0.91
94,,,,第1节,1.5,0.83,-3.5,0.83,132.5,0.83,132.5,0.83,-3.5,1.0,0.91,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,10.0,0.0,1,4.0,GD,58.0,0,,21077.0,0.77,0.91
95,,,,第1节,3.5,0.83,-3.5,0.83,132.5,0.83,135.5,0.83,3.5,1.0,0.91,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,10.0,0.0,1,4.0,GD,58.0,0,,21077.0,0.77,0.91
96,,,,第1节,3.5,0.83,-3.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,0.91,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,10.0,0.0,1,4.0,GD,58.0,0,,21077.0,0.77,0.91
97,,,,第1节,3.5,0.83,-3.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,0.0,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,10.0,0.0,1,4.0,GD,58.0,0,,21077.0,0.77,0.91
98,,,,第1节,3.5,0.83,-3.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,1.25,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,10.0,0.0,1,4.0,GD,41.0,0,,21077.0,0.77,0.91
99,,,,第1节,3.5,0.83,-3.5,0.83,133.5,0.83,133.5,0.83,133.5,1.0,1.25,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,10.0,0.0,1,4.0,GD,41.0,0,,11077.0,0.77,0.91
100,,,,第1节,3.5,0.83,-3.5,0.83,133.5,0.83,133.5,0.83,133.5,1.0,0.56,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,10.0,0.0,1,4.0,GD,41.0,0,,11077.0,0.77,0.91
101,,,,第1节,3.5,0.83,-5.5,0.83,133.5,0.83,133.5,0.83,-5.5,1.0,1.3,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,10.0,0.0,1,4.0,GD,41.0,0,,11077.0,0.77,0.91
102,,,,第1节,5.5,0.83,-5.5,0.83,133.5,0.83,136.5,0.83,5.5,1.0,1.3,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,10.0,0.0,1,4.0,GD,41.0,0,,11077.0,0.77,0.91
103,,,,第1节,5.5,0.83,-5.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,1.3,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,10.0,0.0,1,4.0,GD,41.0,0,,11077.0,0.77,0.91
104,,,,第1节,5.5,0.83,-5.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,1.3,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,5.0,10.0,0.0,1,4.0,GD,31.0,0,,11077.0,0.77,0.91
105,,,,第1节,5.5,0.83,-5.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,1.3,,,3.0,2.0,0.0,5.0,1.0,0.0,13.0,5.0,10.0,0.0,1,4.0,GD,31.0,0,,11075.0,0.77,0.91
106,,,,第1节,5.5,0.83,-5.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,1.3,,,3.0,2.0,0.0,5.0,1.0,0.0,13.0,5.0,13.0,0.0,1,4.0,GD,31.0,0,,21077.0,0.77,0.91
107,,,,第1节,5.5,0.83,-5.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,0.0,,,3.0,2.0,0.0,5.0,1.0,0.0,13.0,5.0,13.0,0.0,1,4.0,GD,31.0,0,,21077.0,0.77,0.91
108,,,,第1节,5.5,0.87,-5.5,0.8,134.5,0.83,134.5,0.83,134.5,1.0,1.75,,,3.0,2.0,0.0,5.0,1.0,0.0,13.0,5.0,13.0,0.0,1,4.0,GD,31.0,0,,11077.0,0.77,0.91
109,,,,第1节,5.5,0.87,-5.5,0.8,134.5,0.83,134.5,0.83,134.5,1.0,1.75,,,3.0,2.0,0.0,5.0,1.0,0.0,13.0,5.0,13.0,0.0,1,4.0,GD,2.0,0,,11077.0,0.77,0.91
110,,,,第1节,5.5,0.87,-5.5,0.8,134.5,0.83,134.5,0.83,134.5,1.0,0.0,,,3.0,2.0,0.0,5.0,1.0,0.0,13.0,5.0,13.0,0.0,1,4.0,GD,2.0,0,,11077.0,0.77,0.91
