,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,183.5,0.8,183.5,0.8695652173913043,,,,,7.0,8.0,14.0,8.0,2.0,12.0,4.0,4.0,3.0,2.0,66.7,70.6,51.0,53.0,0,1,7.0,32.0,0,20181021134226,21077,0.38461538461538464,1.85
1,,,3.0,-3.5,0.8333333333333334,4.5,0.8333333333333334,183.5,0.8,183.5,0.8695652173913043,,,,,7.0,8.0,14.0,8.0,2.0,12.0,4.0,4.0,3.0,2.0,66.7,70.6,51.0,53.0,0,1,7.0,32.0,0,20181021134238.0,11077.0,0.38461538461538464,1.85
2,,,3.0,-3.5,0.8333333333333334,4.5,0.8333333333333334,183.5,0.8,183.5,0.8695652173913043,,,^,,7.0,8.0,14.0,8.0,2.0,12.0,4.0,4.0,3.0,3.0,66.7,70.6,51.0,53.0,0,1,7.0,32.0,0,20181021134243.0,21086^11077,0.38461538461538464,1.85
3,,,3.0,-3.5,0.8,4.5,0.8695652173913043,183.5,0.8333333333333334,183.5,0.8333333333333334,,,1:1,,7.0,8.0,14.0,8.0,2.0,12.0,4.0,4.0,3.0,3.0,66.7,70.6,51.0,53.0,0,1,7.0,32.0,0,20181021134244.0,11078.0,0.43478260869565216,1.65
4,,,3.0,-3.5,0.8333333333333334,4.5,0.8333333333333334,184.5,0.8,184.5,0.8695652173913043,,,1:1^,,7.0,8.0,14.0,8.0,3.0,12.0,4.0,4.0,3.0,3.0,75.0,70.6,52.0,53.0,0,1,7.0,32.0,0,20181021134248.0,11079^21077,0.45454545454545453,1.6
5,,,3.0,-3.5,0.8333333333333334,4.5,0.8333333333333334,184.5,0.8,184.5,0.8695652173913043,,,,,7.0,8.0,14.0,8.0,3.0,12.0,4.0,4.0,3.0,3.0,75.0,70.6,52.0,53.0,0,1,7.0,32.0,0,20181021134249.0,21077.0,0.45454545454545453,1.6
6,,,3.0,-3.5,0.8333333333333334,4.5,0.8333333333333334,184.5,0.8,184.5,0.8695652173913043,,,,,7.0,8.0,14.0,8.0,3.0,12.0,4.0,4.0,3.0,3.0,75.0,70.6,52.0,53.0,0,1,7.0,32.0,1.0,20181021134253.0,21077.0,0.45454545454545453,1.6
7,,,3.0,-3.5,0.8333333333333334,4.5,0.8333333333333334,183.5,0.8333333333333334,183.5,0.8333333333333334,,,,,7.0,8.0,14.0,8.0,3.0,12.0,4.0,4.0,3.0,3.0,75.0,70.6,52.0,53.0,0,1,7.0,26.0,0.0,20181021134259.0,21077.0,0.45454545454545453,1.6
8,,,3.0,-3.5,0.8333333333333334,4.5,0.8333333333333334,183.5,0.8333333333333334,183.5,0.8333333333333334,,,,,7.0,8.0,14.0,8.0,3.0,12.0,4.0,4.0,3.0,3.0,75.0,70.6,52.0,53.0,0,1,7.0,26.0,1.0,20181021134301.0,21077.0,0.45454545454545453,1.6
9,,,3.0,-3.5,0.8333333333333334,4.5,0.8333333333333334,183.5,0.8,183.5,0.8695652173913043,,,,,7.0,8.0,14.0,8.0,3.0,12.0,4.0,4.0,3.0,3.0,75.0,70.6,52.0,53.0,0,1,7.0,17.0,1.0,20181021134309.0,21077.0,0.45454545454545453,1.6
10,,,3.0,-2.5,0.8,2.5,0.8695652173913043,182.5,0.8333333333333334,182.5,0.8333333333333334,,,,,7.0,8.0,14.0,8.0,3.0,12.0,4.0,4.0,3.0,3.0,75.0,70.6,52.0,53.0,0,1,7.0,13.0,1.0,20181021134314.0,11077.0,0.5263157894736842,1.4
11,,,3.0,-2.5,0.8695652173913043,2.5,0.8,184.5,0.8333333333333334,184.5,0.8333333333333334,,,^,,7.0,8.0,15.0,8.0,3.0,12.0,4.0,4.0,3.0,3.0,75.0,70.6,54.0,53.0,0,1,7.0,9.0,1.0,20181021134319.0,11074^21077,0.625,1.2
12,,,3.0,-2.5,0.8695652173913043,2.5,0.8,184.5,0.8333333333333334,184.5,0.8333333333333334,,,,,7.0,8.0,15.0,8.0,3.0,12.0,4.0,4.0,3.0,3.0,75.0,70.6,54.0,53.0,0,1,7.0,8.0,0.0,20181021134319.0,21077.0,0.625,1.2
13,,,3.0,-2.5,0.8695652173913043,2.5,0.8,184.5,0.8333333333333334,184.5,0.8333333333333334,,,,,7.0,8.0,15.0,8.0,3.0,12.0,4.0,4.0,3.0,3.0,75.0,70.6,54.0,53.0,0,1,7.0,8.0,0.0,20181021134329.0,21077.0,0.625,1.2
14,,,3.0,-1.5,0.8695652173913043,1.5,0.8,184.5,0.8333333333333334,184.5,0.8333333333333334,,,,,7.0,8.0,15.0,8.0,3.0,12.0,4.0,4.0,3.0,3.0,75.0,70.6,54.0,53.0,0,1,7.0,8.0,0.0,20181021134408.0,11077.0,0.7142857142857143,1.0
15,,,3.0,-3.5,0.8333333333333334,3.5,0.8333333333333334,182.5,0.8333333333333334,182.5,0.8333333333333334,,,,,7.0,8.0,15.0,8.0,3.0,12.0,4.0,4.0,3.0,3.0,75.0,70.6,52.0,53.0,0,1,7.0,8.0,0.0,20181021134419.0,11077.0,0.45454545454545453,1.6
16,,,3.0,-2.5,0.8,2.5,0.8695652173913043,182.5,0.8333333333333334,182.5,0.8333333333333334,,,^,1.0,7.0,8.0,15.0,8.0,3.0,12.0,4.0,4.0,3.0,4.0,75.0,70.6,52.0,53.0,0,1,7.0,8.0,0.0,20181021134428.0,21086^11077,0.5263157894736842,1.4
17,,,3.0,-3.5,0.9090909090909091,3.5,0.7692307692307693,182.5,0.8695652173913043,182.5,0.8,,,1:1,1.0,7.0,8.0,15.0,8.0,4.0,12.0,4.0,4.0,3.0,4.0,80.0,70.6,52.0,53.0,0,1,7.0,8.0,0.0,20181021134428.0,11078.0,0.5,1.5
18,,,3.0,-3.5,0.9090909090909091,3.5,0.7692307692307693,182.5,0.8695652173913043,182.5,0.8,,,,1.0,7.0,8.0,15.0,8.0,4.0,12.0,4.0,4.0,3.0,4.0,80.0,70.6,52.0,53.0,0,1,7.0,8.0,0.0,20181021134432.0,21077.0,0.5,1.5
19,,,3.0,-3.5,0.9090909090909091,3.5,0.7692307692307693,182.5,0.8695652173913043,182.5,0.8,,,,1.0,7.0,8.0,15.0,8.0,4.0,12.0,4.0,4.0,3.0,4.0,80.0,70.6,52.0,53.0,0,1,7.0,8.0,1.0,20181021134441.0,21077.0,0.5,1.5
20,,,3.0,-3.5,0.9090909090909091,3.5,0.7692307692307693,182.5,0.8695652173913043,182.5,0.8,,,,1.0,7.0,8.0,15.0,8.0,4.0,12.0,4.0,4.0,3.0,4.0,80.0,70.6,52.0,53.0,0,1,6.0,59.0,1.0,20181021134449.0,21077.0,0.5,1.5
21,,,3.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,182.5,0.8333333333333334,182.5,0.8333333333333334,,,,1.0,7.0,8.0,15.0,8.0,4.0,12.0,4.0,4.0,3.0,4.0,80.0,70.6,52.0,53.0,0,1,6.0,57.0,1.0,20181021134452.0,11077.0,0.625,1.2
22,,,3.0,-2.5,0.8,2.5,0.8695652173913043,182.5,0.8333333333333334,182.5,0.8333333333333334,,,,1.0,7.0,8.0,15.0,8.0,4.0,12.0,4.0,4.0,3.0,4.0,80.0,70.6,52.0,53.0,0,1,6.0,56.0,1.0,20181021134453.0,21077.0,0.5263157894736842,1.4
23,,,3.0,-2.5,0.8,2.5,0.8695652173913043,181.5,0.8695652173913043,181.5,0.8,,,,1.0,7.0,8.0,15.0,8.0,4.0,12.0,4.0,4.0,3.0,4.0,80.0,70.6,52.0,53.0,0,1,6.0,47.0,1.0,20181021134502.0,21077.0,0.5263157894736842,1.4
24,,,3.0,-2.5,0.8,2.5,0.8695652173913043,181.5,0.8333333333333334,181.5,0.8333333333333334,,,,1.0,7.0,8.0,15.0,8.0,4.0,12.0,4.0,4.0,3.0,4.0,80.0,70.6,52.0,53.0,0,1,6.0,39.0,1.0,20181021134510.0,21077.0,0.5263157894736842,1.4
25,,,3.0,-2.5,0.8,2.5,0.8695652173913043,181.5,0.8,181.5,0.8695652173913043,,,,1.0,7.0,8.0,15.0,8.0,4.0,12.0,4.0,4.0,3.0,4.0,80.0,70.6,52.0,53.0,0,1,6.0,38.0,1.0,20181021134512.0,21095.0,0.5263157894736842,1.4
26,,,3.0,-2.5,0.8,2.5,0.8695652173913043,180.5,0.8695652173913043,180.5,0.8,,,,1.0,7.0,8.0,15.0,8.0,4.0,12.0,4.0,4.0,3.0,4.0,80.0,70.6,52.0,53.0,0,1,6.0,37.0,1.0,20181021134512.0,21077.0,0.5263157894736842,1.4
27,,,3.0,-1.5,0.7692307692307693,1.5,0.9090909090909091,180.5,0.8333333333333334,180.5,0.8333333333333334,,,,1.0,7.0,8.0,15.0,8.0,4.0,12.0,4.0,4.0,3.0,4.0,80.0,70.6,52.0,53.0,0,1,6.0,33.0,1.0,20181021134517.0,11077.0,0.625,1.2
28,,,3.0,-1.5,0.8695652173913043,1.5,0.8,182.5,0.8333333333333334,182.5,0.8333333333333334,,,^,1.0,7.0,8.0,15.0,8.0,4.0,12.0,4.0,4.0,3.0,4.0,80.0,70.6,55.0,53.0,0,1,6.0,28.0,1.0,20181021134522.0,11074^21077,0.7142857142857143,1.0
