,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
1,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
2,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
3,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
4,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
5,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
6,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
7,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
8,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
9,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
10,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
11,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
12,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
13,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
14,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
15,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
16,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
17,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
18,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
19,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
20,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
21,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
22,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
23,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
24,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0,
25,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
26,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
27,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
28,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
29,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0,
30,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,,1.0,1,10.0,GD,0.0,0,,1087.0,0.0,0.0,
31,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,2.0,,,1.0,1,10.0,GD,0.0,0,,11077.0,0.0,0.0,
32,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,1.0,,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,,,1.0,1,10.0,GD,0.0,0,,11074.0,0.0,0.0,"0.89,0.46"
33,,,,第1节,,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,,1.0,,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,1,9.0,GD,57.0,0,,21077.0,0.0,0.0,
34,,,,第1节,-10.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,-10.5,1.0,0.8,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,1,9.0,GD,57.0,0,,21077.0,0.0,0.0,
35,,,,第1节,10.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,10.5,1.0,0.87,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,1,9.0,GD,57.0,0,,21077.0,0.0,0.0,
36,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.87,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,1,9.0,GD,57.0,0,,21077.0,0.0,0.0,
