,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
37,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,1,9.0,GD,57.0,0,,21077.0,0.0,0.0,
38,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,1,9.0,GD,57.0,0,,21075.0,0.0,0.0,"0.19,0.10"
39,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,57.0,0,,11077.0,0.0,0.0,
40,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,43.0,0,,11077.0,0.0,0.0,
41,,,,第1节,-8.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,-8.5,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,43.0,0,,11077.0,0.0,0.0,
42,,,,第1节,8.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,8.5,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,43.0,0,,11077.0,0.0,0.0,
43,,,,第1节,140.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,140.5,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,43.0,0,,11077.0,0.0,0.0,
44,,,,第1节,140.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,140.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,43.0,0,,11077.0,0.0,0.0,
45,,,,第1节,140.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,140.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,29.0,0,,11077.0,0.0,0.0,
46,,,,第1节,139.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,139.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,29.0,0,,21077.0,0.0,0.0,
47,,,,第1节,139.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,139.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,29.0,0,,21077.0,0.0,0.0,
48,,,,第1节,139.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,139.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,17.0,0,,21077.0,0.0,0.0,
49,,,,第1节,139.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,139.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,17.0,0,,21094.0,0.0,0.0,"0.33,0.18"
50,,,,第1节,138.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,138.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,17.0,0,,11077.0,0.0,0.0,
51,,,,第1节,138.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,138.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,17.0,0,,11077.0,0.0,0.0,
52,,,,第1节,138.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,138.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,5.0,0,,21077.0,0.0,0.0,
53,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,5.0,0,,21077.0,0.0,0.0,
54,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,5.0,0,,21077.0,0.0,0.0,
55,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,0.0,0,,21077.0,0.0,0.0,
56,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,9.0,GD,0.0,0,,21095.0,0.0,0.0,"0.09,0.48"
57,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,8.0,GD,56.0,0,,11077.0,0.0,0.0,
58,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,8.0,GD,56.0,0,,21077.0,0.0,0.0,
59,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,8.0,GD,41.0,0,,21077.0,0.0,0.0,
60,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,8.0,GD,41.0,0,,21077.0,0.0,0.0,
61,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,8.0,GD,38.0,0,,21077.0,0.0,0.0,
62,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,8.0,GD,38.0,0,,21095.0,0.0,0.0,"0.14,0.46"
63,,,,第1节,135.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,8.0,GD,38.0,0,,11077.0,0.0,0.0,
64,,,,第1节,135.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,8.0,GD,35.0,0,,21077.0,0.0,0.0,
65,,,,第1节,-6.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,-6.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,8.0,GD,35.0,0,,21077.0,0.0,0.0,
66,,,,第1节,6.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,6.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,8.0,GD,35.0,0,,21077.0,0.0,0.0,
67,,,,第1节,138.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,138.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,8.0,GD,35.0,0,,21077.0,0.0,0.0,
68,,,,第1节,138.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,138.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,8.0,GD,35.0,0,,21075.0,0.0,0.0,"0.24,0.75"
69,,,,第1节,138.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,138.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,3.0,2.0,1.0,1,8.0,GD,35.0,0,,11077.0,0.0,0.0,
70,,,,第1节,138.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,138.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,6.0,2.0,1.0,1,8.0,GD,26.0,0,,11077.0,0.0,0.0,
71,,,,第1节,138.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,138.5,1.0,0.87,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,6.0,2.0,1.0,1,8.0,GD,26.0,0,,11077.0,0.0,0.0,
72,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.8,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,6.0,2.0,1.0,1,8.0,GD,26.0,0,,11077.0,0.0,0.0,
73,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,6.0,2.0,1.0,1,8.0,GD,26.0,0,,11077.0,0.0,0.0,
74,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,6.0,2.0,1.0,1,8.0,GD,13.0,0,,11077.0,0.0,0.0,
75,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,6.0,2.0,1.0,1,8.0,GD,13.0,0,,11095.0,0.0,0.0,"0.91,0.46"
76,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,6.0,2.0,1.0,1,8.0,GD,13.0,0,,21077.0,0.0,0.0,
77,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,6.0,2.0,1.0,1,8.0,GD,13.0,0,,21075.0,0.0,0.0,"0.08,0.06"
78,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,1.0,1,8.0,GD,13.0,0,,11077.0,0.0,0.0,
79,,,,第1节,-4.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,-4.5,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,1.0,1,8.0,GD,13.0,0,,11077.0,0.0,0.0,
80,,,,第1节,4.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,4.5,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,1.0,1,8.0,GD,13.0,0,,11077.0,0.0,0.0,
81,,,,第1节,139.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,139.5,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,1.0,1,8.0,GD,13.0,0,,11077.0,0.0,0.0,
82,,,,第1节,139.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,139.5,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,1.0,1,7.0,GD,53.0,0,,11077.0,0.0,0.0,
83,,,,第1节,139.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,139.5,1.0,0.47,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,1.0,1,7.0,GD,53.0,0,,11077.0,0.0,0.0,
84,,,,第1节,139.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,139.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,1.0,1,7.0,GD,53.0,0,,11095.0,0.0,0.0,"0.88,0.48"
85,,,,第1节,-3.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,-3.5,1.0,0.8,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,1.0,1,7.0,GD,53.0,0,,21077.0,0.0,0.0,
86,,,,第1节,3.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,3.5,1.0,0.87,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,1.0,1,7.0,GD,45.0,0,,21077.0,0.0,0.0,
87,,,,第1节,3.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,3.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,1.0,1,7.0,GD,45.0,0,,21077.0,0.0,0.0,
88,,,,第1节,3.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,3.5,1.0,1.5,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,45.0,0,,21077.0,0.0,0.0,
89,,,,第1节,3.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,3.5,1.0,1.5,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,45.0,0,,21077.0,0.0,0.0,
90,,,,第1节,3.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,3.5,1.0,1.5,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,45.0,0,,21077.0,0.0,0.0,
91,,,,第1节,3.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,3.5,1.0,1.5,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,45.0,0,,21077.0,0.0,0.0,
92,,,,第1节,3.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,3.5,1.0,1.5,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,45.0,0,,21077.0,0.0,0.0,
93,,,,第1节,3.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,3.5,1.0,1.5,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,45.0,0,,21095.0,0.0,0.0,"0.09,0.28"
94,,,,第1节,-4.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,-4.5,1.0,0.87,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,45.0,0,,11077.0,0.0,0.0,
95,,,,第1节,4.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,4.5,1.0,0.8,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,45.0,0,,11077.0,0.0,0.0,
96,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.8,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,45.0,0,,11077.0,0.0,0.0,
97,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.47,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,45.0,0,,11077.0,0.0,0.0,
98,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,26.0,0,,11077.0,0.0,0.0,
99,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,26.0,0,,11077.0,0.0,0.0,
100,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,10.0,0,,11077.0,0.0,0.0,
101,,,,第1节,137.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,137.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,10.0,0,,11095.0,0.0,0.0,"0.75,0.44"
102,,,,第1节,-3.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,-3.5,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,10.0,0,,21077.0,0.0,0.0,
103,,,,第1节,3.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,3.5,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,10.0,0,,21077.0,0.0,0.0,
104,,,,第1节,136.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,136.5,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,10.0,0,,21077.0,0.0,0.0,
105,,,,第1节,136.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,136.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,10.0,0,,21077.0,0.0,0.0,
106,,,,第1节,136.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,136.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,7.0,GD,10.0,0,,21095.0,0.0,0.0,"0.13,0.43"
107,,,,第1节,136.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,136.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,6.0,GD,55.0,0,,11077.0,0.0,0.0,
108,,,,第1节,136.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,136.5,1.0,0.8,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,6.0,GD,55.0,0,,11077.0,0.0,0.0,
109,,,,第1节,135.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,0.87,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,6.0,GD,55.0,0,,11077.0,0.0,0.0,
110,,,,第1节,135.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,0.0,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,6.0,GD,55.0,0,,11077.0,0.0,0.0,
111,,,,第1节,135.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,1.5,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,6.0,GD,49.0,0,,11077.0,0.0,0.0,
112,,,,第1节,135.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,1.5,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,6.0,GD,49.0,0,,11095.0,0.0,0.0,"0.93,0.30"
113,,,,第1节,135.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,6.0,GD,49.0,0,,21077.0,0.0,0.0,
114,,,,第1节,135.5,9.5,0.83,-9.5,0.83,135.5,0.83,135.5,0.83,135.5,1.0,0.83,,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,9.0,2.0,0.0,1,6.0,GD,49.0,0,,21077.0,0.0,0.0,
