,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,34.5,0.9090909090909091,-34.5,0.7692307692307693,130.5,0.8333333333333334,130.5,0.8333333333333334,,,,,0,1,8.0,13.0,0,20181017161831,11077
1,,,4.0,34.5,0.9090909090909091,-34.5,0.7692307692307693,130.5,0.8333333333333334,130.5,0.8333333333333334,,,,,0,1,8.0,13.0,1.0,20181017161955.0,11077
2,,,4.0,34.5,0.9090909090909091,-34.5,0.7692307692307693,130.5,0.8333333333333334,130.5,0.8333333333333334,,,,,0,1,8.0,12.0,1.0,20181017161956.0,11077
3,,,4.0,34.5,0.8695652173913043,-34.5,0.8,129.5,0.8333333333333334,129.5,0.8333333333333334,,,,,0,1,8.0,10.0,1.0,20181017161957.0,11077
4,,,4.0,34.5,0.8695652173913043,-34.5,0.8,128.5,0.9090909090909091,128.5,0.7692307692307693,,,,,0,1,8.0,1.0,1.0,20181017162006.0,11077
5,,,4.0,34.5,0.8695652173913043,-34.5,0.8,128.5,0.9090909090909091,128.5,0.7692307692307693,,,,,0,1,8.0,1.0,1.0,20181017162006.0,21077.0
6,,,4.0,34.5,0.8695652173913043,-34.5,0.8,128.5,0.7692307692307693,128.5,0.9090909090909091,,,,,0,1,8.0,46.0,1.0,20181017162022.0,21077.0
7,,,4.0,34.5,0.8333333333333334,-34.5,0.8333333333333334,129.5,0.8333333333333334,129.5,0.8333333333333334,,,,,0,1,8.0,38.0,1.0,20181017162030.0,21077.0
8,,,4.0,34.5,0.8333333333333334,-34.5,0.8333333333333334,129.5,0.8,129.5,0.8695652173913043,,,,,0,1,8.0,33.0,0.0,20181017162036.0,21077.0
9,,,4.0,34.5,0.8333333333333334,-34.5,0.8333333333333334,129.5,0.8,129.5,0.8695652173913043,,,,,0,1,8.0,33.0,0.0,20181017162039.0,21095.0
10,,,4.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,129.5,0.8,129.5,0.8695652173913043,,,,,0,1,8.0,33.0,1.0,20181017162044.0,11077.0
