,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,148.5,0.9090909090909091,148.5,0.7692307692307693,,,,,,,0,1,2.0,11.0,1,20181017122636,21077,0.02,10.0
1,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,148.5,0.9090909090909091,148.5,0.7692307692307693,,,,,,,0,1,2.0,4.0,1,20181017122643.0,11077.0,0.02,10.0
2,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,148.5,0.9090909090909091,148.5,0.7692307692307693,24.0,,11.5,,,,0,1,1.0,56.0,1,20181017122651.0,11077.0,0.02,10.0
3,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,149.5,0.8333333333333334,149.5,0.8333333333333334,24.0,,11.5,,,,0,1,1.0,49.0,1,20181017122659.0,11095.0,0.02,10.0
4,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,149.5,0.8333333333333334,149.5,0.8333333333333334,24.0,,14.0,,,,0,1,1.0,49.0,1,20181017122659.0,21077.0,0.02,10.0
5,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,148.5,0.8695652173913043,148.5,0.8,24.0,,14.0,,,,0,1,1.0,40.0,1,20181017122707.0,21077.0,0.02,10.0
6,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,148.5,0.8695652173913043,148.5,0.8,24.0,,15.0,,,,0,1,1.0,32.0,1,20181017122716.0,21077.0,0.02,10.0
7,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,148.5,0.8695652173913043,148.5,0.8,24.0,,12.0,,,,0,1,1.0,30.0,1,20181017122717.0,11077.0,0.02,10.0
8,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,148.5,0.8695652173913043,148.5,0.8,24.0,,10.5,^,46.0,59.0,0,1,1.0,29.0,1,20181017122719.0,11074^21077,0.02,10.0
9,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,149.5,0.8695652173913043,149.5,0.8,24.0,,10.5,,46.0,59.0,0,1,1.0,20.0,1,20181017122727.0,21077.0,0.02,10.0
10,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,149.5,0.8,149.5,0.8695652173913043,24.0,,10.5,,46.0,59.0,0,1,1.0,14.0,1,20181017122734.0,21094.0,0.02,10.0
11,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,149.5,0.8,149.5,0.8695652173913043,24.0,,9.5,,46.0,59.0,0,1,1.0,14.0,1,20181017122734.0,11077.0,0.02,10.0
12,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,148.5,0.8695652173913043,148.5,0.8,24.0,,9.5,,46.0,59.0,0,1,1.0,5.0,1,20181017122743.0,11077.0,0.02,10.0
13,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,148.5,0.8695652173913043,148.5,0.8,24.0,,11.0,,46.0,59.0,0,1,1.0,0.0,1,20181017122747.0,21077.0,0.02,10.0
14,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,147.5,0.9090909090909091,147.5,0.7692307692307693,24.0,,11.0,,46.0,59.0,0,1,0.0,56.0,1,20181017122751.0,21095.0,0.02,10.0
15,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,147.5,0.9090909090909091,147.5,0.7692307692307693,24.0,,9.5,,46.0,59.0,0,1,0.0,56.0,1,20181017122752.0,11077.0,0.02,10.0
16,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,147.5,0.9090909090909091,147.5,0.7692307692307693,24.0,,9.5,,46.0,59.0,0,1,0.0,50.0,1,20181017122758.0,21077.0,0.02,10.0
17,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,147.5,0.9090909090909091,147.5,0.7692307692307693,24.0,,13.0,^,46.0,61.0,0,1,0.0,46.0,1,20181017122801.0,21074^11077,0.02,10.0
18,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,147.5,0.9090909090909091,147.5,0.7692307692307693,24.0,,13.0,,46.0,61.0,0,1,0.0,46.0,1,20181017122802.0,11077.0,0.02,10.0
19,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,147.5,0.9090909090909091,147.5,0.7692307692307693,24.0,,14.0,,46.0,61.0,0,1,0.0,37.0,1,20181017122810.0,11077.0,0.02,10.0
20,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,147.5,0.8333333333333334,147.5,0.8333333333333334,24.0,,14.0,,46.0,61.0,0,1,0.0,29.0,1,20181017122819.0,11077.0,0.02,10.0
21,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,147.5,0.8333333333333334,147.5,0.8333333333333334,24.0,,14.0,,46.0,61.0,0,1,0.0,20.0,1,20181017122827.0,11077.0,0.02,10.0
22,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,147.5,0.8333333333333334,147.5,0.8333333333333334,24.0,,14.0,,46.0,61.0,0,1,0.0,19.0,1,20181017122829.0,11095.0,0.02,10.0
23,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,147.5,0.8333333333333334,147.5,0.8333333333333334,23.0,,16.0,,46.0,61.0,0,1,0.0,19.0,1,20181017122829.0,21077.0,0.02,10.0
24,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,146.5,0.9090909090909091,146.5,0.7692307692307693,23.0,,16.0,,46.0,61.0,0,1,0.0,10.0,1,20181017122838.0,21077.0,0.02,10.0
25,,,,3.0,-14.5,0.8695652173913043,14.5,0.8,146.5,0.8333333333333334,146.5,0.8333333333333334,23.0,,16.0,,46.0,61.0,0,1,0.0,2.0,1,20181017122846.0,21077.0,0.02,10.0
26,,,,3.0,-17.5,0.8333333333333334,17.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,21.0,,16.0,^,46.0,63.0,0,1,0.0,0.0,1,20181017122848.0,21074^11077,0.02,10.0
27,,,,3.0,-17.5,0.8333333333333334,17.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,21.0,,16.0,,46.0,63.0,0,1,0.0,0.0,0.0,20181017122849.0,11077.0,0.02,10.0
28,,,,3.0,-17.5,0.8333333333333334,17.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,21.0,,16.0,,46.0,63.0,0,1,0.0,0.0,0.0,20181017122856.0,11077.0,0.02,10.0
29,,,Q4,4th Quarter,-17.5,0.8333333333333334,17.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,22.0,4.0,16.0,,46.0,63.0,0,1,10.0,0.0,0.0,20181017122856.0,1082.0,0.02,10.0
30,,,Q4,4th Quarter,-17.5,0.8333333333333334,17.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,22.0,4.0,16.0,,46.0,63.0,0,1,10.0,0.0,0.0,20181017123131.0,1082.0,0.02,10.0
31,,,Q4,4th Quarter,-17.5,0.8333333333333334,17.5,0.8333333333333334,148.5,0.8333333333333334,148.5,0.8333333333333334,16.0,4.0,16.0,^,46.0,63.0,0,1,10.0,0.0,1.0,20181017123131.0,01090^11077,0.02,10.0
32,,,Q4,4th Quarter,-17.5,0.8333333333333334,17.5,0.8333333333333334,147.5,0.8695652173913043,147.5,0.8,16.0,4.0,16.0,^,46.0,63.0,0,1,9.0,51.0,1.0,20181017123140.0,01090^11077,0.02,10.0
33,,,Q4,4th Quarter,-17.5,0.8695652173913043,17.5,0.8,147.5,0.8,147.5,0.8695652173913043,16.0,4.0,16.0,^,46.0,63.0,0,1,9.0,43.0,1.0,20181017123148.0,01090^11077,0.02,10.0
34,,,Q4,4th Quarter,-15.5,0.8333333333333334,15.5,0.8333333333333334,148.5,0.9090909090909091,148.5,0.7692307692307693,17.0,4.0,16.0,^,48.0,63.0,0,1,9.0,37.0,1.0,20181017123155.0,11074^21077,0.02,10.0
35,,,Q4,4th Quarter,-15.5,0.8333333333333334,15.5,0.8333333333333334,148.5,0.9090909090909091,148.5,0.7692307692307693,17.0,4.0,16.0,,48.0,63.0,0,1,9.0,28.0,1.0,20181017123204.0,21077.0,0.02,10.0
36,,,Q4,4th Quarter,-15.5,0.8333333333333334,15.5,0.8333333333333334,147.5,0.8695652173913043,147.5,0.8,17.0,4.0,16.0,,48.0,63.0,0,1,9.0,20.0,1.0,20181017123212.0,21077.0,0.02,10.0
37,,,Q4,4th Quarter,-15.5,0.8333333333333334,15.5,0.8333333333333334,147.5,0.8333333333333334,147.5,0.8333333333333334,17.0,4.0,16.0,,48.0,63.0,0,1,9.0,15.0,0.0,20181017123216.0,21077.0,0.02,10.0
38,,,Q4,4th Quarter,-15.5,0.8333333333333334,15.5,0.8333333333333334,147.5,0.8333333333333334,147.5,0.8333333333333334,17.0,4.0,16.0,^,48.0,63.0,0,1,9.0,15.0,0.0,20181017123233.0,11086^21077,0.02,10.0
39,,,Q4,4th Quarter,-15.5,0.8333333333333334,15.5,0.8333333333333334,147.5,0.8333333333333334,147.5,0.8333333333333334,17.0,4.0,16.0,^,48.0,63.0,0,1,9.0,15.0,1.0,20181017123258.0,11086^21077,0.02,10.0
40,,,Q4,4th Quarter,-15.5,0.8333333333333334,15.5,0.8333333333333334,146.5,0.9090909090909091,146.5,0.7692307692307693,17.0,4.0,16.0,,48.0,63.0,0,1,9.0,10.0,1.0,20181017123304.0,21095.0,0.02,10.0
41,,,Q4,4th Quarter,-15.5,0.8333333333333334,15.5,0.8333333333333334,146.5,0.9090909090909091,146.5,0.7692307692307693,17.0,4.0,16.0,,48.0,63.0,0,1,9.0,9.0,1.0,20181017123305.0,21077.0,0.02,10.0
42,,,Q4,4th Quarter,-15.5,0.8333333333333334,15.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,17.0,4.0,16.0,,48.0,63.0,0,1,9.0,4.0,0.0,20181017123309.0,21077.0,0.02,10.0
43,,,Q4,4th Quarter,-15.5,0.8333333333333334,15.5,0.8333333333333334,146.5,0.8333333333333334,146.5,0.8333333333333334,17.0,4.0,16.0,^,48.0,63.0,0,1,9.0,4.0,0.0,20181017123313.0,11086^21077,0.02,10.0
44,,,Q4,4th Quarter,-16.5,0.8333333333333334,16.5,0.8333333333333334,147.5,0.8695652173913043,147.5,0.8,16.0,4.0,16.0,1:2,48.0,63.0,0,1,9.0,4.0,0.0,20181017123313.0,21078.0,0.02,10.0
45,,,Q4,4th Quarter,-17.5,0.8695652173913043,17.5,0.8,147.5,0.8695652173913043,147.5,0.8,16.0,4.0,16.0,2:2^,48.0,65.0,0,1,9.0,4.0,0.0,20181017123353.0,21079^11077,0.02,10.0
46,,,Q4,4th Quarter,-17.5,0.8695652173913043,17.5,0.8,147.5,0.8695652173913043,147.5,0.8,16.0,4.0,16.0,,48.0,65.0,0,1,9.0,4.0,0.0,20181017123354.0,11077.0,0.02,10.0
47,,,Q4,4th Quarter,-17.5,0.8695652173913043,17.5,0.8,147.5,0.8695652173913043,147.5,0.8,16.0,4.0,16.0,,48.0,65.0,0,1,9.0,4.0,1.0,20181017123357.0,11077.0,0.02,10.0
48,,,Q4,4th Quarter,-17.5,0.9090909090909091,17.5,0.7692307692307693,147.5,0.7692307692307693,147.5,0.9090909090909091,16.0,4.0,16.0,,48.0,65.0,0,1,8.0,55.0,1.0,20181017123406.0,11077.0,0.02,10.0
49,,,Q4,4th Quarter,-17.5,0.9090909090909091,17.5,0.7692307692307693,147.5,0.8333333333333334,147.5,0.8333333333333334,16.0,4.0,16.0,,48.0,65.0,0,1,8.0,47.0,1.0,20181017123414.0,11077.0,0.02,10.0
50,,,Q4,4th Quarter,-17.5,0.9090909090909091,17.5,0.7692307692307693,147.5,0.8333333333333334,147.5,0.8333333333333334,16.0,4.0,16.0,,48.0,65.0,0,1,8.0,45.0,0.0,20181017123417.0,11077.0,0.02,10.0
51,,,Q4,4th Quarter,-17.5,0.9090909090909091,17.5,0.7692307692307693,147.5,0.8333333333333334,147.5,0.8333333333333334,16.0,4.0,16.0,,48.0,65.0,0,1,8.0,45.0,1.0,20181017123435.0,11095.0,0.02,10.0
52,,,Q4,4th Quarter,-17.5,0.8333333333333334,17.5,0.8333333333333334,147.5,0.8,147.5,0.8695652173913043,16.0,4.0,16.0,,48.0,65.0,0,1,8.0,44.0,1.0,20181017123436.0,21077.0,0.02,10.0
53,,,Q4,4th Quarter,-17.5,0.8333333333333334,17.5,0.8333333333333334,146.5,0.8695652173913043,146.5,0.8,16.0,4.0,16.0,,48.0,65.0,0,1,8.0,38.0,1.0,20181017123442.0,21095.0,0.02,10.0
54,,,Q4,4th Quarter,-17.5,0.9090909090909091,17.5,0.7692307692307693,146.5,0.9090909090909091,146.5,0.7692307692307693,16.0,4.0,16.0,,48.0,65.0,0,1,8.0,29.0,1.0,20181017123450.0,11077.0,0.02,10.0
55,,,Q4,4th Quarter,-14.5,0.8,14.5,0.8695652173913043,148.5,0.9090909090909091,148.5,0.7692307692307693,18.0,4.0,16.0,^,51.0,65.0,0,1,8.0,21.0,1.0,20181017123458.0,11075^21077,0.02,10.0
56,,,Q4,4th Quarter,-14.5,0.8,14.5,0.8695652173913043,148.5,0.9090909090909091,148.5,0.7692307692307693,18.0,4.0,16.0,,51.0,65.0,0,1,8.0,21.0,1.0,20181017123459.0,21077.0,0.02,10.0
57,,,Q4,4th Quarter,-14.5,0.8,14.5,0.8695652173913043,148.5,0.9090909090909091,148.5,0.7692307692307693,17.0,4.0,16.0,,51.0,65.0,0,1,8.0,12.0,1.0,20181017123507.0,21077.0,0.02,10.0
58,,,Q4,4th Quarter,-14.5,0.8,14.5,0.8695652173913043,147.5,0.8695652173913043,147.5,0.8,17.0,4.0,16.0,,51.0,65.0,0,1,8.0,4.0,1.0,20181017123515.0,21077.0,0.02,10.0
59,,,Q4,4th Quarter,-14.5,0.8,14.5,0.8695652173913043,147.5,0.8695652173913043,147.5,0.8,17.0,4.0,16.0,,51.0,65.0,0,1,8.0,3.0,0.0,20181017123517.0,21077.0,0.02,10.0
60,,,Q4,4th Quarter,-14.5,0.8,14.5,0.8695652173913043,147.5,0.8695652173913043,147.5,0.8,17.0,4.0,16.0,^,51.0,65.0,0,1,8.0,3.0,0.0,20181017123535.0,11086^21077,0.02,10.0
61,,,Q4,4th Quarter,-14.5,0.8,14.5,0.8695652173913043,147.5,0.8695652173913043,147.5,0.8,17.0,4.0,16.0,^,51.0,65.0,0,1,8.0,3.0,1.0,20181017123537.0,11086^21077,0.02,10.0
62,,,Q4,4th Quarter,-14.5,0.8,14.5,0.8695652173913043,147.5,0.7692307692307693,147.5,0.9090909090909091,17.0,4.0,16.0,^,51.0,65.0,0,1,7.0,54.0,1.0,20181017123545.0,11086^21077,0.02,10.0
63,,,Q4,4th Quarter,-14.5,0.8,14.5,0.9090909090909091,147.5,0.7692307692307693,147.5,0.9090909090909091,17.0,4.0,17.0,^,51.0,65.0,0,1,7.0,51.0,0.0,20181017123548.0,11086^21077,0.02,10.0
64,,,Q4,4th Quarter,-15.5,0.8,15.5,0.9090909090909091,148.5,0.9090909090909091,148.5,0.7692307692307693,15.0,4.0,17.0,^,51.0,67.0,0,1,7.0,51.0,0.0,20181017123549.0,21074^11077,0.02,10.0
65,,,Q4,4th Quarter,-16.5,0.8,16.5,0.8695652173913043,148.5,0.9090909090909091,148.5,0.7692307692307693,15.0,4.0,17.0,^,51.0,67.0,0,1,7.0,51.0,0.0,20181017123551.0,11086^21077,0.02,10.0
66,,,Q4,4th Quarter,-16.5,0.8333333333333334,16.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,15.0,4.0,17.0,1:1,51.0,67.0,0,1,7.0,51.0,0.0,20181017123551.0,21078.0,0.02,10.0
67,,,Q4,4th Quarter,-16.5,0.8333333333333334,16.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,15.0,4.0,17.0,,51.0,67.0,0,1,7.0,51.0,1.0,20181017123646.0,11077.0,0.02,10.0
68,,,Q4,4th Quarter,-16.5,0.8,16.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,15.0,4.0,17.0,,51.0,67.0,0,1,7.0,42.0,1.0,20181017123654.0,11077.0,0.02,10.0
69,,,Q4,4th Quarter,-16.5,0.8,16.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,15.0,4.0,17.0,,51.0,67.0,0,1,7.0,42.0,0.0,20181017123655.0,11077.0,0.02,10.0
70,,,Q4,4th Quarter,-16.5,0.8,16.5,0.8695652173913043,149.5,0.8333333333333334,149.5,0.8333333333333334,15.0,4.0,17.0,,51.0,67.0,0,1,7.0,42.0,1.0,20181017123714.0,11077.0,0.02,10.0
71,,,Q4,4th Quarter,-16.5,0.8,16.5,0.8695652173913043,148.5,0.8695652173913043,148.5,0.8,15.0,4.0,17.0,,51.0,67.0,0,1,7.0,34.0,0.0,20181017123723.0,11077.0,0.02,10.0
72,,,Q4,4th Quarter,-16.5,0.8,16.5,0.8695652173913043,148.5,0.8695652173913043,148.5,0.8,15.0,4.0,17.0,^,51.0,67.0,0,1,7.0,34.0,0.0,20181017123726.0,21086^11077,0.02,10.0
73,,,Q4,4th Quarter,-16.5,0.8,16.5,0.8695652173913043,148.5,0.8695652173913043,148.5,0.8,15.0,4.0,17.0,^,51.0,67.0,0,1,7.0,34.0,1.0,20181017123743.0,21086^11077,0.02,10.0
74,,,Q4,4th Quarter,-16.5,0.8,16.5,0.8695652173913043,148.5,0.8333333333333334,148.5,0.8333333333333334,15.0,4.0,17.0,,51.0,67.0,0,1,7.0,28.0,1.0,20181017123749.0,11094.0,0.02,10.0
