,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,PG,PI,S1_a,S2,S2_a,S3,S3_a,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
12,,,,66.5,0.83,-66.5,0.83,134.5,0.83,134.5,0.83,-66.5,,,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,47.0,0.0,20180721012540.0,21077.0
13,,,,66.5,0.83,-66.5,0.83,134.5,0.83,134.5,0.83,-66.5,,,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,1.0,1,5.0,47.0,0.0,20180721012540.0,21077.0
14,,,,66.5,0.83,-66.5,0.83,134.5,0.83,134.5,0.83,-66.5,,,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,1.0,1,5.0,47.0,0.0,20180721012549.0,21086.0
15,,,,66.5,0.83,-66.5,0.83,134.5,0.83,134.5,0.83,-66.5,,,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,47.0,0.0,20180721012549.0,21086.0
16,,,,66.5,0.83,-66.5,0.83,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,47.0,1.0,20180721012555.0,21086.0
17,,,,66.5,0.83,-66.5,0.83,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,47.0,1.0,20180721012555.0,21086.0
18,,,,66.5,0.83,-66.5,0.83,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,39.0,1.0,20180721012604.0,21086.0
19,,,,66.5,0.83,-66.5,0.83,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,39.0,1.0,20180721012604.0,21086.0
20,,,,66.5,0.83,-66.5,0.83,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,37.0,0.0,20180721012606.0,21086.0
21,,,,66.5,0.83,-66.5,0.83,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,37.0,0.0,20180721012606.0,21086.0
22,,,,66.5,0.83,-66.5,0.83,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,37.0,1.0,20180721012640.0,21086.0
23,,,,66.5,0.83,-66.5,0.83,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,37.0,1.0,20180721012640.0,21086.0
24,,,,66.5,0.83,-66.5,0.83,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,29.0,0.0,20180721012648.0,21086.0
25,,,,66.5,0.8,-66.5,0.87,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,29.0,0.0,20180721012648.0,21086.0
26,,,,66.5,0.8,-66.5,0.87,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,29.0,0.0,20180721012649.0,21086.0
27,,,,66.5,0.8,-66.5,0.87,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,1.0,1,5.0,29.0,0.0,20180721012649.0,21086.0
28,,,,66.5,0.8,-66.5,0.87,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,1.0,1,5.0,29.0,0.0,20180721012659.0,21086.0
29,,,,66.5,0.8,-66.5,0.87,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,29.0,0.0,20180721012659.0,21086.0
30,,,,66.5,0.8,-66.5,0.87,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,29.0,1.0,20180721012710.0,21086.0
31,,,,66.5,0.8,-66.5,0.87,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,29.0,1.0,20180721012710.0,21086.0
32,,,,66.5,0.8,-66.5,0.87,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,21.0,1.0,20180721012719.0,21086.0
33,,,,66.5,0.77,-66.5,0.91,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,21.0,1.0,20180721012719.0,21086.0
34,,,,66.5,0.77,-66.5,0.91,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,20.0,1.0,20180721012720.0,21086.0
35,,,,66.5,0.77,-66.5,0.91,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,20.0,1.0,20180721012720.0,21077.0
36,,,,66.5,0.77,-66.5,0.91,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,18.0,1.0,20180721012722.0,21077.0
37,,,,67.5,0.77,-67.5,0.91,134.5,0.83,134.5,0.83,67.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,18.0,1.0,20180721012722.0,21077.0
38,,,,67.5,0.77,-67.5,0.91,134.5,0.83,134.5,0.83,-67.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,16.0,0.0,20180721012723.0,11077.0
39,,,,66.5,0.91,-66.5,0.91,134.5,0.83,134.5,0.83,66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,16.0,0.0,20180721012723.0,11077.0
40,,,,66.5,0.91,-66.5,0.77,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,16.0,0.0,20180721012729.0,11077.0
41,,,,66.5,0.91,-66.5,0.77,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,1.0,1,5.0,16.0,0.0,20180721012729.0,21086.0
42,,,,66.5,0.91,-66.5,0.77,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,1.0,1,5.0,16.0,0.0,20180721012745.0,21086.0
43,,,,67.5,0.83,-67.5,0.77,134.5,0.83,134.5,0.83,67.5,,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,16.0,0.0,20180721012745.0,21086.0
44,,,,67.5,0.83,-67.5,0.83,134.5,0.83,134.5,0.83,-67.5,1:2,1.0,7,32.0,31,,2,5,,4,,50.0,87.0,87,26.0,0.0,1,5.0,16.0,0.0,20180721012753.0,11078.0
45,,,,66.5,0.87,-66.5,0.83,134.5,0.83,134.5,0.83,66.5,1:2^2:2,1.0,7,32.0,31,,2,5,,4,40.0,50.0,87.0,87,26.0,0.0,1,5.0,16.0,0.0,20180721012753.0,11080^11078
46,,,,66.5,0.87,-66.5,0.8,134.5,0.83,134.5,0.83,-66.5,1:2^2:2,1.0,7,32.0,31,,2,5,,4,40.0,50.0,88.0,88,26.0,0.0,1,5.0,16.0,0.0,20180721012806.0,11080^11078
47,,,,67.5,0.91,-67.5,0.8,134.5,0.83,134.5,0.83,67.5,1:2^2:2,1.0,7,32.0,31,,2,5,,4,40.0,50.0,88.0,88,26.0,0.0,1,5.0,16.0,0.0,20180721012806.0,11080^11078
48,,,,67.5,0.91,-67.5,0.77,134.5,0.83,134.5,0.83,-67.5,2:2,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,26.0,0.0,1,5.0,16.0,1.0,20180721012811.0,11079.0
49,,,,66.5,0.91,-66.5,0.77,134.5,0.83,134.5,0.83,66.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,26.0,0.0,1,5.0,16.0,1.0,20180721012811.0,21077.0
50,,,,66.5,0.91,-66.5,0.77,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,26.0,0.0,1,5.0,8.0,1.0,20180721012819.0,21077.0
51,,,,66.5,0.91,-66.5,0.77,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,26.0,0.0,1,5.0,8.0,1.0,20180721012819.0,21077.0
52,,,,66.5,0.91,-66.5,0.77,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,26.0,0.0,1,5.0,0.0,1.0,20180721012827.0,21077.0
53,,,,66.5,0.87,-66.5,0.8,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,5.0,0.0,1.0,20180721012827.0,21077.0
54,,,,66.5,0.87,-66.5,0.8,134.5,0.83,134.5,0.83,-66.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,56.0,1.0,20180721012831.0,21077.0
55,,,,64.5,0.83,-64.5,0.8,134.5,0.83,134.5,0.83,64.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,56.0,1.0,20180721012831.0,21074.0
56,,,,64.5,0.83,-64.5,0.83,134.5,0.83,134.5,0.83,-64.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,53.0,1.0,20180721012834.0,21074.0
57,,,,65.5,0.83,-65.5,0.83,134.5,0.83,134.5,0.83,65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,53.0,1.0,20180721012834.0,21074.0
58,,,,65.5,0.83,-65.5,0.83,134.5,0.83,134.5,0.83,-65.5,,1.0,7,32.0,31,3.0,2,5,,4,50.0,50.0,88.0,88,28.0,0.0,1,4.0,45.0,1.0,20180721012842.0,11077.0
