,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
10,,,,2.5,0.77,-2.5,0.87,146.5,0.83,146.5,0.83,2.5,,,5.0,3.0,17.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,8.0,19.0,1,20180721012814.0,11077.0,1.25,0.0
11,,,,2.5,0.77,-2.5,0.91,146.5,0.83,146.5,0.83,-2.5,^,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,8.0,19.0,1,20180721012815.0,11074^21077,1.25,0.0
12,,,,2.5,0.77,-2.5,0.91,146.5,0.83,146.5,0.83,-2.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,8.0,19.0,1,20180721012815.0,21077.0,1.25,0.0
13,,,,2.5,0.77,-2.5,0.91,145.5,0.87,146.5,0.8,145.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,8.0,11.0,1,20180721012823.0,21077.0,1.25,0.0
14,,,,2.5,0.77,-2.5,0.91,145.5,0.87,145.5,0.8,145.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,8.0,11.0,1,20180721012823.0,21077.0,1.25,0.0
15,,,,2.5,0.77,-2.5,0.91,145.5,0.77,145.5,0.91,145.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,8.0,3.0,1,20180721012831.0,21077.0,1.25,0.0
16,,,,2.5,0.77,-2.5,0.91,145.5,0.77,145.5,0.91,145.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,8.0,3.0,1,20180721012831.0,21077.0,1.25,0.0
17,,,,2.5,0.77,-2.5,0.91,144.5,0.91,145.5,0.77,144.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,8.0,0.0,1,20180721012833.0,21077.0,1.25,0.0
18,,,,2.5,0.77,-2.5,0.91,144.5,0.91,144.5,0.77,144.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,8.0,0.0,1,20180721012833.0,21094.0,1.25,0.0
19,,,,2.5,0.87,-2.5,0.8,144.5,0.87,144.5,0.8,144.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,8.0,0.0,1,20180721012834.0,21094.0,0.0,0.47
20,,,,2.5,0.87,-2.5,0.8,144.5,0.87,144.5,0.8,144.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,8.0,0.0,1,20180721012834.0,11077.0,0.0,0.47
21,,,,2.5,0.87,-2.5,0.8,144.5,0.8,144.5,0.87,144.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,7.0,52.0,1,20180721012842.0,11077.0,0.0,0.47
22,,,,2.5,0.87,-2.5,0.8,143.5,0.83,144.5,0.83,143.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,7.0,52.0,1,20180721012842.0,11077.0,0.0,0.47
23,,,,2.5,0.87,-2.5,0.8,143.5,0.83,143.5,0.83,143.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,7.0,44.0,1,20180721012850.0,11077.0,0.0,0.47
24,,,,2.5,0.91,-2.5,0.77,143.5,0.83,143.5,0.83,143.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,7.0,44.0,1,20180721012850.0,11095.0,0.0,0.47
25,,,,2.5,0.91,-2.5,0.77,143.5,0.83,143.5,0.83,143.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,7.0,43.0,1,20180721012851.0,11095.0,0.0,0.47
26,,,,2.5,0.91,-2.5,0.77,142.5,0.91,143.5,0.77,142.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,7.0,43.0,1,20180721012851.0,11077.0,0.0,0.47
27,,,,2.5,0.91,-2.5,0.77,142.5,0.91,142.5,0.77,142.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,7.0,35.0,1,20180721012900.0,11077.0,0.0,0.47
28,,,,2.5,0.91,-2.5,0.77,145.5,0.91,142.5,0.77,145.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,56.0,53.0,0.0,1,7.0,35.0,1,20180721012900.0,11077.0,0.0,0.47
29,,,,2.5,0.91,-2.5,0.77,145.5,0.91,145.5,0.77,145.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,34.0,1,20180721012900.0,11077.0,0.0,0.0
30,,,,4.5,0.83,-4.5,0.77,145.5,0.91,145.5,0.77,4.5,,,5.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,34.0,1,20180721012900.0,11077.0,0.0,0.0
31,,,,4.5,0.83,-4.5,0.83,145.5,0.91,145.5,0.77,-4.5,^,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,34.0,1,20180721012901.0,11075^21077,0.0,0.0
32,,,,4.5,0.83,-4.5,0.83,145.5,0.87,145.5,0.8,-4.5,,,6.0,3.0,18.0,18.0,5.0,8.0,5.0,5.0,0.0,0.0,100.0,88.9,59.0,53.0,0.0,1,7.0,34.0,1,20180721012901.0,21077.0,0.0,0.0
