,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,第1节,32.5,0.87,-32.5,0.8,161.5,0.83,161.5,0.83,,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,33.3,0.0,19.0,11.0,0.0,1,1.0,45.0,0,,21077
1,,,,第1节,32.5,0.87,-32.5,0.8,160.5,0.83,160.5,0.83,160.5,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,33.3,0.0,19.0,11.0,0.0,1,1.0,45.0,0,,21077
2,,,,第1节,32.5,0.87,-32.5,0.8,160.5,0.83,160.5,0.83,160.5,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,33.3,0.0,19.0,11.0,0.0,1,1.0,28.0,0,,21077
3,,,,第1节,32.5,0.87,-32.5,0.8,160.5,0.83,160.5,0.83,160.5,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,33.3,0.0,19.0,11.0,0.0,1,1.0,28.0,0,,21077
4,,,,第1节,32.5,0.87,-32.5,0.8,160.5,0.83,160.5,0.83,160.5,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,1.0,5.0,33.3,0.0,19.0,11.0,0.0,1,1.0,14.0,0,,21077
5,,,,第1节,32.5,0.87,-32.5,0.8,160.5,0.83,160.5,0.83,160.5,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,2.0,5.0,33.3,0.0,19.0,11.0,0.0,1,1.0,14.0,0,,11086.0
6,,,,第1节,32.5,0.83,-32.5,0.83,159.5,0.83,159.5,0.83,159.5,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,2.0,5.0,33.3,0.0,19.0,11.0,0.0,1,1.0,14.0,0,,21077.0
7,,,,第1节,32.5,0.83,-32.5,0.83,159.5,0.83,158.5,0.83,159.5,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,2.0,5.0,33.3,0.0,19.0,11.0,0.0,1,1.0,14.0,0,,21077.0
8,,,,第1节,32.5,0.83,-32.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,2.0,5.0,33.3,0.0,19.0,11.0,0.0,1,1.0,14.0,0,,21077.0
9,,,,第1节,32.5,0.83,-32.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,2.0,5.0,33.3,0.0,19.0,11.0,0.0,1,1.0,11.0,0,,21077.0
10,,,,第1节,32.5,0.83,-32.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,2.0,5.0,33.3,0.0,19.0,11.0,0.0,1,0.0,11.0,0,,21077.0
11,,,,第1节,32.5,0.83,-32.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,2.0,5.0,33.3,0.0,19.0,11.0,0.0,1,0.0,43.0,0,,21077.0
12,,,,第1节,32.5,0.83,-32.5,0.83,158.5,0.83,158.5,0.83,158.5,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,2.0,6.0,33.3,0.0,19.0,11.0,0.0,1,0.0,43.0,0,,21086.0
13,,,,第1节,32.5,0.83,-32.5,0.83,156.5,0.83,156.5,0.83,156.5,,,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,2.0,6.0,33.3,0.0,19.0,11.0,0.0,1,0.0,43.0,0,,11077.0
14,,,,第1节,32.5,0.83,-32.5,0.87,156.5,0.83,156.5,0.83,156.5,,1:2,,2.0,1.0,6.0,4.0,1.0,0.0,5.0,5.0,2.0,6.0,33.3,0.0,19.0,11.0,0.0,1,0.0,43.0,0,,11078.0
