,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,,,,,0,1,5.0,52.0,0,20181017122634,21078,0.35714285714285715,2.05
1,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,175.5,0.8695652173913043,,,2.15,1:2^2:2,52.0,54.0,0,1,5.0,52.0,0,20181017122708.0,21079^21078,0.35714285714285715,2.05
2,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,175.5,0.8333333333333334,,,2.25,2:2^,52.0,55.0,0,1,5.0,52.0,0,20181017122726.0,21079^11077,0.35714285714285715,2.05
3,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,175.5,0.8333333333333334,,,2.25,2:2^,52.0,55.0,0,1,5.0,52.0,1.0,20181017122750.0,21079^11077,0.35714285714285715,2.05
4,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,175.5,0.8333333333333334,,,2.25,2:2^,52.0,55.0,0,1,5.0,51.0,1.0,20181017122750.0,21079^11077,0.35714285714285715,2.05
5,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,175.5,0.8333333333333334,,,2.25,,52.0,55.0,0,1,5.0,50.0,1.0,20181017122752.0,11077.0,0.35714285714285715,2.05
6,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8695652173913043,174.5,0.8,,,2.25,,52.0,55.0,0,1,5.0,41.0,1.0,20181017122800.0,11077.0,0.35714285714285715,2.05
7,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,2.25,,52.0,55.0,0,1,5.0,36.0,0.0,20181017122805.0,11077.0,0.35714285714285715,2.05
8,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,2.65,,52.0,55.0,0,1,5.0,39.0,0.0,20181017122810.0,11077.0,0.35714285714285715,2.05
9,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,2.65,,52.0,55.0,0,1,5.0,39.0,1.0,20181017122819.0,11077.0,0.35714285714285715,2.05
10,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,2.65,,52.0,55.0,0,1,5.0,38.0,1.0,20181017122819.0,11077.0,0.35714285714285715,2.05
11,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,174.5,0.8333333333333334,174.5,0.8333333333333334,,,2.65,,52.0,55.0,0,1,5.0,39.0,1.0,20181017122820.0,21077.0,0.35714285714285715,2.05
12,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,173.5,0.8695652173913043,173.5,0.8,,,2.65,,52.0,55.0,0,1,5.0,30.0,1.0,20181017122828.0,21077.0,0.35714285714285715,2.05
13,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,173.5,0.8695652173913043,175.5,0.8,,,2.85,^,52.0,57.0,0,1,5.0,29.0,1.0,20181017122830.0,21074^11077,0.35714285714285715,2.05
14,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,173.5,0.8695652173913043,175.5,0.8,,,2.85,^,52.0,57.0,0,1,5.0,28.0,0.0,20181017122830.0,21074^11077,0.35714285714285715,2.05
15,,,,3.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,173.5,0.8695652173913043,175.5,0.8,,,2.85,^,52.0,57.0,0,1,5.0,28.0,0.0,20181017122831.0,21074^11077,0.35714285714285715,2.05
