,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,NA,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,1.3,0.56
1,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝拉萨特吉LDD 女子,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,,0.0,0,,1087.0,1.3,0.56
2,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,1.3,0.56
3,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,21077.0,1.3,0.56
4,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,21077.0,1.3,0.56
5,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,21077.0,1.3,0.56
6,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,21077.0,1.3,0.56
7,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,21077.0,1.3,0.56
8,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,21077.0,1.3,0.56
9,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,1.3,0.56
10,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,1.3,0.56
11,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,1.3,0.56
12,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,1.3,0.56
13,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,58.0,0,,21077.0,1.3,0.56
14,,,,第1节,3.5,0.83,-3.5,0.83,130.5,0.83,130.5,0.83,,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,51.0,0,,11077.0,1.3,0.56
15,,,,第1节,3.5,0.83,-3.5,0.83,129.5,0.83,129.5,0.83,129.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,51.0,0,,11077.0,1.3,0.56
16,,,,第1节,3.5,0.83,-3.5,0.83,129.5,0.83,129.5,0.83,129.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,38.0,0,,21077.0,1.3,0.56
17,,,,第1节,3.5,0.83,-3.5,0.83,128.5,0.83,128.5,0.83,128.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,38.0,0,,21077.0,1.3,0.56
18,,,,第1节,3.5,0.83,-3.5,0.83,128.5,0.83,128.5,0.83,128.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,33.0,0,,21077.0,1.3,0.56
19,,,,第1节,3.5,0.83,-3.5,0.83,128.5,0.83,128.5,0.83,128.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,33.0,0,,11077.0,1.3,0.56
20,,,,第1节,3.5,0.83,-3.5,0.83,128.5,0.83,128.5,0.83,128.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,23.0,0,,11077.0,1.3,0.56
21,,,,第1节,3.5,0.83,-3.5,0.83,127.5,0.83,127.5,0.83,127.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,23.0,0,,11077.0,1.3,0.56
22,,,,第1节,3.5,0.83,-3.5,0.83,127.5,0.83,126.5,0.83,127.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,23.0,0,,11077.0,1.3,0.56
23,,,,第1节,3.5,0.83,-3.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,23.0,0,,11077.0,1.3,0.56
24,,,,第1节,3.5,0.83,-3.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,4.0,0,,11077.0,1.3,0.56
25,,,,第1节,3.5,0.83,-3.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,4.0,0,,11077.0,1.3,0.56
26,,,,第1节,3.5,0.83,-3.5,0.83,126.5,0.83,126.5,0.83,126.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,2.0,0,,11077.0,1.3,0.56
27,,,,第1节,3.5,0.83,-3.5,0.83,125.5,0.83,125.5,0.83,125.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,2.0,0,,21077.0,1.3,0.56
28,,,,第1节,3.5,0.83,-3.5,0.83,125.5,0.83,125.5,0.83,125.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,8.0,GD,54.0,0,,21077.0,1.3,0.56
29,,,,第1节,3.5,0.83,-3.5,0.83,125.5,0.83,125.5,0.83,125.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,2.0,0.0,1,8.0,GD,54.0,0,,21074.0,1.25,0.0
30,,,,第1节,3.5,0.83,-3.5,0.83,125.5,0.83,125.5,0.83,125.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,54.0,0,,11077.0,1.25,0.0
31,,,,第1节,3.5,0.83,-3.5,0.83,125.5,0.83,125.5,0.83,125.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,45.0,0,,11077.0,1.25,0.0
32,,,,第1节,3.5,0.8,-2.5,0.87,125.5,0.83,125.5,0.83,-2.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,45.0,0,,11077.0,1.25,0.0
33,,,,第1节,2.5,0.8,-2.5,0.87,125.5,0.83,127.5,0.83,2.5,1.0,贝莱斯萨斯菲尔德LDD 女子,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,8.0,GD,45.0,0,,11077.0,1.25,0.0
