,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,KC,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
16,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,142.5,0.8333333333333334,142.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0,,1,9.0,1.0,1.0,20180925140227.0,11077.0,0.2857142857142857,2.5
17,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,141.5,0.8333333333333334,141.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,52.0,1.0,20180925140235.0,11077.0,0.2857142857142857,2.5
18,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,140.5,0.8695652173913043,140.5,0.8,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,44.0,1.0,20180925140243.0,11077.0,0.2857142857142857,2.5
19,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,140.5,0.8333333333333334,140.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,40.0,1.0,20180925140247.0,11077.0,0.2857142857142857,2.5
20,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,140.5,0.8333333333333334,140.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,36.0,1.0,20180925140251.0,21077.0,0.2857142857142857,2.5
21,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,30.0,0.0,20180925140258.0,21077.0,0.2857142857142857,2.5
22,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,30.0,0.0,20180925140301.0,11086.0,0.2857142857142857,2.5
23,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,30.0,0.0,20180925140304.0,11086.0,0.2857142857142857,2.5
24,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,30.0,1.0,20180925140321.0,11086.0,0.2857142857142857,2.5
25,,,,1.0,-7.5,0.8333333333333334,7.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,21.0,1.0,20180925140330.0,21077.0,0.2857142857142857,2.5
26,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,138.5,0.8333333333333334,138.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,14.0,1.0,20180925140337.0,21077.0,0.2857142857142857,2.5
27,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,138.5,0.8333333333333334,138.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,12.0,0.0,20180925140338.0,21077.0,0.2857142857142857,2.5
28,,,,1.0,-6.5,0.8,6.5,0.8695652173913043,138.5,0.8333333333333334,138.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,12.0,0.0,20180925140345.0,21077.0,0.2857142857142857,2.5
29,,,,1.0,-7.5,0.8695652173913043,7.5,0.8,138.5,0.8333333333333334,138.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,17.0,0.0,20180925140347.0,21077.0,0.2857142857142857,2.5
30,,,,1.0,-6.5,0.8,6.5,0.8695652173913043,138.5,0.8333333333333334,138.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,15.0,0.0,20180925140347.0,21077.0,0.2857142857142857,2.5
31,,,,1.0,-6.5,0.8,6.5,0.8695652173913043,138.5,0.8333333333333334,138.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,15.0,1.0,20180925140354.0,21077.0,0.2857142857142857,2.5
32,,,,1.0,-6.5,0.8,6.5,0.8695652173913043,138.5,0.8333333333333334,138.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,8.0,6.0,1.0,20180925140402.0,11077.0,0.2857142857142857,2.5
33,,,,1.0,-6.5,0.8,6.5,0.8695652173913043,137.5,0.8333333333333334,137.5,0.8333333333333334,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2.0,2.0,0,,1,7.0,58.0,1.0,20180925140411.0,11077.0,0.2857142857142857,2.5
