,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS
26,,,,第1节,-29.5,0.83,29.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,9.0,GD,0.0,0,,11077.0,
27,,,,第1节,-29.5,0.83,29.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,8.0,GD,51.0,0,,11077.0,
28,,,,第1节,-29.5,0.83,29.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,8.0,GD,51.0,0,,11077.0,
29,,,,第1节,-29.5,0.83,29.5,0.83,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,8.0,GD,48.0,0,,11077.0,
30,,,,第1节,-29.5,0.8,29.5,0.87,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,8.0,GD,48.0,0,,21077.0,
31,,,,第1节,-29.5,0.8,29.5,0.87,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,8.0,GD,41.0,0,,21077.0,
32,,,,第1节,-29.5,0.8,29.5,0.87,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,8.0,GD,41.0,0,,11077.0,
33,,,,第1节,-29.5,0.8,29.5,0.87,150.5,0.83,150.5,0.83,150.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,8.0,GD,38.0,0,,11077.0,
34,,,,第1节,-29.5,0.83,29.5,0.83,149.5,0.83,149.5,0.83,149.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,8.0,GD,38.0,0,,11077.0,
35,,,,第1节,-29.5,0.83,29.5,0.83,149.5,0.83,149.5,0.83,149.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,8.0,GD,18.0,0,,11077.0,
36,,,,第1节,-29.5,0.83,29.5,0.83,148.5,0.83,148.5,0.83,148.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,8.0,GD,18.0,0,,21077.0,
37,,,,第1节,-29.5,0.83,29.5,0.83,148.5,0.83,148.5,0.83,148.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,7.0,GD,58.0,0,,21077.0,
38,,,,第1节,-29.5,0.83,29.5,0.83,146.5,0.83,146.5,0.83,146.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,7.0,GD,58.0,0,,21077.0,
39,,,,第1节,-29.5,0.83,29.5,0.83,146.5,0.83,146.5,0.83,146.5,1.0,9231132.0,,,,,,,,,,,,,,,4.0,0.0,0.0,1,7.0,GD,58.0,0,,21074.0,
40,,,,第1节,-29.5,0.83,29.5,0.83,146.5,0.83,146.5,0.83,146.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,0.0,0.0,1,7.0,GD,58.0,0,,11077.0,
41,,,,第1节,-29.5,0.83,30.5,0.83,146.5,0.83,146.5,0.83,30.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,0.0,0.0,1,7.0,GD,58.0,0,,11077.0,
42,,,,第1节,-30.5,0.83,30.5,0.83,146.5,0.83,149.5,0.83,-30.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,0.0,0.0,1,7.0,GD,58.0,0,,11077.0,
43,,,,第1节,-30.5,0.83,30.5,0.83,149.5,0.83,149.5,0.83,149.5,1.0,9231132.0,,,,,,,,,,,,,,,6.0,0.0,0.0,1,7.0,GD,58.0,0,,11077.0,
