,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,MD,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
100,,,,-14.5,0.83,14.5,0.83,142.5,0.83,142.5,0.83,142.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,7.0,0.0,20180721114929.0,11086.0,,0.0,0.0
101,,,,-14.5,0.83,14.5,0.83,142.5,0.83,142.5,0.83,142.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,0.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,7.0,0.0,20180721114937.0,11086.0,,0.0,0.0
102,,,,-14.5,0.83,14.5,0.83,142.5,0.83,142.5,0.83,142.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,7.0,0.0,20180721114937.0,11086.0,,0.0,0.0
103,,,,-14.5,0.83,14.5,0.83,142.5,0.83,142.5,0.83,142.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,7.0,1.0,20180721114950.0,11086.0,,0.0,0.0
104,,,,-14.5,0.83,14.5,0.83,142.5,0.83,142.5,0.83,142.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,7.0,1.0,20180721114950.0,11086.0,,0.0,0.0
105,,,,-15.5,0.87,15.5,0.83,142.5,0.83,142.5,0.83,-15.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,7.0,1.0,20180721114950.0,11086.0,,0.0,0.0
106,,,,-15.5,0.87,15.5,0.8,142.5,0.87,142.5,0.83,15.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,7.0,1.0,20180721114950.0,21077.0,,0.0,0.0
107,,,,-15.5,0.87,15.5,0.8,141.5,0.87,142.5,0.8,141.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,7.0,1~GD,7.0,1.0,20180721114950.0,21077.0,,0.0,0.0
108,,,,-15.5,0.87,15.5,0.8,141.5,0.87,141.5,0.8,141.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,6.0,1~GD,59.0,1.0,20180721114959.0,21077.0,,0.0,0.0
109,,,,-15.5,0.87,15.5,0.8,141.5,0.83,141.5,0.8,141.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,6.0,1~GD,59.0,1.0,20180721114959.0,21077.0,,0.0,0.0
110,,,,-15.5,0.87,15.5,0.8,141.5,0.83,141.5,0.83,141.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,6.0,1~GD,53.0,1.0,20180721115004.0,21077.0,,0.0,0.0
111,,,,-14.5,0.83,14.5,0.8,141.5,0.83,141.5,0.83,-14.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,6.0,1~GD,53.0,1.0,20180721115004.0,21077.0,,0.0,0.0
112,,,,-14.5,0.83,14.5,0.83,141.5,0.87,141.5,0.83,14.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,6.0,1~GD,53.0,1.0,20180721115004.0,11077.0,,0.0,0.0
113,,,,-14.5,0.83,14.5,0.83,140.5,0.87,141.5,0.8,140.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,6.0,1~GD,53.0,1.0,20180721115004.0,11077.0,,0.0,0.0
114,,,,-14.5,0.83,14.5,0.83,140.5,0.87,140.5,0.8,140.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,6.0,1~GD,45.0,1.0,20180721115012.0,11077.0,,0.0,0.0
115,,,,-14.5,0.8,14.5,0.87,142.5,0.87,140.5,0.8,142.5,,,0.0,,0.0,,0.0,1.0,0.0,5.0,1.0,0.0,2.0,2.0,10.0,0.0,0.0,1,6.0,1~GD,45.0,1.0,20180721115012.0,21077.0,,0.0,0.0
