,CP,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,HO,MD,OD,PG,PI,RO,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
40,,,,-12.5,0.87,12.5,0.8,141.5,0.83,141.5,0.83,141.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,9.0,1~GD,3.0,1.0,20180721114703.0,11077.0,,0.0,0.0
41,,,,-12.5,0.87,12.5,0.8,141.5,0.83,141.5,0.83,141.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,9.0,1~GD,3.0,1.0,20180721114703.0,11077.0,,0.0,0.0
42,,,,-12.5,0.83,12.5,0.83,140.5,0.83,141.5,0.83,140.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,9.0,1~GD,3.0,1.0,20180721114703.0,21077.0,,0.0,0.0
43,,,,-12.5,0.83,12.5,0.83,140.5,0.83,140.5,0.83,140.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,55.0,1.0,20180721114712.0,21077.0,,0.0,0.0
44,,,,-12.5,0.83,12.5,0.83,140.5,0.8,140.5,0.87,140.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,55.0,1.0,20180721114712.0,21077.0,,0.0,0.0
45,,,,-12.5,0.83,12.5,0.83,140.5,0.8,140.5,0.87,140.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,47.0,1.0,20180721114720.0,21077.0,,0.0,0.0
46,,,,-12.5,0.87,12.5,0.8,139.5,0.83,140.5,0.83,139.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,47.0,1.0,20180721114720.0,21077.0,,0.0,0.0
47,,,,-12.5,0.87,12.5,0.8,139.5,0.83,139.5,0.83,139.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180721114723.0,21077.0,,0.0,0.0
48,,,,-12.5,0.87,12.5,0.8,139.5,0.83,139.5,0.83,139.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180721114723.0,21077.0,,0.0,0.0
49,,,,-12.5,0.87,12.5,0.8,139.5,0.83,139.5,0.83,139.5,,,0.0,,0.0,,0.0,0.0,0.0,5.0,0.0,0.0,,0.0,4.0,0.0,0.0,1,8.0,1~GD,43.0,0.0,20180721114725.0,21077.0,,0.0,0.0
