,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HD,MD,OD,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
118,下半场,下半场,-7.5,0.95,7.5,0.8,-7.5,2.0,0.0,,3.0,2,2,16.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,43.0,35,43,0.0,1,3.0,17.0,1.0,,11077.0,0.61,1.35
119,下半场,下半场,-7.5,0.95,7.5,0.8,-7.5,2.0,0.0,,3.0,2,2,16.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,43.0,35,43,0.0,1,3.0,0.0,0.0,,11077.0,0.61,1.35
120,下半场,下半场,-7.5,0.95,7.5,0.8,-7.5,2.0,0.0,,3.0,2,2,16.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,43.0,35,43,0.0,1,3.0,0.0,0.0,,11077.0,0.61,1.35
121,下半场,下半场,-7.5,0.95,7.5,0.8,-7.5,2.0,0.0,,3.0,2,2,16.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,43.0,35,43,0.0,1,3.0,0.0,1.0,,11077.0,0.61,1.35
122,下半场,下半场,-7.5,0.95,7.5,0.8,-7.5,2.0,0.0,,3.0,2,2,16.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,43.0,35,43,1.0,1,3.0,0.0,1.0,,11077.0,0.61,1.35
123,下半场,下半场,-7.5,0.95,7.5,0.8,-7.5,2.0,0.0,,3.0,2,2,16.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,43.0,35,43,1.0,1,2.0,51.0,0.0,,11077.0,0.61,1.35
124,下半场,下半场,-7.5,0.95,7.5,0.8,-7.5,2.0,0.0,,3.0,2,2,16.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,43.0,35,43,1.0,1,2.0,51.0,0.0,,11077.0,0.61,1.35
125,下半场,下半场,-7.5,0.95,7.5,0.8,-7.5,2.0,0.0,,3.0,2,2,16.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,43.0,35,43,1.0,1,2.0,51.0,1.0,,11077.0,0.61,1.35
126,下半场,下半场,-7.5,0.95,7.5,0.8,-7.5,2.0,0.0,,3.0,2,2,16.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,43.0,35,43,1.0,1,2.0,51.0,1.0,,11077.0,0.61,1.35
127,下半场,下半场,-7.5,0.95,7.5,0.8,-7.5,2.0,0.0,,3.0,2,2,16.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,43.0,35,43,1.0,1,2.0,49.0,0.0,,11077.0,0.61,1.35
128,下半场,下半场,-7.5,0.95,7.5,0.8,-7.5,2.0,0.0,,3.0,2,2,16.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,43.0,35,43,1.0,1,3.0,49.0,0.0,,11077.0,0.61,1.35
129,下半场,下半场,-7.5,0.95,7.5,0.8,-7.5,2.0,0.0,,3.0,2,2,16.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,43.0,35,43,1.0,1,3.0,1.0,0.0,,11077.0,0.61,1.35
130,下半场,下半场,-7.5,0.8,7.5,0.95,-7.5,2.0,0.0,,3.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,45.0,35,45,1.0,1,3.0,1.0,0.0,,21074.0,0.61,1.35
131,下半场,下半场,-7.5,0.95,9.5,0.8,9.5,2.0,0.0,,3.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,45.0,35,45,1.0,1,3.0,1.0,0.0,,21074.0,0.61,1.35
132,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,3.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,45.0,35,45,0.0,1,3.0,1.0,0.0,,21074.0,0.61,1.35
133,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,3.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,45.0,35,45,0.0,1,3.0,1.0,1.0,,21074.0,0.61,1.35
134,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,3.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,45.0,35,45,0.0,1,3.0,1.0,1.0,,21077.0,0.61,1.35
135,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,3.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,45.0,35,45,0.0,1,3.0,1.0,1.0,,11077.0,0.61,1.35
136,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,3.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,45.0,35,45,0.0,1,3.0,1.0,1.0,,11077.0,0.61,1.35
137,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,35,45,0.0,1,3.0,1.0,1.0,,11075.0,0.61,1.35
138,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,3.0,1.0,1.0,,21077.0,0.61,1.35
139,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,1.0,39.0,0.0,,21077.0,0.61,1.35
140,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,1.0,39.0,0.0,,21077.0,0.61,1.35
141,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,1.0,39.0,1.0,,21077.0,0.61,1.35
142,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,1.0,39.0,1.0,,21077.0,0.61,1.35
143,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,1.0,31.0,1.0,,21077.0,0.61,1.35
144,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,1.0,31.0,1.0,,21077.0,0.61,1.35
145,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,1.0,14.0,0.0,,21077.0,0.61,1.35
146,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,1.0,14.0,0.0,,21077.0,0.61,1.35
147,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,1.0,14.0,1.0,,21077.0,0.61,1.35
148,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,1.0,14.0,1.0,,21077.0,0.61,1.35
149,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,1.0,3.0,0.0,,21077.0,0.61,1.35
150,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,1.0,3.0,0.0,,21077.0,0.61,1.35
151,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,38.0,38,45,0.0,1,1.0,3.0,1.0,,21077.0,0.61,1.35
152,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,48.0,38,48,0.0,1,1.0,3.0,1.0,,21075.0,0.61,1.35
153,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,48.0,38,48,0.0,1,1.0,3.0,1.0,,21075.0,0.61,1.35
154,下半场,下半场,-9.5,0.95,9.5,0.8,-9.5,2.0,0.0,,4.0,2,2,17.0,7,6,1.0,0,0,4,4,0,0,50.0,0.0,0.0,48.0,38,48,0.0,1,1.0,3.0,1.0,,11077.0,0.61,1.35
