,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
55,,,,第1节,1.5,0.87,-1.5,0.87,141.5,0.83,141.5,0.83,1.5,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,1.1,0.66,
56,,,,第1节,1.5,0.8,-2.5,0.87,141.5,0.83,141.5,0.83,-2.5,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,1.1,0.66,
57,,,,第1节,2.5,0.8,-2.5,0.8,141.5,0.83,141.5,0.83,2.5,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,1.1,0.66,
58,,,,第1节,2.5,0.87,-1.5,0.8,141.5,0.83,141.5,0.83,-1.5,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,1.1,0.66,
59,,,,第1节,1.5,0.87,-1.5,0.87,141.5,0.83,141.5,0.83,1.5,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,1.1,0.66,
60,,,,第1节,1.5,0.8,-2.5,0.87,141.5,0.83,141.5,0.83,-2.5,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,1.1,0.66,
61,,,,第1节,2.5,0.8,-2.5,0.87,141.5,0.83,141.5,0.83,2.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
62,,,,第1节,2.5,0.87,-1.5,0.8,141.5,0.83,141.5,0.83,-1.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
63,,,,第1节,1.5,0.71,-1.5,1.0,141.5,0.83,141.5,0.83,1.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
64,,,,第1节,1.5,0.91,1.5,0.77,141.5,0.83,141.5,0.83,1.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
65,,,,第1节,-1.5,0.83,1.5,0.83,141.5,0.83,141.5,0.83,-1.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
66,,,,第1节,-1.5,0.8,1.5,0.87,141.5,0.83,141.5,0.83,-1.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
67,,,,第1节,-1.5,0.83,2.5,0.83,141.5,0.83,141.5,0.83,2.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
68,,,,第1节,-2.5,0.83,2.5,0.87,141.5,0.83,141.5,0.83,-2.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
69,,,,第1节,-2.5,0.8,1.5,0.87,141.5,0.83,141.5,0.83,1.5,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,1.1,0.66,
