,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,4.0,-9.5,0.9090909090909091,9.5,0.7692307692307693,175.5,0.9090909090909091,175.5,0.7692307692307693,,,11.0,7,22.0,28.0,7,17.0,1,4,5.0,4,63.6,70.8,84,94,0,1,2.0,3.0,1,20181010021233,21086,0.2222222222222222,3.0
1,4.0,-9.5,0.0,9.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,3.0,,11.0,7,22.0,28.0,7,17.0,1,4,5.0,4,63.6,70.8,84,94,0,1,1.0,54.0,1,20181010021241.0,21086,0.005,16.0
2,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,22.0,28.0,7,17.0,1,4,5.0,4,63.6,70.8,84,94,0,1,1.0,55.0,1,20181010021242.0,21077.0,0.005,16.0
3,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,22.0,28.0,7,17.0,1,4,5.0,4,63.6,70.8,84,94,0,1,1.0,46.0,1,20181010021250.0,21077.0,0.005,16.0
4,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,22.0,28.0,7,17.0,1,4,5.0,4,63.6,70.8,84,94,0,1,1.0,38.0,1,20181010021259.0,21077.0,0.005,16.0
5,4.0,-11.5,0.0,11.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,^,11.0,7,22.0,29.0,7,17.0,1,4,5.0,4,63.6,70.8,84,96,0,1,1.0,37.0,1,20181010021259.0,21074^11077,0.005,16.0
6,4.0,-11.5,0.0,11.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,22.0,29.0,7,17.0,1,4,5.0,4,63.6,70.8,84,96,0,1,1.0,34.0,1,20181010021302.0,11077.0,0.005,16.0
7,4.0,-11.5,0.0,11.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,22.0,29.0,7,17.0,1,4,5.0,4,63.6,70.8,84,96,0,1,1.0,25.0,1,20181010021310.0,11077.0,0.005,16.0
8,4.0,-12.5,0.0,12.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,22.0,29.0,7,17.0,1,4,5.0,4,63.6,70.8,84,96,0,1,1.0,19.0,1,20181010021317.0,21077.0,0.005,16.0
9,4.0,-12.5,0.0,12.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,22.0,29.0,7,17.0,1,4,5.0,4,63.6,70.8,84,96,0,1,1.0,18.0,0.0,20181010021318.0,21077.0,0.005,16.0
10,4.0,-12.5,0.0,12.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,22.0,29.0,7,17.0,1,4,5.0,4,63.6,70.8,84,96,0,1,1.0,18.0,0.0,20181010021323.0,11086.0,0.005,16.0
11,4.0,-12.5,0.0,12.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,1:2,11.0,7,22.0,29.0,7,17.0,1,4,5.0,4,63.6,70.8,84,96,0,1,1.0,18.0,0.0,20181010021330.0,21078.0,0.005,16.0
12,4.0,-12.5,0.0,12.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,^1:2,11.0,7,22.0,29.0,7,17.0,1,4,6.0,4,63.6,70.8,84,96,0,1,1.0,18.0,0.0,20181010021331.0,11086^21078,0.005,16.0
13,4.0,-13.5,0.0,13.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,1:2^2:2,11.0,7,22.0,29.0,7,18.0,1,4,6.0,4,63.6,72.0,84,97,0,1,1.0,18.0,0.0,20181010021342.0,21079^21078,0.005,16.0
14,4.0,-13.5,0.0,13.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,1:2^2:2,11.0,7,22.0,29.0,7,18.0,1,4,6.0,4,63.6,72.0,84,97,0,1,1.0,20.0,0.0,20181010021348.0,21079^21078,0.005,16.0
15,4.0,-13.5,0.0,13.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,2:2,11.0,7,22.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,84,98,0,1,1.0,20.0,0.0,20181010021351.0,21079.0,0.005,16.0
16,4.0,-13.5,0.0,13.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,2:2,11.0,7,22.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,84,98,0,1,1.0,20.0,1.0,20181010021354.0,21079.0,0.005,16.0
17,4.0,-13.5,0.0,13.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,22.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,84,98,0,1,1.0,20.0,1.0,20181010021355.0,11077.0,0.005,16.0
18,4.0,-13.5,0.0,13.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,22.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,84,98,0,1,1.0,11.0,1.0,20181010021403.0,11077.0,0.005,16.0
19,4.0,-12.5,0.0,12.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,^,11.0,7,23.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,86,98,0,1,1.0,6.0,1.0,20181010021407.0,11074^21077,0.005,16.0
20,4.0,-12.5,0.0,12.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,23.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,86,98,0,1,1.0,2.0,1.0,20181010021412.0,21077.0,0.005,16.0
21,4.0,-12.5,0.0,12.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,23.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,86,98,0,1,1.0,2.0,1.0,20181010021413.0,21077.0,0.005,16.0
22,4.0,-12.5,0.0,12.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,23.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,86,98,0,1,1.0,0.0,1.0,20181010021416.0,21077.0,0.005,16.0
23,4.0,-12.5,0.0,12.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,23.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,86,98,0,1,0.0,51.0,1.0,20181010021425.0,21077.0,0.005,16.0
24,4.0,-12.5,0.0,12.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,23.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,86,98,0,1,0.0,43.0,1.0,20181010021433.0,21077.0,0.005,16.0
25,4.0,-11.5,0.0,11.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,23.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,86,98,0,1,0.0,43.0,1.0,20181010021434.0,11077.0,0.005,16.0
26,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,^,11.0,7,24.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,88,98,0,1,0.0,35.0,1.0,20181010021441.0,11074^21077,0.005,16.0
27,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,24.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,88,98,0,1,0.0,33.0,1.0,20181010021443.0,21077.0,0.005,16.0
28,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,24.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,88,98,0,1,0.0,33.0,1.0,20181010021444.0,21077.0,0.005,16.0
29,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,24.0,29.0,7,19.0,1,4,6.0,4,63.6,73.1,88,98,0,1,0.0,31.0,1.0,20181010021448.0,21077.0,0.005,16.0
30,4.0,-11.5,0.0,11.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,^,11.0,7,24.0,30.0,7,19.0,1,4,6.0,4,63.6,73.1,88,100,0,1,0.0,27.0,1.0,20181010021451.0,21074^11077,0.005,16.0
31,4.0,-11.5,0.0,11.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,24.0,30.0,7,19.0,1,4,6.0,4,63.6,73.1,88,100,0,1,0.0,23.0,1.0,20181010021455.0,11077.0,0.005,16.0
32,4.0,-11.5,0.0,11.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,24.0,30.0,7,19.0,1,4,6.0,4,63.6,73.1,88,100,0,1,0.0,22.0,1.0,20181010021457.0,11077.0,0.005,16.0
33,4.0,-11.5,0.0,11.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,11.0,7,24.0,30.0,7,19.0,1,4,6.0,4,63.6,73.1,88,100,0,1,0.0,19.0,1.0,20181010021502.0,11077.0,0.005,16.0
34,4.0,-9.5,0.0,9.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,^,12.0,7,24.0,30.0,7,19.0,1,4,6.0,4,63.6,73.1,91,100,0,1,0.0,11.0,1.0,20181010021510.0,11075^21077,0.005,16.0
35,4.0,-9.5,0.0,9.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,^,12.0,7,24.0,30.0,7,19.0,1,4,6.0,4,63.6,73.1,91,100,0,1,0.0,9.0,0.0,20181010021512.0,11075^21077,0.005,16.0
36,4.0,-9.5,0.0,9.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,^,12.0,7,24.0,30.0,7,19.0,1,4,6.0,4,63.6,73.1,91,100,0,1,0.0,9.0,1.0,20181010021514.0,11075^21077,0.005,16.0
37,4.0,-9.5,0.0,9.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,12.0,7,24.0,30.0,7,19.0,1,4,6.0,4,63.6,73.1,91,100,0,1,0.0,9.0,1.0,20181010021515.0,21077.0,0.005,16.0
38,4.0,-9.5,0.0,9.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,12.0,7,24.0,30.0,7,19.0,1,4,6.0,4,63.6,73.1,91,100,0,1,0.0,7.0,1.0,20181010021518.0,21077.0,0.005,16.0
39,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,^,12.0,7,24.0,31.0,7,19.0,1,4,6.0,4,63.6,73.1,91,102,0,1,0.0,3.0,1.0,20181010021522.0,21074^11077,0.005,16.0
40,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,^,12.0,7,24.0,31.0,7,19.0,1,4,6.0,4,63.6,73.1,91,102,0,1,0.0,0.0,0.0,20181010021525.0,21074^11077,0.005,16.0
41,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,^,12.0,7,24.0,31.0,7,19.0,1,4,6.0,4,63.6,73.1,91,102,0,1,0.0,0.0,0.0,20181010021527.0,21074^11077,0.005,16.0
42,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,^,12.0,7,24.0,31.0,7,19.0,1,4,6.0,4,63.6,73.1,91,102,0,1,0.0,0.0,1.0,20181010021528.0,21074^11077,0.005,16.0
43,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,12.0,7,24.0,31.0,7,19.0,1,4,6.0,4,63.6,73.1,91,102,0,1,0.0,0.0,1.0,20181010021529.0,11077.0,0.005,16.0
44,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,12.0,7,24.0,31.0,7,19.0,1,4,6.0,4,63.6,73.1,91,102,0,1,0.0,0.0,0.0,20181010021530.0,11077.0,0.005,16.0
45,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,12.0,7,24.0,31.0,7,19.0,1,4,6.0,4,63.6,73.1,91,102,0,1,0.0,2.0,0.0,20181010021531.0,11077.0,0.005,16.0
46,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,12.0,7,24.0,31.0,7,19.0,1,4,6.0,4,63.6,73.1,91,102,0,1,0.0,0.0,0.0,20181010021536.0,11077.0,0.005,16.0
47,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,12.0,7,24.0,31.0,7,19.0,1,4,6.0,4,63.6,73.1,91,102,0,1,0.0,0.0,0.0,20181010021536.0,1084.0,0.005,16.0
48,4.0,-10.5,0.0,10.5,0.0,175.5,0.9090909090909091,175.5,0.7692307692307693,1.0,,12.0,7,24.0,31.0,7,19.0,1,4,6.0,4,63.6,73.1,91,102,0,1,0.0,0.0,0.0,20181010021539.0,1084.0,0.005,16.0
