,AM,AS,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,LM,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,4.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,158.5,0.7692307692307693,158.5,0.9090909090909091,,,,,,5.0,9.0,22.0,12.0,7.0,16.0,2.0,3.0,6.0,1.0,70.0,72.7,66,67,0,1,6.0,5.0,1,20181025005159,21077,1.25,0.5714285714285714
1,,,,4.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,157.5,0.8333333333333334,157.5,0.8333333333333334,,,,,,5.0,9.0,22.0,12.0,7.0,16.0,2.0,3.0,6.0,1.0,70.0,72.7,66,67,0,1,5.0,56.0,1,20181025005207.0,21077,1.2,0.625
2,,,,4.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,157.5,0.8333333333333334,157.5,0.8333333333333334,,,,,,5.0,9.0,22.0,12.0,7.0,16.0,2.0,3.0,6.0,1.0,70.0,72.7,66,67,0,1,5.0,54.0,1,20181025005209.0,21077,1.2,0.625
3,,,,4.0,1.5,0.8,-1.5,0.8695652173913043,156.5,0.8695652173913043,156.5,0.8,,,,,,5.0,9.0,22.0,12.0,7.0,16.0,2.0,3.0,6.0,1.0,70.0,72.7,66,67,0,1,5.0,45.0,1,20181025005218.0,21077,1.1,0.6666666666666666
4,,,,4.0,1.5,0.8,-1.5,0.8695652173913043,156.5,0.7692307692307693,156.5,0.9090909090909091,,,,,,5.0,9.0,22.0,12.0,7.0,16.0,2.0,3.0,6.0,1.0,70.0,72.7,66,67,0,1,5.0,37.0,1,20181025005226.0,21077,1.1,0.6666666666666666
5,,,,4.0,1.5,0.9090909090909091,-1.5,0.7692307692307693,155.5,0.9090909090909091,155.5,0.7692307692307693,,,,,,5.0,9.0,22.0,12.0,7.0,16.0,2.0,3.0,6.0,1.0,70.0,72.7,66,67,0,1,5.0,35.0,1,20181025005228.0,11077.0,1.25,0.5714285714285714
6,,,,4.0,1.5,0.8695652173913043,-1.5,0.8,155.5,0.8333333333333334,155.5,0.8333333333333334,,,,,,5.0,9.0,22.0,12.0,7.0,16.0,2.0,3.0,6.0,1.0,70.0,72.7,66,67,0,1,5.0,26.0,1,20181025005236.0,11077.0,1.25,0.5714285714285714
7,,,,4.0,3.5,0.8333333333333334,-3.5,0.8333333333333334,158.5,0.8,158.5,0.8695652173913043,,15.0,^,,,6.0,9.0,22.0,12.0,7.0,16.0,2.0,3.0,6.0,1.0,70.0,72.7,69,67,0,1,5.0,23.0,1,20181025005240.0,11075^21077,2.25,0.3333333333333333
8,,,,4.0,3.5,0.8333333333333334,-3.5,0.8333333333333334,157.5,0.8695652173913043,157.5,0.8,,15.0,,,,6.0,9.0,22.0,12.0,7.0,16.0,2.0,3.0,6.0,1.0,70.0,72.7,69,67,0,1,5.0,17.0,1,20181025005246.0,21077.0,2.25,0.3333333333333333
9,,,,4.0,3.5,0.8333333333333334,-3.5,0.8333333333333334,157.5,0.8,157.5,0.8695652173913043,,15.0,,,,6.0,9.0,22.0,12.0,7.0,16.0,2.0,3.0,6.0,1.0,70.0,72.7,69,67,0,1,5.0,8.0,1,20181025005254.0,21077.0,2.25,0.3333333333333333
