,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
17,,3.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,159.5,0.8695652173913043,159.5,0.8,3.0,,^,,7.0,5.0,4.0,12.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,34.0,54.0,0,1,8.0,38.0,1.0,20181019140536.0,21074^11077,0.005,16.0
18,,3.0,-23.5,0.8695652173913043,23.5,0.8,159.5,0.8695652173913043,159.5,0.8,4.0,,^,,7.0,5.0,5.0,12.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,36.0,54.0,0,1,8.0,38.0,1.0,20181019140537.0,11074^21077,0.005,16.0
19,,3.0,-23.5,0.8695652173913043,23.5,0.8,161.5,0.8333333333333334,161.5,0.8333333333333334,4.0,,^,,7.0,5.0,5.0,12.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,36.0,54.0,0,1,8.0,29.0,1.0,20181019140545.0,11074^21077,0.004,17.0
20,,3.0,-23.5,0.8695652173913043,23.5,0.8,160.5,0.8695652173913043,160.5,0.8,4.0,,^,,7.0,5.0,5.0,12.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,36.0,54.0,0,1,8.0,21.0,1.0,20181019140553.0,11074^21077,0.004,17.0
21,,3.0,-23.5,0.8695652173913043,23.5,0.8,160.5,0.8333333333333334,160.5,0.8333333333333334,4.0,,^,,7.0,5.0,5.0,12.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,36.0,54.0,0,1,8.0,13.0,1.0,20181019140601.0,11074^21077,0.004,17.0
22,,3.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,160.5,0.8333333333333334,160.5,0.8333333333333334,4.0,,,,7.0,5.0,5.0,12.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,36.0,54.0,0,1,8.0,12.0,1.0,20181019140602.0,11077.0,0.005,16.0
23,,3.0,-22.5,0.8333333333333334,22.5,0.8333333333333334,159.5,0.8695652173913043,159.5,0.8,4.0,,,,7.0,5.0,5.0,12.0,5.0,15.0,5,5,0.0,0.0,41.7,100.0,36.0,54.0,0,1,8.0,8.0,0.0,20181019140606.0,11077.0,0.005,16.0
24,,3.0,-23.5,0.8695652173913043,23.5,0.8,159.5,0.8695652173913043,159.5,0.8,4.0,,^,,7.0,5.0,5.0,12.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,54.0,0,1,8.0,8.0,1.0,20181019140633.0,11086^21077,0.004,17.0
25,,3.0,-24.5,0.8695652173913043,24.5,0.8,161.5,0.8333333333333334,161.5,0.8333333333333334,3.0,,^,,7.0,5.0,5.0,13.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,56.0,0,1,8.0,0.0,1.0,20181019140641.0,21074^11077,0.004,17.0
26,,3.0,-24.5,0.8695652173913043,24.5,0.8,161.5,0.8,161.5,0.8695652173913043,3.0,,^,,7.0,5.0,5.0,13.0,5.0,15.0,5,5,1.0,0.0,41.7,100.0,36.0,56.0,0,1,7.0,52.0,1.0,20181019140649.0,21074^11077,0.004,17.0
