,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,-1.5,0.0,1.5,0.0,,,2,3,,20,19,,12,11,,3,0,,5,4,,57.1,68.8,58,58,0,1,1.0,51.0,0,20180916101056,21078
1,,,,-1.5,0.0,1.5,0.0,,1:2^2:2,2,3,,20,19,12.0,12,11,,3,0,,5,4,70.6,57.1,68.8,58,59,0,1,1.0,51.0,0,20180916101123.0,21079^21078
2,,,,-3.5,0.0,3.5,0.0,,2:2,2,3,,20,19,13.0,12,11,,3,0,,5,4,72.2,57.1,68.8,58,60,0,1,1.0,51.0,0,20180916101135.0,21079.0
3,,,,-3.5,0.0,3.5,0.0,,2:2,2,3,,20,19,13.0,12,11,,3,0,,5,4,72.2,57.1,68.8,58,60,0,1,1.0,51.0,1.0,20180916101137.0,21079.0
4,,,,-3.5,0.0,3.5,0.0,,2:2,2,3,,20,19,13.0,12,11,,3,0,,5,4,72.2,57.1,68.8,58,60,0,1,1.0,42.0,1.0,20180916101146.0,21079.0
5,,,,-2.5,0.0,2.5,0.0,,,2,3,,20,19,13.0,12,11,,3,0,,5,4,72.2,57.1,68.8,58,60,0,1,1.0,40.0,1.0,20180916101148.0,11077.0
6,,,,-2.5,0.0,2.5,0.0,,,2,3,,20,19,13.0,12,11,,3,0,,5,4,72.2,57.1,68.8,58,60,0,1,1.0,34.0,0.0,20180916101154.0,11077.0
7,,,,-2.5,0.0,2.5,0.0,,,2,3,,20,19,13.0,12,11,,3,0,,5,4,72.2,57.1,68.8,58,60,0,1,1.0,34.0,1.0,20180916101208.0,11077.0
8,,,,-2.5,0.0,2.5,0.0,,,2,3,,20,19,13.0,12,11,,3,0,,5,4,72.2,57.1,68.8,58,60,0,1,1.0,25.0,1.0,20180916101216.0,11077.0
9,,,,-2.5,0.0,2.5,0.0,,,2,3,,20,19,13.0,12,11,,3,0,,5,4,72.2,57.1,68.8,58,60,0,1,1.0,24.0,0.0,20180916101218.0,11077.0
10,,,,-2.5,0.0,2.5,0.0,,,2,3,,20,19,13.0,12,11,,3,0,,5,4,72.2,57.1,68.8,58,60,0,1,1.0,24.0,0.0,20180916101219.0,21086.0
11,,,,-1.5,0.0,1.5,0.0,,1:2,2,3,,20,19,13.0,12,11,,3,0,,5,4,72.2,57.1,68.8,58,60,0,1,1.0,24.0,0.0,20180916101225.0,11078.0
12,,,,-1.5,0.0,1.5,0.0,,1:2,2,3,,20,19,13.0,12,11,,3,0,5.0,5,4,72.2,57.1,68.8,58,60,0,1,1.0,22.0,0.0,20180916101231.0,11078.0
13,,,,-1.5,0.0,1.5,0.0,,1:2,2,3,,20,19,13.0,12,11,,3,0,5.0,5,4,72.2,57.1,68.8,58,60,0,1,1.0,20.0,0.0,20180916101231.0,11078.0
14,,,,-1.5,0.0,1.5,0.0,,1:2^2:2,2,3,,20,19,13.0,12,11,,3,0,5.0,5,4,59.1,57.1,68.8,59,60,0,1,1.0,20.0,0.0,20180916101245.0,11079^11078
15,,,,-1.5,0.0,1.5,0.0,,2:2,2,3,,20,19,13.0,12,11,,3,0,5.0,5,4,56.5,57.1,68.8,59,60,0,1,1.0,20.0,1.0,20180916101256.0,11080.0
16,,,,-1.5,0.0,1.5,0.0,,2:2,2,3,,20,19,13.0,12,11,,3,0,5.0,5,4,56.5,57.1,68.8,59,60,0,1,1.0,20.0,1.0,20180916101257.0,11080.0
