,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,25.5,0.0,-25.5,0.0,,,,,6,5,,27,19,,19,14,2,2,,2,4,,82.6,77.8,91,65,0,1,2.0,42.0,0,20181012203255,21077
1,4.0,25.5,0.0,-25.5,0.0,,,,,6,5,,27,19,,19,14,2,2,,2,4,,82.6,77.8,91,65,0,1,2.0,42.0,0,20181012203257.0,21077
2,4.0,25.5,0.0,-25.5,0.0,,,,,6,5,,27,19,,19,14,2,2,3.0,2,4,,82.6,77.8,91,65,0,1,2.0,42.0,0,20181012203258.0,11086.0
3,4.0,25.5,0.0,-25.5,0.0,6.0,1:2,,,6,5,,27,19,,19,14,2,2,3.0,2,4,,82.6,77.8,91,65,0,1,2.0,42.0,0,20181012203305.0,21078.0
4,4.0,25.5,0.0,-25.5,0.0,5.0,1:2^2:2,,,6,5,,27,19,,19,14,2,2,3.0,2,4,73.7,82.6,77.8,91,65,0,1,2.0,42.0,0,20181012203317.0,21080^21078
5,4.0,25.5,0.0,-25.5,0.0,5.0,2:2^,,,6,5,,27,19,15.0,19,14,2,2,3.0,2,4,75.0,82.6,77.8,91,66,0,1,2.0,42.0,0,20181012203329.0,21079^11077
6,4.0,25.5,0.0,-25.5,0.0,5.0,,,,6,5,,27,19,15.0,19,14,2,2,3.0,2,4,75.0,82.6,77.8,91,66,0,1,2.0,42.0,0,20181012203340.0,11077.0
7,4.0,25.5,0.0,-25.5,0.0,5.0,,,,6,5,,27,19,15.0,19,14,2,2,3.0,2,4,75.0,82.6,77.8,91,66,0,1,2.0,42.0,1.0,20181012203340.0,11077.0
8,4.0,25.5,0.0,-25.5,0.0,5.0,,,,6,5,,27,19,15.0,19,14,2,2,3.0,2,4,75.0,82.6,77.8,91,66,0,1,2.0,33.0,1.0,20181012203348.0,11077.0
9,4.0,25.5,0.0,-25.5,0.0,5.0,,,,6,5,,27,19,15.0,19,14,2,2,3.0,2,4,75.0,82.6,77.8,91,66,0,1,2.0,25.0,1.0,20181012203357.0,11077.0
