,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,2.5,0.0,-2.5,0.0,,,8,6,,19,19,,6,9,2,0,,5,5,,75.0,52.9,,68,65,0,1,0,28.0,0,20181028143210,21077
1,4.0,2.5,0.0,-2.5,0.0,,,8,6,,19,19,,6,9,2,0,,5,5,,75.0,52.9,,68,65,0,1,0,27.0,0,20181028143222.0,21077
2,4.0,2.5,0.0,-2.5,0.0,,,8,6,,19,19,,6,9,2,0,,5,5,,75.0,52.9,,68,65,0,1,0,29.0,1.0,20181028143231.0,21077
3,4.0,2.5,0.0,-2.5,0.0,,,8,6,,19,19,,6,9,2,0,,5,5,,75.0,52.9,,68,65,0,1,0,20.0,1.0,20181028143239.0,21077
4,4.0,3.5,0.0,-3.5,0.0,1.0,,8,6,,19,19,,6,9,2,0,,5,5,,75.0,52.9,,68,65,0,1,0,17.0,1.0,20181028143244.0,11077.0
5,4.0,3.5,0.0,-3.5,0.0,1.0,,8,6,,19,19,,6,9,2,0,,5,5,,75.0,52.9,,68,65,0,1,0,9.0,0.0,20181028143252.0,11077.0
6,4.0,3.5,0.0,-3.5,0.0,1.0,^,8,6,,19,19,,6,9,2,0,6.0,5,5,,75.0,52.9,,68,65,0,1,0,9.0,0.0,20181028143301.0,21086^11077
7,4.0,3.5,0.0,-3.5,0.0,2.0,1:2,8,6,,19,19,,6,9,2,0,6.0,5,5,,75.0,52.9,,68,65,0,1,0,9.0,0.0,20181028143304.0,11078.0
8,4.0,4.5,0.0,-4.5,0.0,1.0,1:2^2:2,8,6,,19,19,7.0,6,9,2,0,6.0,5,5,77.8,75.0,52.9,69.0,69,65,0,1,0,9.0,0.0,20181028143317.0,11079^11078
9,4.0,4.5,0.0,-4.5,0.0,1.0,,8,6,,19,19,7.0,6,9,2,0,6.0,5,5,77.8,75.0,52.9,69.0,69,65,0,1,0,9.0,1.0,20181028143329.0,21077.0
10,4.0,4.5,0.0,-4.5,0.0,1.0,,8,6,,19,19,7.0,6,9,2,0,6.0,5,5,77.8,75.0,52.9,69.0,69,65,0,1,0,6.0,0.0,20181028143330.0,21077.0
11,4.0,4.5,0.0,-4.5,0.0,1.0,,8,6,,19,19,7.0,6,9,2,0,6.0,5,5,77.8,75.0,52.9,69.0,69,65,0,1,0,6.0,1.0,20181028143332.0,21077.0
12,4.0,4.5,0.0,-4.5,0.0,1.0,,8,6,20.0,19,19,7.0,6,9,2,0,6.0,5,5,77.8,75.0,52.9,69.0,69,65,0,1,0,6.0,1.0,20181028143332.0,11077.0
13,4.0,4.5,0.0,-4.5,0.0,1.0,,8,6,20.0,19,19,7.0,6,9,2,0,6.0,5,5,77.8,75.0,52.9,69.0,69,65,0,1,0,6.0,0.0,20181028143339.0,11077.0
14,4.0,4.5,0.0,-4.5,0.0,1.0,,8,6,20.0,19,19,7.0,6,9,2,0,6.0,5,5,77.8,75.0,52.9,69.0,69,65,0,1,0,6.0,0.0,20181028143343.0,11077.0
15,4.0,4.5,0.0,-4.5,0.0,1.0,,8,6,20.0,19,19,7.0,6,9,2,0,6.0,5,5,77.8,75.0,52.9,69.0,69,65,0,1,0,6.0,0.0,20181028143401.0,11077.0
16,4.0,4.5,0.0,-4.5,0.0,1.0,,8,6,20.0,19,19,7.0,6,9,2,0,6.0,5,5,77.8,75.0,52.9,69.0,69,65,0,1,0,6.0,0.0,20181028143401.0,1084.0
17,4.0,4.5,0.0,-4.5,0.0,1.0,,8,6,20.0,19,19,7.0,6,9,2,0,6.0,5,5,77.8,75.0,52.9,69.0,69,65,0,1,0,6.0,0.0,20181028143402.0,1084.0
18,4.0,4.5,0.0,-4.5,0.0,1.0,,8,6,20.0,19,19,7.0,6,9,2,0,6.0,5,5,77.8,75.0,52.9,69.0,69,65,0,1,0,6.0,0.0,20181028143402.0,1084.0
