,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,16.5,0.8333333333333334,-16.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.8333333333333334,,,,,8.0,2.0,11.0,14.0,5.0,3.0,4.0,2,6.0,4.0,71.4,50.0,51,37,0,1,3.0,6.0,1,20181106004434,11077,14.0,0.01
1,,,3.0,16.5,0.8333333333333334,-16.5,0.8333333333333334,139.5,0.7692307692307693,139.5,0.9090909090909091,22.0,,,,8.0,2.0,11.0,14.0,5.0,3.0,4.0,2,6.0,4.0,71.4,50.0,51,37,0,1,2.0,57.0,1,20181106004442.0,11077,14.0,0.01
2,,,3.0,16.5,0.8333333333333334,-16.5,0.8333333333333334,138.5,0.8333333333333334,138.5,0.8333333333333334,22.0,,,,8.0,2.0,11.0,14.0,5.0,3.0,4.0,2,6.0,4.0,71.4,50.0,51,37,0,1,2.0,49.0,1,20181106004450.0,11077,14.0,0.01
3,,,3.0,16.5,0.8333333333333334,-16.5,0.8333333333333334,137.5,0.8695652173913043,137.5,0.8,22.0,,,,8.0,2.0,11.0,14.0,5.0,3.0,4.0,2,6.0,4.0,71.4,50.0,51,37,0,1,2.0,40.0,1,20181106004459.0,11077,14.0,0.01
4,,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,139.5,0.9090909090909091,139.5,0.7692307692307693,21.0,,,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,4.0,71.4,50.0,53,37,0,1,2.0,40.0,1,20181106004459.0,21077.0,15.0,0.006666666666666667
5,,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.8333333333333334,21.0,,,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,4.0,71.4,50.0,53,37,0,1,2.0,31.0,1,20181106004507.0,21077.0,15.0,0.006666666666666667
6,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,138.5,0.9090909090909091,138.5,0.7692307692307693,21.0,,,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,4.0,71.4,50.0,53,37,0,1,2.0,27.0,1,20181106004512.0,11077.0,17.0,0.004
7,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,138.5,0.8333333333333334,138.5,0.8333333333333334,21.0,,,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,4.0,71.4,50.0,53,37,0,1,2.0,20.0,1,20181106004518.0,11094.0,17.0,0.004
8,,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,138.5,0.8333333333333334,138.5,0.8333333333333334,21.0,,,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,4.0,71.4,50.0,53,37,0,1,2.0,20.0,1,20181106004519.0,21077.0,15.0,0.006666666666666667
9,,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,137.5,0.8695652173913043,137.5,0.8,21.0,,,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,4.0,71.4,50.0,53,37,0,1,2.0,11.0,1,20181106004527.0,21077.0,16.0,0.005
10,,,3.0,17.5,0.8,-17.5,0.8695652173913043,137.5,0.8333333333333334,137.5,0.8333333333333334,21.0,,,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,4.0,71.4,50.0,53,37,0,1,2.0,5.0,0.0,20181106004534.0,21077.0,16.0,0.005
11,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,137.5,0.8333333333333334,137.5,0.8333333333333334,20.0,,^,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,5.0,71.4,50.0,53,37,0,1,2.0,5.0,0.0,20181106004537.0,21086^11077,16.0,0.005
12,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,137.5,0.8333333333333334,137.5,0.8333333333333334,20.0,,,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,5.0,71.4,50.0,53,37,0,1,2.0,5.0,1.0,20181106004628.0,11077.0,16.0,0.005
13,,,3.0,18.5,0.8,-18.5,0.8695652173913043,136.5,0.8695652173913043,136.5,0.8,23.0,,,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,5.0,71.4,50.0,53,37,0,1,1.0,56.0,1.0,20181106004636.0,11077.0,16.0,0.005
14,,,3.0,18.5,0.8,-18.5,0.8695652173913043,136.5,0.8333333333333334,136.5,0.8333333333333334,23.0,,,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,5.0,71.4,50.0,53,37,0,1,1.0,52.0,1.0,20181106004641.0,11094.0,16.0,0.005
15,,,3.0,17.5,0.8,-17.5,0.8695652173913043,136.5,0.8333333333333334,136.5,0.8333333333333334,24.0,,,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,5.0,71.4,50.0,53,37,0,1,1.0,51.0,0.0,20181106004643.0,21077.0,16.0,0.005
16,,,3.0,18.5,0.8,-18.5,0.8695652173913043,136.5,0.8333333333333334,136.5,0.8333333333333334,23.0,,^,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,6.0,71.4,50.0,53,37,0,1,1.0,51.0,0.0,20181106004646.0,21086^11077,16.0,0.005
17,,,3.0,18.5,0.8,-18.5,0.8695652173913043,136.5,0.8333333333333334,136.5,0.8333333333333334,23.0,,,,8.0,2.0,12.0,14.0,5.0,3.0,4.0,2,6.0,6.0,71.4,50.0,53,37,0,1,1.0,51.0,0.0,20181106004646.0,11077.0,16.0,0.005
18,,,3.0,18.5,0.9090909090909091,-18.5,0.7692307692307693,138.5,0.8,138.5,0.8695652173913043,23.0,,1:2^2:2,,8.0,2.0,12.0,14.0,6.0,3.0,4.0,2,6.0,6.0,75.0,50.0,54,37,0,1,1.0,51.0,0.0,20181106004720.0,11079^11078,16.0,0.005
19,,,3.0,19.5,0.8,-19.5,0.8695652173913043,138.5,0.8333333333333334,138.5,0.8333333333333334,23.0,,2:2^,,8.0,2.0,12.0,14.0,7.0,3.0,4.0,2,6.0,6.0,77.8,50.0,55,37,0,1,1.0,51.0,0.0,20181106004734.0,11079^21077,16.0,0.005
20,,,3.0,19.5,0.8,-19.5,0.8695652173913043,138.5,0.8333333333333334,138.5,0.8333333333333334,23.0,,,,8.0,2.0,12.0,14.0,7.0,3.0,4.0,2,6.0,6.0,77.8,50.0,55,37,0,1,1.0,51.0,1.0,20181106004735.0,21077.0,16.0,0.005
21,,,3.0,19.5,0.8,-19.5,0.8695652173913043,138.5,0.8333333333333334,138.5,0.8333333333333334,23.0,,,,8.0,2.0,12.0,14.0,7.0,3.0,4.0,2,6.0,6.0,77.8,50.0,55,37,0,1,1.0,48.0,0.0,20181106004737.0,21077.0,16.0,0.005
22,,,3.0,19.5,0.8,-19.5,0.8695652173913043,138.5,0.8333333333333334,138.5,0.8333333333333334,23.0,,,,8.0,2.0,12.0,14.0,7.0,3.0,4.0,2,6.0,6.0,77.8,50.0,55,37,0,1,1.0,48.0,1.0,20181106004740.0,21077.0,16.0,0.005
