,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,8.0,12,25,18.0,19,24.0,3.0,0.0,7.0,8,70.4,75.0,93,96,0,1,1.0,33.0,0,20181019135246,11077,1.25,0.5714285714285714
1,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,8.0,12,25,18.0,19,24.0,3.0,0.0,7.0,8,70.4,75.0,93,96,0,1,1.0,33.0,1.0,20181019135312.0,11077,1.25,0.5714285714285714
2,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,8.0,12,25,18.0,19,24.0,3.0,0.0,7.0,8,70.4,75.0,93,96,0,1,1.0,31.0,0.0,20181019135315.0,11077,1.25,0.5714285714285714
3,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,^,9.0,12,25,18.0,19,24.0,3.0,0.0,7.0,8,70.4,75.0,96,96,0,1,1.0,31.0,0.0,20181019135316.0,11075^21077,0.6666666666666666,1.1
4,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,18.0,19,24.0,3.0,0.0,7.0,8,70.4,75.0,96,96,0,1,1.0,31.0,0.0,20181019135317.0,21077.0,0.6666666666666666,1.1
5,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,18.0,19,24.0,3.0,0.0,7.0,8,70.4,75.0,96,96,0,1,1.0,31.0,1.0,20181019135318.0,21077.0,0.6666666666666666,1.1
6,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,18.0,19,24.0,3.0,0.0,7.0,8,70.4,75.0,96,96,0,1,1.0,22.0,1.0,20181019135327.0,21077.0,0.625,1.2
7,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,18.0,19,24.0,3.0,0.0,7.0,8,70.4,75.0,96,96,0,1,1.0,17.0,1.0,20181019135333.0,21095.0,0.625,1.2
8,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,18.0,19,24.0,3.0,0.0,7.0,8,70.4,75.0,96,96,0,1,1.0,15.0,0.0,20181019135335.0,21095.0,0.625,1.2
9,,,,1.5,0.0,-1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,18.0,19,24.0,3.0,0.0,7.0,8,70.4,75.0,96,96,0,1,1.0,15.0,0.0,20181019135336.0,11077.0,1.25,0.5714285714285714
10,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,18.0,19,24.0,3.0,0.0,7.0,8,70.4,75.0,96,96,0,1,1.0,15.0,0.0,20181019135339.0,21077.0,0.625,1.2
11,44.0,5.0,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,18.0,19,24.0,3.0,-1.0,7.0,8,70.4,75.0,96,96,0,1,1.0,15.0,0.0,20181019135344.0,21081.0,0.625,1.2
12,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,18.0,19,24.0,3.0,-1.0,7.0,8,70.4,75.0,96,96,0,1,1.0,15.0,1.0,20181019135516.0,21077.0,0.625,1.2
13,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,18.0,19,24.0,3.0,-1.0,7.0,8,70.4,75.0,96,96,0,1,1.0,11.0,0.0,20181019135520.0,21077.0,0.625,1.2
14,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,^,9.0,12,25,19.0,19,24.0,3.0,-1.0,7.0,8,70.4,75.0,96,98,0,1,1.0,11.0,0.0,20181019135525.0,21074^11077,0.43478260869565216,1.65
15,,,,-1.5,0.0,1.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,19.0,19,24.0,3.0,-1.0,7.0,8,70.4,75.0,96,98,0,1,1.0,11.0,0.0,20181019135530.0,11077.0,0.43478260869565216,1.65
16,,,,-2.5,0.0,2.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,19.0,19,24.0,3.0,-1.0,8.0,8,70.4,75.0,96,98,0,1,1.0,11.0,0.0,20181019135530.0,21077.0,0.25,2.75
17,,,,-2.5,0.0,2.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:1,9.0,12,25,19.0,19,24.0,3.0,-1.0,8.0,8,70.4,75.0,96,98,0,1,1.0,11.0,0.0,20181019135533.0,21078.0,0.3125,2.3
18,,,,-2.5,0.0,2.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:1,9.0,12,25,19.0,19,24.0,3.0,-1.0,8.0,8,70.4,75.0,96,99,0,1,1.0,11.0,0.0,20181019135555.0,21078.0,0.25,2.75
19,,,,-2.5,0.0,2.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:1^,9.0,12,25,19.0,19,25.0,3.0,-1.0,8.0,8,70.4,75.8,96,99,0,1,1.0,11.0,0.0,20181019135555.0,21079^11077,0.25,2.75
20,,,,-2.5,0.0,2.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:1^,9.0,12,25,19.0,19,25.0,3.0,-1.0,8.0,8,70.4,75.8,96,99,0,1,1.0,11.0,1.0,20181019135555.0,21079^11077,0.25,2.75
21,,,,-2.5,0.0,2.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:1^,9.0,12,25,19.0,19,25.0,3.0,-1.0,8.0,8,70.4,75.8,96,99,0,1,1.0,2.0,1.0,20181019135609.0,21079^11077,0.23529411764705882,2.85
22,,,,-2.5,0.0,2.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:1^,9.0,12,25,19.0,19,25.0,3.0,-1.0,8.0,8,70.4,75.8,96,99,0,1,0.0,54.0,1.0,20181019135618.0,21079^11077,0.2222222222222222,3.0
23,,,,-2.5,0.0,2.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:1^,9.0,12,25,19.0,19,25.0,3.0,-1.0,8.0,8,70.4,75.8,96,99,0,1,0.0,47.0,1.0,20181019135623.0,11095.0,0.2,3.3
24,,,,-3.5,0.0,3.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:1^,9.0,12,25,19.0,19,25.0,3.0,-1.0,8.0,8,70.4,75.8,96,99,0,1,0.0,44.0,1.0,20181019135625.0,21077.0,0.1,5.5
25,,,,-3.5,0.0,3.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:1^,9.0,12,25,19.0,19,25.0,3.0,-1.0,8.0,8,70.4,75.8,96,99,0,1,0.0,35.0,1.0,20181019135633.0,21077.0,0.05555555555555555,7.25
26,,,,-3.5,0.0,3.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:1^,9.0,12,25,19.0,19,25.0,3.0,-1.0,8.0,8,70.4,75.8,96,99,0,1,0.0,36.0,0.0,20181019135633.0,21077.0,0.05555555555555555,7.25
27,,,,-3.5,0.0,3.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:1^,9.0,12,25,19.0,19,25.0,3.0,-1.0,8.0,8,70.4,75.8,96,99,0,1,0.0,36.0,0.0,20181019135637.0,21077.0,0.05555555555555555,7.25
28,,,,-3.5,0.0,3.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:1^,9.0,12,25,19.0,19,25.0,3.0,-1.0,9.0,8,70.4,75.8,96,99,0,1,0.0,36.0,0.0,20181019135639.0,11086.0,0.05555555555555555,7.25
29,,,,-3.5,0.0,3.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:2,9.0,12,25,19.0,19,25.0,3.0,-1.0,9.0,8,70.4,75.8,96,99,0,1,0.0,36.0,0.0,20181019135642.0,21078.0,0.1,5.5
30,,,,-4.5,0.0,4.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,1:2^2:2,9.0,12,25,19.0,19,26.0,3.0,-1.0,9.0,8,70.4,76.5,96,100,0,1,0.0,36.0,0.0,20181019135704.0,21079^21078,0.06666666666666667,6.75
31,,,,-4.5,0.0,4.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,2:2^,9.0,12,25,19.0,19,27.0,3.0,-1.0,9.0,8,70.4,77.1,96,101,0,1,0.0,36.0,0.0,20181019135721.0,21079^11077,0.02,10.0
32,,,,-4.5,0.0,4.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,19.0,19,27.0,2.0,-1.0,9.0,8,70.4,77.1,96,101,0,1,0.0,36.0,0.0,20181019135721.0,11077.0,0.02,10.0
33,,,,-4.5,0.0,4.5,0.0,173.5,0.8333333333333334,173.5,0.8333333333333334,,,9.0,12,25,19.0,19,27.0,2.0,-1.0,9.0,8,70.4,77.1,96,101,0,1,0.0,36.0,1.0,20181019135846.0,11077.0,0.02,10.0
