,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-6.5,0.0,6.5,0.0,,,,6,10,,16,14,,3,2,,3,3,,2,3,,50.0,50.0,54,60,0,1,1.0,7.0,0,20181109024003,21077
1,,,4.0,-5.5,0.0,5.5,0.0,,,,6,10,,16,14,,3,2,,3,3,,2,3,,50.0,50.0,54,60,0,1,1.0,7.0,0,20181109024042.0,11077.0
2,,,4.0,-5.5,0.0,5.5,0.0,,,,6,10,,16,14,,3,2,,3,3,,2,3,,50.0,50.0,54,60,0,1,1.0,7.0,1.0,20181109024054.0,11077.0
3,,,4.0,-5.5,0.0,5.5,0.0,,,,6,10,,16,14,,3,2,,3,3,,2,3,,50.0,50.0,54,60,0,1,1.0,1.0,1.0,20181109024059.0,11095.0
4,,,4.0,-6.5,0.0,6.5,0.0,,,,6,10,,16,14,,3,2,,3,3,,2,3,,50.0,50.0,54,60,0,1,1.0,1.0,1.0,20181109024100.0,21077.0
5,,,4.0,-6.5,0.0,6.5,0.0,,,,6,10,,16,14,,3,2,,3,3,,2,3,,50.0,50.0,54,60,0,1,1.0,0.0,0.0,20181109024100.0,21077.0
6,,,4.0,-6.5,0.0,6.5,0.0,,^,,6,10,,16,14,,3,2,,3,3,3.0,2,3,,50.0,50.0,54,60,0,1,1.0,0.0,0.0,20181109024107.0,11086^21077
7,,,4.0,-6.5,0.0,6.5,0.0,,^,,6,10,,16,14,,3,2,,3,3,3.0,2,3,,50.0,50.0,54,60,0,1,1.0,0.0,1.0,20181109024124.0,11086^21077
8,,,4.0,-6.5,0.0,6.5,0.0,2.0,^,,6,10,,16,14,,3,2,,3,3,3.0,2,3,,50.0,50.0,54,60,0,1,0.0,56.0,0.0,20181109024128.0,11086^21077
9,,,4.0,-5.5,0.0,5.5,0.0,3.0,^,1.0,6,10,,16,14,,3,2,,3,3,4.0,2,3,,50.0,50.0,54,60,0,1,0.0,56.0,0.0,20181109024135.0,21086^11077
10,,,4.0,-5.5,0.0,5.5,0.0,3.0,,1.0,6,10,,16,14,,3,2,,3,3,4.0,2,3,,50.0,50.0,54,60,0,1,0.0,54.0,0.0,20181109024205.0,11077.0
11,44.0,5.0,4.0,-5.5,0.0,5.5,0.0,3.0,,1.0,6,10,,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,54,60,0,1,0.0,58.0,0.0,20181109024208.0,11081.0
12,,,4.0,-5.5,0.0,5.5,0.0,3.0,,1.0,6,10,,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,54,60,0,1,0.0,58.0,0.0,20181109024321.0,11077.0
13,,,4.0,-5.5,0.0,5.5,0.0,3.0,,1.0,6,10,,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,54,60,0,1,0.0,58.0,1.0,20181109024321.0,11077.0
14,,,4.0,-5.5,0.0,5.5,0.0,3.0,,1.0,6,10,,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,54,60,0,1,0.0,50.0,0.0,20181109024329.0,11077.0
15,,,4.0,-6.5,0.0,6.5,0.0,2.0,,1.0,6,10,,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,54,60,0,1,0.0,50.0,0.0,20181109024334.0,21077.0
16,44.0,5.0,4.0,-6.5,0.0,6.5,0.0,2.0,,1.0,6,10,,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,54,60,0,1,0.0,50.0,0.0,20181109024342.0,21081.0
17,,,4.0,-6.5,0.0,6.5,0.0,2.0,,1.0,6,10,,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,54,60,0,1,0.0,50.0,0.0,20181109024437.0,21077.0
18,,,4.0,-6.5,0.0,6.5,0.0,2.0,,1.0,6,10,,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,54,60,0,1,0.0,50.0,1.0,20181109024438.0,21077.0
19,,,4.0,-5.5,0.0,5.5,0.0,2.0,,1.0,6,10,,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,54,60,0,1,0.0,44.0,1.0,20181109024444.0,11077.0
20,,,4.0,-4.5,0.0,4.5,0.0,3.0,^,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,39.0,1.0,20181109024448.0,11074^21077
21,,,4.0,-4.5,0.0,4.5,0.0,3.0,,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,39.0,1.0,20181109024449.0,21077.0
22,,,4.0,-3.5,0.0,3.5,0.0,3.0,,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,32.0,1.0,20181109024455.0,11077.0
23,,,4.0,-3.5,0.0,3.5,0.0,2.0,,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,23.0,1.0,20181109024503.0,11077.0
24,,,4.0,-3.5,0.0,3.5,0.0,2.0,,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,23.0,1.0,20181109024504.0,11094.0
25,,,4.0,-3.5,0.0,3.5,0.0,2.0,,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,23.0,1.0,20181109024504.0,11077.0
26,,,4.0,-4.5,0.0,4.5,0.0,2.0,,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,23.0,1.0,20181109024509.0,21077.0
27,,,4.0,-4.5,0.0,4.5,0.0,2.0,,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,18.0,0.0,20181109024509.0,21077.0
28,,,4.0,-4.5,0.0,4.5,0.0,2.0,^,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,18.0,0.0,20181109024524.0,11086^21077
29,,,4.0,-4.5,0.0,4.5,0.0,2.0,^,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,14.0,0.0,20181109024531.0,11086^21077
30,,,4.0,-4.5,0.0,4.5,0.0,2.0,^,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,22.0,1.0,20181109024539.0,11086^21077
31,,,4.0,-4.5,0.0,4.5,0.0,2.0,^,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,13.0,1.0,20181109024547.0,11086^21077
32,,,4.0,-3.5,0.0,3.5,0.0,2.0,,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,11.0,1.0,20181109024550.0,11077.0
33,,,4.0,-3.5,0.0,3.5,0.0,2.0,,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,10.0,0.0,20181109024551.0,11077.0
34,,,4.0,-4.5,0.0,4.5,0.0,2.0,,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,10.0,0.0,20181109024554.0,21077.0
35,,,4.0,-4.5,0.0,4.5,0.0,2.0,,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,4.0,2,3,,50.0,50.0,56,60,0,1,0.0,14.0,0.0,20181109024621.0,21077.0
36,,,4.0,-4.5,0.0,4.5,0.0,2.0,^,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,5.0,2,3,,50.0,50.0,56,60,0,1,0.0,6.0,0.0,20181109024632.0,11086^21077
37,,,4.0,-5.5,0.0,5.5,0.0,2.0,1:2,1.0,6,10,17.0,16,14,,3,2,2.0,3,3,5.0,2,3,,50.0,50.0,56,60,0,1,0.0,6.0,0.0,20181109024640.0,21078.0
38,,,4.0,-5.5,0.0,5.5,0.0,2.0,1:2^2:2,1.0,6,10,17.0,16,14,3.0,3,2,2.0,3,3,5.0,2,3,60.0,50.0,50.0,56,61,0,1,0.0,6.0,0.0,20181109024648.0,21079^21078
39,,,4.0,-5.5,0.0,5.5,0.0,2.0,2:2^,1.0,6,10,17.0,16,14,4.0,3,2,2.0,3,3,5.0,2,3,66.7,50.0,50.0,56,62,0,1,0.0,6.0,0.0,20181109024706.0,21079^11077
40,,,4.0,-5.5,0.0,5.5,0.0,2.0,,1.0,6,10,17.0,16,14,4.0,3,2,2.0,3,3,5.0,2,3,66.7,50.0,50.0,56,62,0,1,0.0,5.0,0.0,20181109024706.0,11077.0
41,44.0,5.0,4.0,-5.5,0.0,5.5,0.0,2.0,,1.0,6,10,17.0,16,14,4.0,3,2,1.0,3,3,5.0,2,3,66.7,50.0,50.0,56,62,0,1,0.0,5.0,0.0,20181109024709.0,11081.0
42,,,4.0,-5.5,0.0,5.5,0.0,2.0,,1.0,6,10,17.0,16,14,4.0,3,2,1.0,3,3,5.0,2,3,66.7,50.0,50.0,56,62,0,1,0.0,5.0,0.0,20181109024812.0,11077.0
43,,,4.0,-5.5,0.0,5.5,0.0,2.0,,1.0,6,10,17.0,16,14,4.0,3,2,1.0,3,3,5.0,2,3,66.7,50.0,50.0,56,62,0,1,0.0,5.0,1.0,20181109024813.0,11077.0
44,,,4.0,-5.5,0.0,5.5,0.0,1.0,,1.0,6,10,17.0,16,14,4.0,3,2,1.0,3,3,5.0,2,3,66.7,50.0,50.0,56,62,0,1,0.0,0.0,0.0,20181109024819.0,11077.0
45,,,4.0,-5.5,0.0,5.5,0.0,1.0,,1.0,6,10,17.0,16,14,4.0,3,2,1.0,3,3,5.0,2,3,66.7,50.0,50.0,56,62,0,1,0.0,0.0,0.0,20181109024820.0,11094.0
46,,,4.0,-5.5,0.0,5.5,0.0,1.0,,1.0,6,10,17.0,16,14,4.0,3,2,1.0,3,3,5.0,2,3,66.7,50.0,50.0,56,62,0,1,0.0,0.0,0.0,20181109024825.0,11077.0
47,,,4.0,-5.5,0.0,5.5,0.0,1.0,,1.0,6,10,17.0,16,14,4.0,3,2,1.0,3,3,5.0,2,3,66.7,50.0,50.0,56,62,0,1,0.0,0.0,0.0,20181109024825.0,1084.0
