,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,40.5,1.0,-40.5,0.7142857142857143,,,,,15,6,,19,13,,6,6,5,3,,4,1,,85.7,75.0,89,50,0,1,4.0,14.0,1,20181016174821,11077
1,4.0,40.5,0.9090909090909091,-40.5,0.7692307692307693,,,,,15,6,,19,13,,6,6,5,3,,4,1,,85.7,75.0,89,50,0,1,4.0,5.0,1,20181016174829.0,11077
2,4.0,41.5,0.9090909090909091,-41.5,0.7692307692307693,,^,,,15,6,20.0,19,13,,6,6,5,3,,4,1,,85.7,75.0,91,50,0,1,4.0,5.0,1,20181016174830.0,11074^21077
3,4.0,41.5,0.9090909090909091,-41.5,0.7692307692307693,,,,,15,6,20.0,19,13,,6,6,5,3,,4,1,,85.7,75.0,91,50,0,1,4.0,1.0,1,20181016174834.0,21077.0
4,4.0,41.5,0.9090909090909091,-41.5,0.7692307692307693,,,,,15,6,20.0,19,13,,6,6,5,3,,4,1,,85.7,75.0,91,50,0,1,3.0,52.0,1,20181016174842.0,21077.0
5,4.0,40.5,0.9090909090909091,-40.5,0.7692307692307693,,^,,,15,6,14.0,19,13,,6,6,5,3,,4,1,,85.7,75.0,91,52,0,1,3.0,50.0,1,20181016174845.0,21074^11077
6,4.0,40.5,0.9090909090909091,-40.5,0.7692307692307693,,,,,15,6,14.0,19,13,,6,6,5,3,,4,1,,85.7,75.0,91,52,0,1,3.0,44.0,1,20181016174851.0,11077.0
7,4.0,40.5,0.9090909090909091,-40.5,0.7692307692307693,,,,,15,6,14.0,19,13,,6,6,5,3,,4,1,,85.7,75.0,91,52,0,1,3.0,35.0,1,20181016174859.0,11077.0
8,4.0,40.5,0.8695652173913043,-40.5,0.8,,,,,15,6,14.0,19,13,,6,6,5,3,,4,1,,85.7,75.0,91,52,0,1,3.0,27.0,1,20181016174908.0,11077.0
9,4.0,41.5,0.8695652173913043,-41.5,0.8,,^,,,15,6,21.0,19,13,,6,6,5,3,,4,1,,85.7,75.0,93,52,0,1,3.0,25.0,1,20181016174911.0,11074^21077
10,4.0,41.5,0.8695652173913043,-41.5,0.8,,,,,15,6,21.0,19,13,,6,6,5,3,,4,1,,85.7,75.0,93,52,0,1,3.0,21.0,1,20181016174914.0,21077.0
11,4.0,41.5,0.8695652173913043,-41.5,0.8,,,,,15,6,21.0,19,13,,6,6,5,3,,4,1,,85.7,75.0,93,52,0,1,3.0,12.0,1,20181016174922.0,21077.0
12,4.0,42.5,0.8333333333333334,-42.5,0.8333333333333334,,,,,15,6,21.0,19,13,,6,6,5,3,,4,1,,85.7,75.0,93,52,0,1,3.0,12.0,1,20181016174924.0,11077.0
13,4.0,42.5,0.8333333333333334,-42.5,0.8333333333333334,,,,,15,6,21.0,19,13,,6,6,5,3,,4,1,,85.7,75.0,93,52,0,1,3.0,3.0,1,20181016174932.0,11077.0
14,4.0,42.5,0.0,-42.5,0.0,2.0,,,,15,6,21.0,19,13,,6,6,5,3,,4,1,,85.7,75.0,93,52,0,1,2.0,59.0,0.0,20181016174936.0,11077.0
