,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,4.5,0.0,-4.5,0.0,,,9,4,,16,21,,19,20,1,2,,5,5,,79.2,87.0,78,74,0,1,1.0,26.0,0,20181029014731,21079^21078
1,4.0,3.5,0.0,-3.5,0.0,,2:2^,9,4,,16,21,21.0,19,20,1,2,,5,5,87.5,79.2,87.0,78,75,0,1,1.0,26.0,0,20181029014800.0,21079^11077
2,4.0,3.5,0.0,-3.5,0.0,,2:2^,9,4,,16,21,21.0,19,20,1,2,,5,5,87.5,79.2,87.0,78,75,0,1,1.0,26.0,1.0,20181029014800.0,21079^11077
3,4.0,3.5,0.0,-3.5,0.0,,2:2^,9,4,,16,21,21.0,19,20,1,2,,5,5,87.5,79.2,87.0,78,75,0,1,1.0,26.0,0.0,20181029014800.0,21079^11077
4,4.0,3.5,0.0,-3.5,0.0,,2:2^,9,4,,16,21,21.0,19,20,1,2,,5,5,87.5,79.2,87.0,78,75,0,1,1.0,26.0,1.0,20181029014805.0,21079^11077
5,4.0,3.5,0.0,-3.5,0.0,,2:2^,9,4,,16,21,21.0,19,20,1,2,,5,5,87.5,79.2,87.0,78,75,0,1,1.0,26.0,1.0,20181029014810.0,21079^11077
6,4.0,3.5,0.0,-3.5,0.0,,2:2^,9,4,,16,21,21.0,19,20,1,2,,5,5,87.5,79.2,87.0,78,75,0,1,1.0,13.0,1.0,20181029014818.0,21079^11077
7,4.0,3.5,0.0,-3.5,0.0,,,9,4,17.0,16,21,21.0,19,20,1,2,,5,5,87.5,79.2,87.0,78,75,0,1,1.0,13.0,1.0,20181029014818.0,21077.0
8,4.0,3.5,0.0,-3.5,0.0,,,9,4,17.0,16,21,21.0,19,20,1,2,,5,5,87.5,79.2,87.0,78,75,0,1,0.0,58.0,1.0,20181029014833.0,21077.0
9,4.0,3.5,0.0,-3.5,0.0,,,9,4,17.0,16,21,21.0,19,20,1,2,,5,5,87.5,79.2,87.0,78,75,0,1,0.0,50.0,1.0,20181029014841.0,21077.0
10,4.0,3.5,0.0,-3.5,0.0,,,9,4,17.0,16,21,21.0,19,20,1,2,,5,5,87.5,79.2,87.0,78,75,0,1,0.0,44.0,0.0,20181029014846.0,21077.0
11,4.0,3.5,0.0,-3.5,0.0,,^,9,4,17.0,16,21,21.0,19,20,1,2,6.0,5,5,87.5,79.2,87.0,78,75,0,1,0.0,44.0,0.0,20181029014848.0,11086^21077
12,4.0,3.5,0.0,-3.5,0.0,,1:2,9,4,17.0,16,21,21.0,19,20,1,2,6.0,5,5,87.5,79.2,87.0,78,75,0,1,0.0,44.0,0.0,20181029014854.0,21078.0
13,4.0,3.5,0.0,-3.5,0.0,,1:2^2:2,9,4,17.0,16,21,22.0,19,20,1,2,6.0,5,5,88.0,79.2,87.0,80,76,0,1,0.0,44.0,0.0,20181029014910.0,21079^21078
14,4.0,3.5,0.0,-3.5,0.0,,2:2^,9,4,17.0,16,21,23.0,19,20,1,2,6.0,5,5,88.5,79.2,87.0,80,77,0,1,0.0,44.0,0.0,20181029014923.0,21079^11077
15,4.0,3.5,0.0,-3.5,0.0,,2:2^,9,4,17.0,16,21,23.0,19,20,1,2,6.0,5,5,88.5,79.2,87.0,80,77,0,1,0.0,44.0,1.0,20181029014923.0,21079^11077
16,4.0,3.5,0.0,-3.5,0.0,,2:2^,9,4,17.0,16,21,23.0,19,20,1,2,6.0,5,5,88.5,79.2,87.0,80,77,0,1,0.0,43.0,0.0,20181029014924.0,21079^11077
17,4.0,3.5,0.0,-3.5,0.0,,2:2^,9,4,17.0,16,21,23.0,19,20,1,2,6.0,5,5,88.5,79.2,87.0,80,77,0,1,0.0,43.0,1.0,20181029014935.0,21079^11077
18,4.0,3.5,0.0,-3.5,0.0,,2:2^,9,4,17.0,16,21,23.0,19,20,1,2,6.0,5,5,88.5,79.2,87.0,80,77,0,1,0.0,34.0,1.0,20181029014943.0,21079^11077
19,4.0,3.5,0.0,-3.5,0.0,2.0,2:2^,9,4,17.0,16,21,23.0,19,20,1,2,6.0,5,5,88.5,79.2,87.0,80,77,0,1,0.0,26.0,1.0,20181029014952.0,21079^11077
20,4.0,3.5,0.0,-3.5,0.0,2.0,2:2^,9,4,17.0,16,21,23.0,19,20,1,2,6.0,5,5,88.5,79.2,87.0,80,77,0,1,0.0,24.0,1.0,20181029014955.0,11095.0
21,4.0,2.5,0.0,-2.5,0.0,2.0,2:2^,9,4,17.0,16,21,23.0,19,20,1,2,6.0,5,5,88.5,79.2,87.0,80,77,0,1,0.0,15.0,1.0,20181029015003.0,21077.0
