,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1,S2,S3,S4,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
25,,,,第1节,-2.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,-2.5,1.0,0.8,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,3.0,0.0,1,9.0,GD,22.0,0,,21077.0,0.66,1.1
26,,,,第1节,2.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,2.5,1.0,0.87,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,3.0,0.0,1,9.0,GD,22.0,0,,21077.0,0.66,1.1
27,,,,第1节,162.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,162.5,1.0,0.87,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,3.0,0.0,1,9.0,GD,22.0,0,,21077.0,0.66,1.1
28,,,,第1节,162.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,162.5,1.0,0.63,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,3.0,0.0,1,9.0,GD,22.0,0,,21077.0,0.66,1.1
29,,,,第1节,162.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,162.5,1.0,1.2,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,6.0,0.0,1,8.0,GD,57.0,0,,21077.0,0.66,1.1
30,,,,第1节,162.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,162.5,1.0,1.2,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,6.0,0.0,1,8.0,GD,57.0,0,,11077.0,0.66,1.1
31,,,,第1节,162.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,162.5,1.0,1.2,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,6.0,0.0,1,8.0,GD,44.0,0,,11077.0,0.66,1.1
32,,,,第1节,-3.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,-3.5,1.0,0.87,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,6.0,0.0,1,8.0,GD,44.0,0,,11077.0,0.66,1.1
33,,,,第1节,3.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,3.5,1.0,0.8,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,6.0,0.0,1,8.0,GD,44.0,0,,11077.0,0.66,1.1
34,,,,第1节,161.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,161.5,1.0,0.8,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,6.0,0.0,1,8.0,GD,44.0,0,,11077.0,0.66,1.1
35,,,,第1节,161.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,161.5,1.0,0.8,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,6.0,0.0,1,8.0,GD,32.0,0,,21077.0,0.66,1.1
36,,,,第1节,-2.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,-2.5,1.0,0.8,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,6.0,0.0,1,8.0,GD,32.0,0,,21077.0,0.66,1.1
37,,,,第1节,2.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,2.5,1.0,0.87,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,6.0,0.0,1,8.0,GD,32.0,0,,21077.0,0.66,1.1
38,,,,第1节,160.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,0.87,,,2.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,6.0,0.0,1,8.0,GD,32.0,0,,21077.0,0.66,1.1
39,,,,第1节,160.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,0.87,,,3.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,6.0,0.0,1,8.0,GD,32.0,0,,11075.0,0.66,1.1
40,,,,第1节,160.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,0.87,,,3.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,9.0,0.0,1,8.0,GD,32.0,0,,21077.0,0.66,1.1
41,,,,第1节,160.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,160.5,1.0,0.87,,,3.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,9.0,0.0,1,7.0,GD,51.0,0,,21077.0,0.66,1.1
42,,,,第1节,-5.5,-2.5,0.83,2.5,0.83,160.5,0.83,160.5,0.83,-5.5,1.0,0.83,,,3.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,9.0,0.0,1,7.0,GD,51.0,0,,21077.0,0.66,1.1
