,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
17,4.0,-8.5,1.0,8.5,0.7142857142857143,,^,1.0,,4,2,10,20,6.0,12,4,2,3,5.0,3,2,75.0,66.7,66.7,44,52,0,1,2.0,17.0,0.0,20181019163449.0,11086^21077
18,4.0,-8.5,1.0,8.5,0.7142857142857143,,^,1.0,,4,2,10,20,6.0,12,4,2,3,6.0,3,2,75.0,66.7,66.7,44,52,0,1,2.0,17.0,0.0,20181019163500.0,11086^21077
19,4.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,,1:2,1.0,,4,2,10,20,6.0,12,4,2,3,6.0,3,2,75.0,66.7,66.7,44,52,0,1,2.0,17.0,0.0,20181019163501.0,21078.0
20,4.0,-8.5,0.7692307692307693,8.5,0.9090909090909091,,1:2^2:2,1.0,,4,2,10,20,7.0,12,4,2,3,6.0,3,2,77.8,66.7,66.7,44,53,0,1,2.0,17.0,0.0,20181019163506.0,21079^21078
21,4.0,-8.5,1.0,8.5,0.7142857142857143,,2:2^,1.0,,4,2,10,20,7.0,12,4,2,3,6.0,3,2,70.0,66.7,66.7,44,53,0,1,2.0,17.0,1.0,20181019163509.0,21080^11077
22,4.0,-9.5,1.0,9.5,0.7142857142857143,,,1.0,,4,2,10,20,7.0,12,4,2,3,6.0,3,2,70.0,66.7,66.7,44,53,0,1,2.0,16.0,1.0,20181019163510.0,21077.0
23,4.0,-8.5,1.0,8.5,0.7142857142857143,,,1.0,,4,2,10,20,7.0,12,4,2,3,6.0,3,2,70.0,66.7,66.7,44,53,0,1,2.0,14.0,1.0,20181019163512.0,11077.0
24,4.0,-9.5,1.0,9.5,0.7142857142857143,,,1.0,,4,2,10,20,7.0,12,4,2,3,6.0,3,2,70.0,66.7,66.7,44,53,0,1,2.0,14.0,1.0,20181019163512.0,21077.0
25,4.0,-9.5,0.0,9.5,0.0,2.0,,1.0,,4,2,10,20,7.0,12,4,2,3,6.0,3,2,70.0,66.7,66.7,44,53,0,1,1.0,58.0,1.0,20181019163527.0,21077.0
26,4.0,-9.5,0.0,9.5,0.0,2.0,,1.0,,4,2,10,20,7.0,12,4,2,3,6.0,3,2,70.0,66.7,66.7,44,53,0,1,1.0,50.0,1.0,20181019163536.0,21077.0
27,4.0,-9.5,0.0,9.5,0.0,1.0,,1.0,,4,2,10,20,7.0,12,4,2,3,6.0,3,2,70.0,66.7,66.7,44,53,0,1,1.0,50.0,0.0,20181019163536.0,21077.0
28,4.0,-9.5,0.0,9.5,0.0,1.0,^,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,70.0,66.7,66.7,44,53,0,1,1.0,50.0,0.0,20181019163541.0,11086^21077
29,4.0,-9.5,0.0,9.5,0.0,3.0,1:2,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,70.0,66.7,66.7,44,53,0,1,1.0,50.0,0.0,20181019163542.0,21078.0
30,4.0,-8.5,0.0,8.5,0.0,3.0,1:2^2:2,1.0,,4,2,10,20,7.0,12,4,2,3,7.0,3,2,63.6,66.7,66.7,44,53,0,1,1.0,50.0,0.0,20181019163555.0,21080^21078
