,ED,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,0,1,0,38.0,0,20181017131843,11086^21078
1,,,1:2^2:2,,,0,1,0,38.0,0,20181017132022.0,21080^21078
2,,,2:2^,,,0,1,0,38.0,1.0,20181017132043.0,21080^11077
3,,,2:2^,,,0,1,0,38.0,1.0,20181017132044.0,21080^11077
4,,,,,,0,1,0,38.0,1.0,20181017132045.0,11077.0
5,,,,,,0,1,0,29.0,1.0,20181017132053.0,11077.0
6,,,,,,0,1,0,22.0,1.0,20181017132100.0,21077.0
7,,,,,,0,1,0,13.0,1.0,20181017132108.0,21077.0
8,,,,,,0,1,0,13.0,0.0,20181017132109.0,21077.0
9,,,,,,0,1,0,13.0,0.0,20181017132120.0,11086.0
10,,,1:2,,,0,1,0,13.0,0.0,20181017132122.0,21078.0
11,,,^1:2,,,0,1,0,13.0,0.0,20181017132122.0,11086^21078
12,,1.0,2:2,74.0,77.0,0,1,0,13.0,0.0,20181017132318.0,21079.0
13,,1.0,2:2,74.0,77.0,0,1,0,13.0,1.0,20181017132342.0,21079.0
14,,1.0,,74.0,77.0,0,1,0,12.0,0.0,20181017132343.0,21077.0
15,,1.0,,74.0,77.0,0,1,0,12.0,0.0,20181017132350.0,11086.0
16,,2.0,1:2,74.0,77.0,0,1,0,12.0,0.0,20181017132354.0,21078.0
17,,2.0,^1:2,74.0,77.0,0,1,0,12.0,0.0,20181017132354.0,11086^21078
18,,2.0,2:2,74.0,79.0,0,1,0,12.0,0.0,20181017132427.0,21079.0
19,,2.0,2:2,74.0,79.0,0,1,0,12.0,1.0,20181017132430.0,21079.0
20,,2.0,,74.0,79.0,0,1,0,12.0,1.0,20181017132430.0,11077.0
21,,2.0,,74.0,79.0,0,1,0,0.0,0.0,20181017132442.0,11077.0
22,,2.0,,74.0,79.0,0,1,0,0.0,0.0,20181017132442.0,1084.0
23,,2.0,,74.0,79.0,0,1,0,0.0,0.0,20181017132448.0,1084.0
24,,2.0,,74.0,79.0,0,1,0,0.0,0.0,20181017132448.0,1084.0
