,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,1.5,0.8,-1.5,0.8695652173913043,,,5,6,,21,21,,18,16,,5,2,,4,7,,78.3,72.7,75,75,0,1,2.0,35.0,1,20181029014749,11077
1,,,4.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,,,5,6,,21,21,,18,16,,5,2,,4,7,,78.3,72.7,75,75,0,1,2.0,28.0,1,20181029014758.0,11095.0
2,,,4.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,,,5,6,,21,21,,18,16,,5,2,,4,7,,78.3,72.7,75,75,0,1,2.0,27.0,1,20181029014758.0,11095.0
3,,,4.0,-1.5,1.0,1.5,0.7142857142857143,,,5,6,,21,21,,18,16,,5,2,,4,7,,78.3,72.7,75,75,0,1,2.0,21.0,1,20181029014804.0,21077.0
4,,,4.0,-1.5,1.0,1.5,0.7142857142857143,,,5,6,,21,21,,18,16,,5,2,,4,7,,78.3,72.7,75,75,0,1,2.0,18.0,0.0,20181029014806.0,21077.0
5,,,4.0,-1.5,1.0,1.5,0.7142857142857143,,,5,6,,21,21,,18,16,,5,2,,4,7,,78.3,72.7,75,75,0,1,2.0,18.0,1.0,20181029014850.0,21077.0
6,,,4.0,-1.5,1.0,1.5,0.7142857142857143,,,5,6,,21,21,,18,16,,5,2,,4,7,,78.3,72.7,75,75,0,1,2.0,16.0,0.0,20181029014851.0,21077.0
7,,,4.0,-1.5,1.0,1.5,0.7142857142857143,,,5,6,,21,21,,18,16,,5,2,,4,7,,78.3,72.7,75,75,0,1,2.0,16.0,0.0,20181029014857.0,21077.0
8,,,4.0,-1.5,1.0,1.5,0.7142857142857143,,,5,6,,21,21,,18,16,,5,2,5.0,4,7,,78.3,72.7,75,75,0,1,2.0,16.0,0.0,20181029014902.0,11086.0
9,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,,1:2,5,6,,21,21,,18,16,,5,2,5.0,4,7,,78.3,72.7,75,75,0,1,2.0,16.0,0.0,20181029014908.0,21078.0
