,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1,S2,S3,S5,S6,SC,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS
67,,,,第1节,34.5,0.83,-34.5,0.83,175.5,0.83,175.5,0.83,175.5,1.0,9241317.0,,,,,,,,,9.0,9.0,1.0,1,9.0,GD,13.0,1.0,20180702183329.0,21077.0,
68,,,,第1节,34.5,0.83,-34.5,0.83,175.5,0.83,175.5,0.83,175.5,1.0,9241317.0,,,,,,,,,9.0,9.0,1.0,1,9.0,GD,13.0,1.0,20180702183329.0,21077.0,
69,,,,第1节,34.5,0.83,-37.5,0.83,175.5,0.83,175.5,0.83,-37.5,1.0,9241317.0,,,,,,,,,9.0,9.0,1.0,1,9.0,GD,13.0,1.0,20180702183329.0,21077.0,
70,,,,第1节,37.5,0.83,-37.5,0.83,175.5,0.83,175.5,0.83,37.5,1.0,9241317.0,,,,,,,,,9.0,9.0,0.0,1,9.0,GD,13.0,1.0,20180702183329.0,21077.0,
71,,,,第1节,37.5,0.83,-37.5,0.83,175.5,0.83,175.5,0.83,37.5,1.0,9241317.0,,,,,,,,,9.0,9.0,0.0,1,9.0,GD,13.0,1.0,20180702183329.0,21077.0,
72,,,,第1节,37.5,0.83,-37.5,0.83,175.5,0.83,175.5,0.83,37.5,1.0,9241317.0,,,,,,,,,9.0,9.0,0.0,1,9.0,GD,13.0,1.0,20180702183329.0,21077.0,
73,,,,第1节,37.5,0.83,-37.5,0.83,175.5,0.83,175.5,0.83,37.5,1.0,9241317.0,,,,,,,,,9.0,9.0,0.0,1,5.0,GD,30.0,0.0,20180702183329.0,21077.0,
74,,,,第1节,37.5,0.83,-37.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,9241317.0,,,,,,,,,9.0,9.0,0.0,1,5.0,GD,30.0,0.0,20180702183329.0,21077.0,
75,,,,第1节,37.5,0.83,-37.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,9241317.0,,,,,,,,,9.0,9.0,0.0,1,5.0,GD,30.0,0.0,20180702183329.0,21077.0,
76,,,,第1节,37.5,0.83,-36.5,0.83,172.5,0.83,172.5,0.83,-36.5,1.0,9241317.0,,,,,,,,,9.0,9.0,0.0,1,5.0,GD,30.0,0.0,20180702183329.0,21077.0,
