,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-5.5,0.7692307692307693,5.5,1.0,,,,15,12,,26,27,,8,20,,1,2,,8,3,,88.9,76.9,105,110,0,1,2.0,40.0,1,20181113021115,21077
1,,,4.0,-5.5,0.8,5.5,0.9523809523809523,,,,15,12,,26,27,,8,20,,1,2,,8,3,,88.9,76.9,105,110,0,1,2.0,30.0,1,20181113021124.0,21077
2,,,4.0,-7.5,0.9523809523809523,7.5,0.8,,^,13.0,15,12,,26,27,,8,20,,1,2,,8,3,,88.9,76.9,105,113,0,1,2.0,26.0,1,20181113021128.0,21075^11077
3,,,4.0,-7.5,0.9523809523809523,7.5,0.8,,,13.0,15,12,,26,27,,8,20,,1,2,,8,3,,88.9,76.9,105,113,0,1,2.0,26.0,1,20181113021130.0,11077.0
4,,,4.0,-7.5,0.9523809523809523,7.5,0.8,,,13.0,15,12,,26,27,,8,20,,1,2,,8,3,,88.9,76.9,105,113,0,1,2.0,15.0,1,20181113021140.0,11077.0
5,,,4.0,-6.5,0.8695652173913043,6.5,0.8695652173913043,,^,13.0,15,12,27.0,26,27,,8,20,,1,2,,8,3,,88.9,76.9,107,113,0,1,2.0,11.0,1,20181113021144.0,11074^21077
6,,,4.0,-6.5,0.8695652173913043,6.5,0.8695652173913043,,,13.0,15,12,27.0,26,27,,8,20,,1,2,,8,3,,88.9,76.9,107,113,0,1,2.0,11.0,1,20181113021145.0,21077.0
7,,,4.0,-6.5,0.8695652173913043,6.5,0.8695652173913043,,,13.0,15,12,27.0,26,27,,8,20,,1,2,,8,3,,88.9,76.9,107,113,0,1,2.0,1.0,1,20181113021154.0,21077.0
8,,,4.0,-6.5,0.0,6.5,0.0,3.0,,13.0,15,12,27.0,26,27,,8,20,,1,2,,8,3,,88.9,76.9,107,113,0,1,1.0,52.0,1,20181113021202.0,21094.0
9,,,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,27.0,26,27,,8,20,,1,2,,8,3,,88.9,76.9,107,113,0,1,1.0,52.0,1,20181113021203.0,11077.0
10,,,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,27.0,26,27,,8,20,,1,2,,8,3,,88.9,76.9,107,113,0,1,1.0,50.0,1,20181113021205.0,11077.0
11,,,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,27.0,26,27,,8,20,,1,2,,8,3,,88.9,76.9,107,113,0,1,1.0,43.0,1,20181113021211.0,11094.0
12,,,4.0,-6.5,0.0,6.5,0.0,3.0,,13.0,15,12,27.0,26,27,,8,20,,1,2,,8,3,,88.9,76.9,107,113,0,1,1.0,43.0,1,20181113021212.0,11094.0
13,,,4.0,-6.5,0.0,6.5,0.0,3.0,^,13.0,15,12,27.0,26,27,,8,20,,1,2,9.0,8,3,,88.9,76.9,107,113,0,1,1.0,43.0,1,20181113021212.0,21077.0
14,,,4.0,-6.5,0.0,6.5,0.0,3.0,1:2,13.0,15,12,27.0,26,27,,8,20,,1,2,9.0,8,3,,88.9,76.9,107,113,0,1,1.0,43.0,1,20181113021217.0,21078.0
15,,,4.0,-6.5,0.0,6.5,0.0,3.0,1:2,13.0,15,12,27.0,26,27,,8,20,,1,2,9.0,8,3,,88.9,76.9,107,113,0,1,1.0,32.0,1,20181113021222.0,21078.0
16,,,4.0,-6.5,0.0,6.5,0.0,3.0,1:2^2:2,13.0,15,12,27.0,26,27,,8,20,,1,2,9.0,8,3,74.1,88.9,76.9,107,113,0,1,1.0,46.0,1,20181113021247.0,21080^21078
17,,,4.0,-6.5,0.0,6.5,0.0,3.0,2:2^,13.0,15,12,27.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,107,114,0,1,1.0,46.0,1,20181113021303.0,21079^11077
18,,,4.0,-6.5,0.0,6.5,0.0,3.0,,13.0,15,12,27.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,107,114,0,1,1.0,46.0,1,20181113021304.0,11077.0
19,,,4.0,-6.5,0.0,6.5,0.0,3.0,,13.0,15,12,27.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,107,114,0,1,1.0,46.0,1.0,20181113021305.0,11077.0
20,,,4.0,-6.5,0.0,6.5,0.0,3.0,,13.0,15,12,27.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,107,114,0,1,1.0,36.0,1.0,20181113021315.0,11077.0
21,,,4.0,-6.5,0.0,6.5,0.0,3.0,,13.0,15,12,27.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,107,114,0,1,1.0,32.0,1.0,20181113021319.0,11095.0
22,,,4.0,-6.5,0.0,6.5,0.0,3.0,,13.0,15,12,27.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,107,114,0,1,1.0,32.0,1.0,20181113021320.0,11077.0
23,,,4.0,-5.5,0.0,5.5,0.0,3.0,^,13.0,15,12,28.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,30.0,0.0,20181113021322.0,11074^21077
24,,,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,30.0,0.0,20181113021323.0,21077.0
25,,,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,30.0,1.0,20181113021325.0,21077.0
26,,,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,20.0,1.0,20181113021334.0,21077.0
27,,,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,11.0,1.0,20181113021343.0,21077.0
28,,,4.0,-4.5,0.0,4.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,11.0,0.0,20181113021345.0,11077.0
29,,,4.0,-4.5,0.0,4.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,5.0,0.0,20181113021349.0,11077.0
30,,,4.0,-4.5,0.0,4.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,17.0,1.0,20181113021356.0,11077.0
31,,,4.0,-4.5,0.0,4.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,7.0,1.0,20181113021405.0,11077.0
32,,,4.0,-4.5,0.0,4.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,8.0,0.0,20181113021406.0,11077.0
33,,,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,8.0,0.0,20181113021409.0,21077.0
34,44.0,5.0,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,1.0,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,8.0,0.0,20181113021416.0,21081.0
35,,,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,1.0,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,8.0,0.0,20181113021553.0,21077.0
36,,,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,1.0,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,1.0,8.0,1.0,20181113021600.0,21077.0
37,,,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,1.0,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,0.0,58.0,1.0,20181113021609.0,21077.0
38,,,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,1.0,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,0.0,49.0,1.0,20181113021618.0,21077.0
39,,,4.0,-5.5,0.0,5.5,0.0,3.0,,13.0,15,12,28.0,26,27,21.0,8,20,1.0,1,2,9.0,8,3,75.0,88.9,76.9,109,114,0,1,0.0,40.0,1.0,20181113021627.0,21077.0
40,,,4.0,-6.5,0.0,6.5,0.0,3.0,1:2,13.0,15,12,28.0,26,27,21.0,8,20,1.0,1,2,10.0,8,3,75.0,88.9,76.9,109,114,0,1,0.0,40.0,0.0,20181113021628.0,21078.0
41,,,4.0,-6.5,0.0,6.5,0.0,3.0,1:2,13.0,15,12,28.0,26,27,21.0,8,20,1.0,1,2,10.0,8,3,75.0,88.9,76.9,109,114,0,1,0.0,40.0,0.0,20181113021635.0,21078.0
42,,,4.0,-6.5,0.0,6.5,0.0,2.0,1:2,13.0,15,12,28.0,26,27,21.0,8,20,1.0,1,2,10.0,8,3,75.0,88.9,76.9,109,114,0,1,0.0,28.0,0.0,20181113021638.0,21078.0
43,,,4.0,-6.5,0.0,6.5,0.0,3.0,1:2^2:2,13.0,15,12,28.0,26,27,22.0,8,20,1.0,1,2,10.0,8,3,75.9,88.9,76.9,109,115,0,1,0.0,52.0,0.0,20181113021647.0,21079^21078
44,,,4.0,-6.5,0.0,6.5,0.0,3.0,2:2^,13.0,15,12,28.0,26,27,23.0,8,20,1.0,1,2,10.0,8,3,76.7,88.9,76.9,109,116,0,1,0.0,52.0,0.0,20181113021704.0,21079^11077
45,,,4.0,-6.5,0.0,6.5,0.0,3.0,,13.0,15,12,28.0,26,27,23.0,8,20,1.0,1,2,10.0,8,3,76.7,88.9,76.9,109,116,0,1,0.0,52.0,0.0,20181113021705.0,11077.0
