,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,KC,KI,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
10,,,,第1节,4.5,0.83,-4.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,,1,9.0,GD,33.0,0,,21077.0,0.0,0.47
11,,,,第1节,4.5,0.83,-4.5,0.83,120.5,0.83,120.5,0.83,120.5,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,,1,9.0,GD,33.0,0,,21077.0,0.0,0.47
12,,,,第1节,4.5,0.83,-4.5,0.83,120.5,0.83,120.5,0.83,120.5,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,,1,9.0,GD,18.0,0,,21077.0,0.0,0.47
13,,,,第1节,4.5,0.83,-4.5,0.83,120.5,0.83,120.5,0.83,120.5,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,0.0,,1,9.0,GD,18.0,0,,21086.0,0.0,0.47
14,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,0.0,,1,9.0,GD,18.0,0,,11077.0,0.0,0.47
15,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,118.5,0.83,119.5,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,0.0,,1,9.0,GD,18.0,0,,11077.0,0.0,0.47
16,,,,第1节,4.5,0.83,-4.5,0.83,118.5,0.83,118.5,0.83,118.5,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,0.0,,1,9.0,GD,18.0,0,,11077.0,0.0,0.47
17,,,,第1节,4.5,0.83,-4.5,0.83,118.5,0.83,118.5,0.83,118.5,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,0.0,,1,9.0,GD,2.0,0,,11077.0,0.0,0.47
18,,,,第1节,4.5,0.83,-4.5,0.83,118.5,0.83,118.5,0.83,118.5,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,1.0,,1,9.0,GD,2.0,0,,11077.0,0.0,0.47
19,,,,第1节,4.5,0.83,-4.5,0.83,118.5,0.83,118.5,0.83,118.5,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,1.0,,1,9.0,GD,2.0,0,,11077.0,0.0,0.47
20,,,,第1节,4.5,0.83,-4.5,0.83,118.5,0.83,118.5,0.83,118.5,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,1.0,,1,9.0,GD,2.0,0,,11077.0,0.0,0.47
21,,,,第1节,4.5,0.83,-4.5,0.83,118.5,0.83,118.5,0.83,118.5,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,1.0,,1,9.0,GD,2.0,0,,11077.0,0.0,0.47
22,,,,第1节,4.5,0.83,-4.5,0.83,118.5,0.83,118.5,0.83,118.5,,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,1.0,,1,9.0,GD,2.0,0,,11077.0,0.0,0.47
23,,,,第1节,4.5,0.83,-4.5,0.83,118.5,0.83,118.5,0.83,118.5,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,,1.0,,1,9.0,GD,2.0,0,,11075.0,0.0,0.47
24,,,,第1节,4.5,0.83,-4.5,0.83,118.5,0.83,118.5,0.83,118.5,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,,1,8.0,GD,51.0,0,,21077.0,0.0,0.47
25,,,,第1节,4.5,0.83,-6.5,0.83,118.5,0.83,118.5,0.83,-6.5,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,,1,8.0,GD,51.0,0,,21077.0,0.0,0.47
26,,,,第1节,6.5,0.83,-6.5,0.83,118.5,0.83,121.5,0.83,6.5,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,,1,8.0,GD,51.0,0,,21077.0,0.0,0.47
27,,,,第1节,6.5,0.83,-6.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,,1,8.0,GD,51.0,0,,21077.0,0.0,0.47
28,,,,第1节,6.5,0.83,-6.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,,1,8.0,GD,51.0,0,,21077.0,0.0,0.0
29,,,,第1节,6.5,0.83,-6.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,,1,8.0,GD,51.0,0,,21077.0,0.0,0.0
30,,,,第1节,6.5,0.83,-6.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,,1,8.0,GD,51.0,0,,21077.0,0.0,0.0
31,,,,第1节,6.5,0.83,-6.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,,1,8.0,GD,51.0,0,,21077.0,0.0,0.0
32,,,,第1节,6.5,0.83,-6.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,,1,8.0,GD,51.0,0,,21077.0,0.0,0.0
33,,,,第1节,6.5,0.83,-6.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,,1,8.0,GD,51.0,0,,21075.0,0.0,0.0
34,,,,第1节,6.5,0.83,-6.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,8.0,GD,51.0,0,,11077.0,0.0,0.0
35,,,,第1节,6.5,0.83,-6.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,8.0,GD,30.0,0,,11077.0,0.0,0.0
36,,,,第1节,6.5,0.83,-4.5,0.83,121.5,0.83,121.5,0.83,-4.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,8.0,GD,30.0,0,,11077.0,0.0,0.0
37,,,,第1节,4.5,0.83,-4.5,0.83,121.5,0.83,124.5,0.83,4.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,8.0,GD,30.0,0,,11077.0,0.0,0.0
38,,,,第1节,4.5,0.83,-4.5,0.83,124.5,0.83,124.5,0.83,124.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,8.0,GD,30.0,0,,11077.0,0.0,0.0
39,,,,第1节,4.5,0.83,-4.5,0.83,124.5,0.83,124.5,0.83,124.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,8.0,GD,12.0,0,,21077.0,0.0,0.47
40,,,,第1节,4.5,0.83,-4.5,0.83,123.5,0.83,123.5,0.83,123.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,8.0,GD,12.0,0,,21077.0,0.0,0.47
41,,,,第1节,4.5,0.83,-4.5,0.83,123.5,0.83,121.5,0.83,123.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,8.0,GD,12.0,0,,21077.0,1.5,0.0
42,,,,第1节,4.5,0.83,-4.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,8.0,GD,12.0,0,,21077.0,1.5,0.0
43,,,,第1节,4.5,0.83,-4.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,7.0,GD,52.0,0,,21077.0,1.5,0.0
44,,,,第1节,4.5,0.83,-4.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,7.0,GD,52.0,0,,11077.0,0.0,0.47
45,,,,第1节,4.5,0.83,-4.5,0.83,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,7.0,GD,41.0,0,,21077.0,0.0,0.47
46,,,,第1节,4.5,0.8,-4.5,0.87,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,7.0,GD,41.0,0,,21077.0,1.5,0.0
47,,,,第1节,4.5,0.8,-4.5,0.87,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,,1,7.0,GD,34.0,0,,21077.0,1.5,0.0
48,,,,第1节,4.5,0.8,-4.5,0.87,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,,1,7.0,GD,34.0,0,,21086.0,1.5,0.0
49,,,,第1节,4.5,0.83,-4.5,0.83,120.5,0.83,120.5,0.83,120.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,,1,7.0,GD,34.0,0,,11077.0,1.5,0.0
50,,,,第1节,4.5,0.83,-4.5,0.83,120.5,0.83,120.5,0.83,120.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,,1,7.0,GD,14.0,0,,11077.0,0.0,0.47
51,,,,第1节,4.5,0.83,-4.5,0.83,120.5,0.83,120.5,0.83,120.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,,1,7.0,GD,14.0,0,,11077.0,0.0,0.47
52,,,,第1节,4.5,0.83,-4.5,0.83,120.5,0.83,120.5,0.83,120.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,,1,7.0,GD,12.0,0,,11077.0,0.0,0.47
53,,,,第1节,4.5,0.83,-4.5,0.83,120.5,0.83,120.5,0.83,120.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,,1,7.0,GD,12.0,0,,11077.0,0.0,0.47
54,,,,第1节,4.5,0.83,-4.5,0.83,120.5,0.83,120.5,0.83,120.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,,1,7.0,GD,6.0,0,,11077.0,0.0,0.47
55,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,,1.0,,,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,,1,7.0,GD,6.0,0,,11077.0,0.0,0.47
56,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,5.0,3.0,0.0,,1,7.0,GD,6.0,0,,11074.0,0.0,0.47
57,,,,第1节,4.5,0.83,-4.5,0.83,119.5,0.83,119.5,0.83,119.5,,,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,3.0,5.0,0.0,,1,7.0,GD,6.0,0,,21077.0,0.0,0.47
58,,,,第1节,4.5,0.87,-5.5,0.8,119.5,0.83,119.5,0.83,-5.5,,,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,3.0,5.0,0.0,,1,7.0,GD,6.0,0,,21077.0,0.0,0.47
59,,,,第1节,5.5,0.87,-5.5,0.8,119.5,0.83,121.5,0.83,5.5,,,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,3.0,5.0,0.0,,1,7.0,GD,6.0,0,,21077.0,0.0,0.47
60,,,,第1节,5.5,0.87,-5.5,0.8,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,3.0,5.0,0.0,,1,7.0,GD,6.0,0,,21077.0,0.0,0.47
61,,,,第1节,5.5,0.87,-5.5,0.8,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,,1,7.0,GD,6.0,0,,21086.0,0.0,0.0
62,,,,第1节,5.5,0.83,-6.5,0.83,121.5,0.83,121.5,0.83,-6.5,,,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,,1,7.0,GD,6.0,0,,11077.0,0.0,0.0
63,,,,第1节,6.5,0.87,-6.5,0.8,121.5,0.83,122.5,0.83,6.5,,,1.0,1:1,,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,,1,7.0,GD,6.0,0,,11078.0,0.0,0.0
64,,,,第1节,6.5,0.87,-6.5,0.8,122.5,0.83,122.5,0.83,122.5,,,1.0,1:1,,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,,1,7.0,GD,6.0,0,,11078.0,0.0,0.0
65,,,,第1节,6.5,0.87,-6.5,0.87,122.5,0.83,122.5,0.83,122.5,,,1.0,1:1,,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,,1,7.0,GD,6.0,0,,11078.0,0.0,0.0
66,,,,第1节,6.5,0.8,-7.5,0.87,122.5,0.83,122.5,0.83,-7.5,,,1.0,1:1,,1.0,1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,0.0,0.0,3.0,5.0,0.0,,1,7.0,GD,6.0,0,,11078.0,0.0,0.0
67,,,,第1节,7.5,0.8,-7.5,0.87,122.5,0.83,122.5,0.83,7.5,,,1.0,1:1,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,6.0,5.0,0.0,,1,7.0,GD,6.0,0,,11079.0,0.0,0.0
68,,,,第1节,7.5,0.8,-7.5,0.87,123.5,0.83,123.5,0.83,123.5,,,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,6.0,5.0,0.0,,1,7.0,GD,6.0,0,,21077.0,0.0,0.0
69,,,,第1节,7.5,0.8,-7.5,0.87,123.5,0.83,123.5,0.83,123.5,,,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,,1,7.0,GD,6.0,0,,21077.0,0.0,0.0
70,,,,第1节,7.5,0.8,-7.5,0.87,123.5,0.83,123.5,0.83,123.5,,,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,,1,6.0,GD,53.0,0,,11077.0,0.0,0.0
71,,,,第1节,7.5,0.83,-7.5,0.83,122.5,0.83,122.5,0.83,122.5,,,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,,1,6.0,GD,53.0,0,,11077.0,0.0,0.0
72,,,,第1节,7.5,0.83,-7.5,0.83,122.5,0.83,122.5,0.83,122.5,,,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,,1,6.0,GD,38.0,0,,11077.0,0.0,0.0
73,,,,第1节,7.5,0.8,-7.5,0.87,121.5,0.83,121.5,0.83,121.5,,,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,,1,6.0,GD,38.0,0,,21077.0,0.0,0.0
74,,,,第1节,7.5,0.8,-7.5,0.87,121.5,0.83,121.5,0.83,121.5,"#FFFFFF,#FFFF00,#FF00FF,#00FFFF,#FF0000,#0000FF,#3D4A4E",0.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,#FFFFFF,1,6.0,GD,38.0,0,,21077.0,0.0,0.0
75,,,,第1节,7.5,0.83,-7.5,0.83,120.5,0.83,120.5,0.83,120.5,"#0A0A0A,#0A0A0A,#0A0A0A,#0A0A0A,#FF0000,#0000FF,#3D4A4E",0.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,#0A0A0A,1,6.0,GD,38.0,0,,11077.0,0.0,0.0
76,,,,第1节,7.5,0.83,-7.5,0.83,120.5,0.83,120.5,0.83,120.5,"#0A0A0A,#0A0A0A,#0A0A0A,#0A0A0A,#FF0000,#0000FF,#3D4A4E",0.0,1.0,,,1.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,0.0,3.0,100.0,0.0,3.0,6.0,0.0,#0A0A0A,1,6.0,GD,20.0,0,,11077.0,0.0,0.0
