,AM,AS,CB,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SD,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
0,,,,,,-13.5,0.83,13.5,0.83,153.5,0.83,153.5,0.83,,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,19000101000000,,,0.0,0.0
1,,,,,,-13.5,0.83,13.5,0.83,153.5,0.83,153.5,0.83,,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721032102.0,,,0.0,0.0
2,,,,,,-13.5,0.83,13.5,0.83,153.5,0.83,153.5,0.83,,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721032102.0,,,0.0,0.0
3,,,,,,-13.5,0.83,13.5,0.83,153.5,0.83,153.5,0.83,,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721032404.0,,,0.0,0.0
4,,,,,,-13.5,0.83,13.5,0.83,153.5,0.83,153.5,0.83,,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721032404.0,,,0.0,0.0
5,,,,,,-13.5,0.83,13.5,0.83,153.5,0.83,153.5,0.83,,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721032839.0,,,0.0,0.0
6,,,,,,-13.5,0.83,13.5,0.83,153.5,0.83,153.5,0.83,,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721032839.0,,,0.0,0.0
7,,,,,,-13.5,0.83,13.5,0.83,153.5,0.83,153.5,0.83,,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,20180721034032.0,,,0.0,0.0
8,,,,,,-13.5,0.83,13.5,0.83,153.5,0.83,153.5,0.83,,,,,,,,,,,,,,,,,,,,,0.0,1,10.0,1~GD,0.0,1.0,20180721034032.0,,,0.0,0.0
9,,,ASCACNGUHKMOMPPRTWUSVI,,,-13.5,0.83,13.5,0.83,153.5,0.83,153.5,0.83,,,9449746.0,,,,,,,,,,,,,,,,,0.0,0.0,1,10.0,1~GD,0.0,1.0,20180721034033.0,21077.0,,0.0,0.0
