,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,31.5,0.8695652173913043,-31.5,0.8,159.5,0.8695652173913043,159.5,0.8,,,9,7.0,20.0,13.0,14.0,4,5,1,0.0,0.0,82.4,100.0,81.0,51,0,1,6.0,54.0,0,20181019184701,11074^21077
1,4.0,31.5,0.8695652173913043,-31.5,0.8,159.5,0.8695652173913043,159.5,0.8,,,9,7.0,20.0,13.0,14.0,4,5,1,0.0,0.0,82.4,100.0,81.0,51,0,1,6.0,54.0,0,20181019184715.0,11074^21077
2,4.0,31.5,0.8695652173913043,-31.5,0.8,159.5,0.8695652173913043,159.5,0.8,,,9,7.0,20.0,13.0,14.0,4,5,1,0.0,0.0,82.4,100.0,81.0,51,0,1,6.0,54.0,1.0,20181019184720.0,11074^21077
3,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,159.5,0.7692307692307693,159.5,0.9090909090909091,,,9,7.0,20.0,13.0,14.0,4,5,1,0.0,0.0,82.4,100.0,81.0,51,0,1,6.0,45.0,1.0,20181019184728.0,11074^21077
4,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,158.5,0.8333333333333334,158.5,0.8333333333333334,,,9,7.0,20.0,13.0,14.0,4,5,1,0.0,0.0,82.4,100.0,81.0,51,0,1,6.0,37.0,1.0,20181019184736.0,11074^21077
5,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,158.5,0.8,158.5,0.8695652173913043,,,9,7.0,20.0,13.0,14.0,4,5,1,0.0,0.0,82.4,100.0,81.0,51,0,1,6.0,35.0,0.0,20181019184739.0,11074^21077
6,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,158.5,0.8,158.5,0.8695652173913043,,,9,7.0,20.0,13.0,14.0,4,5,1,0.0,0.0,82.4,100.0,81.0,51,0,1,6.0,35.0,0.0,20181019184740.0,11074^21077
7,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,158.5,0.8695652173913043,158.5,0.8,,,9,7.0,20.0,13.0,14.0,4,5,1,0.0,0.0,82.4,100.0,81.0,51,0,1,6.0,40.0,0.0,20181019184743.0,11074^21077
8,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,158.5,0.8695652173913043,158.5,0.8,,,9,7.0,20.0,13.0,14.0,4,5,1,0.0,0.0,82.4,100.0,81.0,51,0,1,6.0,40.0,0.0,20181019184751.0,11074^21077
9,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,158.5,0.9090909090909091,158.5,0.7692307692307693,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,0.0,82.4,100.0,81.0,51,0,1,6.0,42.0,0.0,20181019184755.0,11074^21077
10,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,158.5,0.9090909090909091,158.5,0.7692307692307693,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,0.0,82.4,100.0,81.0,51,0,1,6.0,42.0,1.0,20181019184802.0,11074^21077
11,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,158.5,0.8,158.5,0.8695652173913043,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,0.0,82.4,100.0,81.0,51,0,1,6.0,33.0,1.0,20181019184810.0,11074^21077
12,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,157.5,0.8695652173913043,157.5,0.8,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,0.0,82.4,100.0,81.0,51,0,1,6.0,25.0,1.0,20181019184819.0,11074^21077
13,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,0.0,82.4,100.0,81.0,51,0,1,6.0,24.0,1.0,20181019184819.0,21077.0
14,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,0.0,82.4,100.0,81.0,51,0,1,6.0,24.0,0.0,20181019184820.0,21077.0
15,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,0.0,82.4,100.0,81.0,51,0,1,6.0,24.0,0.0,20181019184822.0,21086.0
16,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,0.0,82.4,100.0,81.0,51,0,1,6.0,24.0,0.0,20181019184826.0,21086.0
17,4.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,51,0,1,6.0,24.0,0.0,20181019184827.0,21086.0
18,4.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,51,0,1,6.0,24.0,1.0,20181019184835.0,21086.0
19,4.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,51,0,1,6.0,23.0,1.0,20181019184835.0,21086.0
20,4.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,156.5,1.0,156.5,0.7142857142857143,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,51,0,1,6.0,15.0,1.0,20181019184844.0,21086.0
21,4.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,156.5,1.0,156.5,0.7142857142857143,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,51,0,1,6.0,8.0,0.0,20181019184851.0,21086.0
22,4.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,156.5,1.0,156.5,0.7142857142857143,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,51,0,1,6.0,8.0,1.0,20181019184917.0,11077.0
23,4.0,32.5,0.8333333333333334,-32.5,0.8333333333333334,156.5,1.0,156.5,0.7142857142857143,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,51,0,1,6.0,8.0,0.0,20181019184917.0,11077.0
24,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,156.5,1.0,156.5,0.7142857142857143,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,51,0,1,6.0,8.0,0.0,20181019184919.0,11077.0
25,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,156.5,1.0,156.5,0.7142857142857143,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,51,0,1,6.0,8.0,1.0,20181019184920.0,11077.0
26,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,155.5,0.9090909090909091,155.5,0.7692307692307693,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,51,0,1,5.0,59.0,1.0,20181019184928.0,11077.0
27,4.0,31.5,0.8333333333333334,-31.5,0.8333333333333334,155.5,0.9090909090909091,155.5,0.7692307692307693,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,51,0,1,5.0,51.0,1.0,20181019184936.0,11077.0
28,4.0,30.5,0.8,-30.5,0.8695652173913043,156.5,1.0,156.5,0.7142857142857143,,,9,7.0,20.0,13.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,53,0,1,5.0,46.0,1.0,20181019184941.0,11077.0
29,4.0,30.5,0.8,-30.5,0.8695652173913043,156.5,1.0,156.5,0.7142857142857143,,^,9,7.0,20.0,14.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,53,0,1,5.0,46.0,1.0,20181019184941.0,21074^11077
30,4.0,30.5,0.8,-30.5,0.8695652173913043,156.5,0.7142857142857143,156.5,1.0,,^,9,7.0,20.0,14.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,53,0,1,5.0,31.0,1.0,20181019184955.0,21074^11077
31,4.0,30.5,0.8,-30.5,0.8695652173913043,155.5,0.8333333333333334,155.5,0.8333333333333334,,^,9,7.0,20.0,14.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,53,0,1,5.0,23.0,1.0,20181019185003.0,21074^11077
32,4.0,30.5,0.8,-30.5,0.8695652173913043,155.5,0.8333333333333334,155.5,0.8333333333333334,,^,9,7.0,20.0,14.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,53,0,1,5.0,22.0,0.0,20181019185005.0,21074^11077
33,4.0,30.5,0.8,-30.5,0.8695652173913043,155.5,0.8333333333333334,155.5,0.8333333333333334,,^,9,7.0,20.0,14.0,14.0,4,5,1,1.0,1.0,82.4,100.0,81.0,53,0,1,5.0,22.0,0.0,20181019185006.0,21086.0
34,4.0,30.5,0.8,-30.5,0.8695652173913043,155.5,0.8333333333333334,155.5,0.8333333333333334,,^1:2,9,7.0,20.0,14.0,14.0,4,5,1,1.0,2.0,82.4,100.0,81.0,53,0,1,5.0,22.0,0.0,20181019185006.0,21086^11078
35,4.0,30.5,0.9090909090909091,-30.5,0.7692307692307693,157.5,0.7142857142857143,157.5,1.0,,1:2^2:2,9,7.0,20.0,14.0,15.0,4,5,1,1.0,2.0,83.3,100.0,82.0,53,0,1,5.0,22.0,0.0,20181019185034.0,11079^11078
36,4.0,30.5,0.8,-30.5,0.8695652173913043,156.5,0.8333333333333334,156.5,0.8333333333333334,,2:2^,9,7.0,20.0,14.0,15.0,4,5,1,1.0,2.0,78.9,100.0,82.0,53,0,1,5.0,22.0,1.0,20181019185046.0,11080^21077
37,4.0,30.5,0.7692307692307693,-30.5,0.9090909090909091,156.5,0.7692307692307693,156.5,0.9090909090909091,,,9,7.0,20.0,14.0,15.0,4,5,1,1.0,2.0,78.9,100.0,82.0,53,0,1,5.0,20.0,1.0,20181019185048.0,21077.0
38,4.0,30.5,0.7692307692307693,-30.5,0.9090909090909091,155.5,0.8695652173913043,155.5,0.8,,,9,7.0,20.0,14.0,15.0,4,5,1,1.0,2.0,78.9,100.0,82.0,53,0,1,5.0,11.0,1.0,20181019185056.0,21077.0
39,4.0,31.5,0.7692307692307693,-31.5,0.9090909090909091,155.5,0.8333333333333334,155.5,0.8333333333333334,,,9,7.0,20.0,14.0,15.0,4,5,1,1.0,2.0,78.9,100.0,82.0,53,0,1,5.0,11.0,1.0,20181019185057.0,11077.0
40,4.0,31.5,0.7692307692307693,-31.5,0.9090909090909091,155.5,0.7142857142857143,155.5,1.0,,,9,7.0,20.0,14.0,15.0,4,5,1,1.0,2.0,78.9,100.0,82.0,53,0,1,5.0,2.0,1.0,20181019185105.0,11077.0
41,4.0,31.5,0.7692307692307693,-31.5,0.9090909090909091,155.5,0.7142857142857143,155.5,1.0,4.0,,9,7.0,20.0,14.0,15.0,4,5,1,1.0,2.0,78.9,100.0,82.0,53,0,1,5.0,0.0,0.0,20181019185108.0,11077.0
42,4.0,32.5,0.7692307692307693,-32.5,0.9090909090909091,155.5,0.7142857142857143,155.5,1.0,4.0,,9,7.0,21.0,14.0,15.0,4,5,1,1.0,2.0,78.9,100.0,84.0,53,0,1,5.0,0.0,0.0,20181019185109.0,11074.0
43,4.0,32.5,0.7692307692307693,-32.5,0.9090909090909091,155.5,0.7142857142857143,155.5,1.0,4.0,,9,7.0,21.0,14.0,15.0,4,5,1,1.0,2.0,78.9,100.0,84.0,53,0,1,5.0,0.0,0.0,20181019185117.0,11074.0
44,4.0,32.5,0.7692307692307693,-32.5,0.9090909090909091,155.5,0.7142857142857143,155.5,1.0,4.0,^1:1^1:1,9,7.0,21.0,14.0,15.0,4,5,1,1.0,3.0,78.9,100.0,84.0,53,0,1,5.0,0.0,0.0,20181019185117.0,21086.0
45,4.0,32.5,0.7692307692307693,-32.5,0.9090909090909091,155.5,0.7142857142857143,155.5,1.0,4.0,^1:1,9,7.0,21.0,14.0,15.0,4,5,1,1.0,3.0,78.9,100.0,84.0,53,0,1,5.0,0.0,0.0,20181019185117.0,21086^11078
46,4.0,32.5,0.7692307692307693,-32.5,0.9090909090909091,155.5,0.7142857142857143,155.5,1.0,4.0,1:1,9,7.0,21.0,14.0,16.0,4,5,1,1.0,3.0,80.0,100.0,85.0,53,0,1,5.0,0.0,0.0,20181019185132.0,11079.0
47,4.0,32.5,0.7692307692307693,-32.5,0.9090909090909091,155.5,0.7142857142857143,155.5,1.0,4.0,,9,7.0,21.0,14.0,16.0,4,5,1,1.0,3.0,80.0,100.0,85.0,53,0,1,4.0,58.0,0.0,20181019185136.0,21077.0
48,4.0,32.5,0.7692307692307693,-32.5,0.9090909090909091,155.5,0.7142857142857143,155.5,1.0,4.0,,9,7.0,21.0,14.0,16.0,4,5,1,1.0,3.0,80.0,100.0,85.0,53,0,1,4.0,49.0,0.0,20181019185144.0,21077.0
49,4.0,32.5,0.9090909090909091,-32.5,0.7692307692307693,155.5,0.7142857142857143,155.5,1.0,4.0,,9,7.0,21.0,14.0,16.0,4,5,1,1.0,3.0,80.0,100.0,85.0,53,0,1,4.0,43.0,0.0,20181019185151.0,21077.0
