,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-23.5,0.7692307692307693,23.5,0.9090909090909091,,,,,0,1,4.0,4.0,0,20181107150326,11079^21077
1,4.0,-23.5,0.7692307692307693,23.5,0.9090909090909091,,^,,,0,1,4.0,4.0,0,20181107150326,11086^21077
2,4.0,-23.5,0.8333333333333334,23.5,0.8333333333333334,,1:2^2:2,64.0,87.0,0,1,4.0,4.0,0,20181107150326,21079^21078
3,4.0,-23.5,0.7692307692307693,23.5,0.9090909090909091,,2:2^,64.0,87.0,0,1,4.0,4.0,1.0,20181107150355.0,21080^11077
4,4.0,-22.5,0.7692307692307693,22.5,0.9090909090909091,,^,66.0,87.0,0,1,3.0,56.0,1.0,20181107150403.0,11074^21077
5,4.0,-22.5,0.7692307692307693,22.5,0.9090909090909091,,^,66.0,87.0,0,1,3.0,48.0,1.0,20181107150411.0,11074^21077
6,4.0,-24.5,0.8,24.5,0.8695652173913043,,^,66.0,90.0,0,1,3.0,41.0,1.0,20181107150418.0,21075^11077
7,4.0,-24.5,0.8,24.5,0.8695652173913043,,^,66.0,90.0,0,1,3.0,33.0,1.0,20181107150426.0,21075^11077
8,4.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,,^,66.0,90.0,0,1,3.0,25.0,1.0,20181107150434.0,21075^11077
9,4.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,,^,66.0,90.0,0,1,3.0,18.0,0.0,20181107150441.0,21075^11077
10,4.0,-24.5,0.8333333333333334,24.5,0.8333333333333334,,^,66.0,90.0,0,1,3.0,18.0,1.0,20181107150613.0,21075^11077
11,4.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,,,66.0,90.0,0,1,3.0,14.0,1.0,20181107150617.0,21077.0
12,4.0,-25.5,0.8333333333333334,25.5,0.8333333333333334,,,66.0,90.0,0,1,3.0,6.0,1.0,20181107150625.0,21077.0
13,4.0,-26.5,0.8333333333333334,26.5,0.8333333333333334,,^,66.0,92.0,0,1,3.0,3.0,1.0,20181107150628.0,21074^11077
14,4.0,-26.5,0.0,26.5,0.0,,^,66.0,92.0,0,1,2.0,55.0,1.0,20181107150636.0,21074^11077
15,4.0,-26.5,0.0,26.5,0.0,,^,66.0,92.0,0,1,2.0,47.0,1.0,20181107150644.0,21074^11077
16,4.0,-25.5,0.0,25.5,0.0,,^,68.0,92.0,0,1,2.0,44.0,1.0,20181107150647.0,11074^21077
17,4.0,-25.5,0.0,25.5,0.0,,^,68.0,92.0,0,1,2.0,42.0,1.0,20181107150649.0,11074^21077
18,4.0,-27.5,0.0,27.5,0.0,,^,66.0,92.0,0,1,2.0,39.0,1.0,20181107150652.0,11074^21077
19,4.0,-28.5,0.0,28.5,0.0,,^,66.0,94.0,0,1,2.0,36.0,1.0,20181107150655.0,21074^11077
20,4.0,-28.5,0.0,28.5,0.0,,^,66.0,94.0,0,1,2.0,28.0,1.0,20181107150703.0,21074^11077
21,4.0,-28.5,0.0,28.5,0.0,,^,66.0,94.0,0,1,2.0,20.0,1.0,20181107150711.0,21074^11077
22,4.0,-28.5,0.0,28.5,0.0,,^,66.0,94.0,0,1,2.0,12.0,1.0,20181107150720.0,21074^11077
23,4.0,-28.5,0.0,28.5,0.0,,^,66.0,94.0,0,1,2.0,11.0,0.0,20181107150720.0,21074^11077
24,4.0,-28.5,0.0,28.5,0.0,,^,66.0,94.0,0,1,2.0,16.0,0.0,20181107150728.0,21074^11077
25,4.0,-28.5,0.0,28.5,0.0,,^,66.0,94.0,0,1,2.0,16.0,1.0,20181107150729.0,21074^11077
26,4.0,-28.5,0.0,28.5,0.0,,^,66.0,94.0,0,1,2.0,9.0,0.0,20181107150736.0,21074^11077
27,4.0,-28.5,0.0,28.5,0.0,,^,66.0,94.0,0,1,2.0,9.0,1.0,20181107150755.0,21074^11077
28,4.0,-28.5,0.0,28.5,0.0,,^,66.0,94.0,0,1,2.0,0.0,1.0,20181107150803.0,21074^11077
29,4.0,-29.5,0.0,29.5,0.0,1.0,,66.0,94.0,0,1,1.0,53.0,1.0,20181107150811.0,21077.0
30,4.0,-30.5,0.0,30.5,0.0,1.0,^,66.0,96.0,0,1,1.0,52.0,1.0,20181107150812.0,21074^11077
31,4.0,-30.5,0.0,30.5,0.0,1.0,^,66.0,96.0,0,1,1.0,52.0,0.0,20181107150821.0,21074^11077
32,4.0,-30.5,0.0,30.5,0.0,1.0,^,66.0,96.0,0,1,1.0,52.0,1.0,20181107150837.0,21074^11077
33,4.0,-29.5,0.0,29.5,0.0,1.0,,66.0,96.0,0,1,1.0,35.0,1.0,20181107150845.0,11077.0
34,4.0,-30.5,0.0,30.5,0.0,1.0,,66.0,96.0,0,1,1.0,30.0,1.0,20181107150851.0,21077.0
35,4.0,-31.5,0.0,31.5,0.0,1.0,^,66.0,98.0,0,1,1.0,26.0,1.0,20181107150854.0,21074^11077
36,4.0,-31.5,0.0,31.5,0.0,1.0,^,66.0,98.0,0,1,1.0,18.0,1.0,20181107150902.0,21074^11077
37,4.0,-31.5,0.0,31.5,0.0,1.0,^,66.0,98.0,0,1,1.0,10.0,1.0,20181107150911.0,21074^11077
38,4.0,-30.5,0.0,30.5,0.0,1.0,^,68.0,98.0,0,1,1.0,7.0,1.0,20181107150914.0,11074^21077
39,4.0,-30.5,0.0,30.5,0.0,1.0,^,68.0,98.0,0,1,0.0,58.0,1.0,20181107150922.0,11074^21077
40,4.0,-32.5,0.0,32.5,0.0,1.0,^,68.0,101.0,0,1,0.0,54.0,1.0,20181107150926.0,21075^11077
41,4.0,-32.5,0.0,32.5,0.0,1.0,^,68.0,101.0,0,1,0.0,52.0,0.0,20181107150929.0,21075^11077
42,4.0,-32.5,0.0,32.5,0.0,1.0,^,68.0,101.0,0,1,0.0,52.0,1.0,20181107150938.0,21075^11077
43,4.0,-32.5,0.0,32.5,0.0,1.0,^,68.0,101.0,0,1,0.0,47.0,0.0,20181107150943.0,21075^11077
44,4.0,-32.5,0.0,32.5,0.0,1.0,^,68.0,101.0,0,1,0.0,47.0,1.0,20181107150956.0,21075^11077
45,4.0,-32.5,0.0,32.5,0.0,1.0,^,68.0,101.0,0,1,0.0,38.0,1.0,20181107151004.0,21075^11077
46,4.0,-33.5,0.0,33.5,0.0,1.0,,68.0,101.0,0,1,0.0,36.0,1.0,20181107151007.0,21077.0
47,4.0,-34.5,0.0,34.5,0.0,1.0,^,68.0,103.0,0,1,0.0,35.0,1.0,20181107151008.0,21074^11077
48,4.0,-34.5,0.0,34.5,0.0,2.0,^,68.0,103.0,0,1,0.0,26.0,1.0,20181107151016.0,21074^11077
49,4.0,-35.5,0.0,35.5,0.0,2.0,,68.0,103.0,0,1,0.0,23.0,1.0,20181107151020.0,21077.0
50,4.0,-36.5,0.0,36.5,0.0,2.0,^,68.0,105.0,0,1,0.0,20.0,1.0,20181107151023.0,21074^11077
51,4.0,-36.5,0.0,36.5,0.0,2.0,^,68.0,105.0,0,1,0.0,12.0,1.0,20181107151031.0,21074^11077
52,4.0,-36.5,0.0,36.5,0.0,2.0,^,68.0,105.0,0,1,0.0,7.0,0.0,20181107151036.0,21074^11077
53,4.0,-36.5,0.0,36.5,0.0,2.0,^,68.0,105.0,0,1,0.0,7.0,1.0,20181107151043.0,21074^11077
54,4.0,-35.5,0.0,35.5,0.0,2.0,^,70.0,105.0,0,1,0.0,4.0,1.0,20181107151045.0,11074^21077
