,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,MS,PG,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,VS,WA_ODD,WH_ODD
0,,,,第1节,-1.5,0.83,1.5,0.83,153.5,0.83,153.5,0.83,,,,,,,0.0,1,10.0,,0.0,0,,,,0.71,1.0
1,,,,第1节,-1.5,0.83,1.5,0.83,153.5,0.83,153.5,0.83,,,8804222.0,,,,1.0,1,10.0,,0.0,0,,,,0.71,1.0
2,,,,第1节,-1.5,0.83,1.5,0.83,153.5,0.83,153.5,0.83,,,8804222.0,,,,1.0,1,10.0,,0.0,0,,,,0.71,1.0
3,,,,第1节,-1.5,0.83,1.5,0.83,153.5,0.83,153.5,0.83,,,8804222.0,,,,1.0,1,10.0,,0.0,0,,,,0.71,1.0
4,,,,第1节,-1.5,0.83,1.5,0.83,153.5,0.83,153.5,0.83,,,8804222.0,,,,1.0,1,10.0,,0.0,0,,,,0.71,1.0
5,,,,第1节,-1.5,0.83,1.5,0.83,153.5,0.83,153.5,0.83,,,8804222.0,,,,1.0,1,10.0,,0.0,0,,,,0.71,1.0
6,,,,第1节,-1.5,0.83,1.5,0.83,153.5,0.83,153.5,0.83,,1.0,8804222.0,,,,1.0,1,10.0,GD,0.0,0,,1087.0,,0.71,1.0
7,,,,第1节,-1.5,0.83,1.5,0.83,153.5,0.83,153.5,0.83,,1.0,8804222.0,,,,1.0,1,9.0,GD,59.0,0,,21077.0,,0.71,1.0
8,,,,第1节,-1.5,0.83,1.5,0.83,153.5,0.83,153.5,0.83,,1.0,8804222.0,,,,1.0,1,9.0,GD,59.0,0,,21077.0,,0.71,1.0
9,,,,第1节,-1.5,0.83,1.5,0.83,153.5,0.83,153.5,0.83,,1.0,8804222.0,,,,1.0,1,9.0,GD,58.0,0,,21077.0,,0.71,1.0
10,,,,第1节,-1.5,0.83,1.5,0.83,153.5,0.83,153.5,0.83,,1.0,8804222.0,,,,1.0,1,9.0,GD,58.0,0,,21074.0,,0.71,1.0
11,,,,第1节,-1.5,0.83,1.5,0.83,153.5,0.83,153.5,0.83,,1.0,8804222.0,,2.0,0.0,1.0,1,9.0,GD,58.0,0,,11077.0,,0.71,1.0
12,,,,第1节,-1.5,0.83,1.5,0.83,153.5,0.83,153.5,0.83,,1.0,8804222.0,,2.0,0.0,1.0,1,9.0,GD,48.0,0,,11077.0,,0.71,1.0
13,,,,第1节,-1.5,0.83,2.5,0.83,153.5,0.83,153.5,0.83,2.5,1.0,8804222.0,,2.0,0.0,1.0,1,9.0,GD,48.0,0,,11077.0,,0.71,1.0
14,,,,第1节,-2.5,0.83,2.5,0.83,153.5,0.83,155.5,0.83,-2.5,1.0,8804222.0,,2.0,0.0,1.0,1,9.0,GD,48.0,0,,11077.0,,0.71,1.0
15,,,,第1节,-2.5,0.83,2.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,8804222.0,,2.0,0.0,1.0,1,9.0,GD,48.0,0,,11077.0,,0.71,1.0
16,,,,第1节,-2.5,0.83,2.5,0.83,155.5,0.83,154.5,0.83,155.5,1.0,8804222.0,,2.0,0.0,1.0,1,9.0,GD,48.0,0,,11077.0,,0.63,1.2
17,,,,第1节,-2.5,0.83,2.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,2.0,0.0,1.0,1,9.0,GD,48.0,0,,11077.0,,0.63,1.2
18,,,,第1节,-2.5,0.83,2.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,2.0,0.0,1.0,1,9.0,GD,46.0,0,,11077.0,,0.63,1.2
19,,,,第1节,-2.5,0.83,2.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,46.0,0,,11077.0,,0.63,1.2
20,,,,第1节,-2.5,0.83,2.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,46.0,0,,11077.0,,0.63,1.2
21,,,,第1节,-2.5,0.83,2.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,46.0,0,,11077.0,,0.63,1.2
22,,,,第1节,-2.5,0.83,2.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,46.0,0,,11077.0,,0.63,1.2
23,,,,第1节,-2.5,0.83,2.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,46.0,0,,11077.0,,0.63,1.2
24,,,,第1节,-2.5,0.83,2.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,32.0,0,,11077.0,,0.63,1.2
25,,,,第1节,-2.5,0.83,2.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,32.0,0,,21086.0,,0.63,1.2
26,,,,第1节,-2.5,0.83,2.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,32.0,0,,11077.0,,0.63,1.2
27,,,,第1节,-2.5,0.8,2.5,0.87,153.5,0.83,152.5,0.83,153.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,32.0,0,,21077.0,,0.63,1.2
28,,,,第1节,-2.5,0.8,2.5,0.87,152.5,0.83,152.5,0.83,152.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,32.0,0,,21077.0,,0.63,1.2
29,,,,第1节,-2.5,0.8,2.5,0.87,152.5,0.83,152.5,0.83,152.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,20.0,0,,21077.0,,0.63,1.2
30,,,,第1节,-2.5,0.8,2.5,0.87,152.5,0.83,152.5,0.83,152.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,20.0,0,,11077.0,,0.63,1.2
31,,,,第1节,-2.5,0.8,2.5,0.87,152.5,0.83,152.5,0.83,152.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,11.0,0,,11077.0,,0.63,1.2
32,,,,第1节,-2.5,0.83,2.5,0.83,152.5,0.83,152.5,0.83,152.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,11.0,0,,21077.0,,0.63,1.2
33,,,,第1节,-2.5,0.83,2.5,0.83,152.5,0.83,152.5,0.83,152.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,0.0,0,,21077.0,,0.63,1.2
34,,,,第1节,-2.5,0.8,2.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,0.0,0,,21077.0,,0.63,1.2
35,,,,第1节,-2.5,0.8,2.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,8804222.0,,2.0,0.0,0.0,1,9.0,GD,0.0,0,,21075.0,,0.63,1.2
36,,,,第1节,-2.5,0.8,2.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,8804222.0,,5.0,0.0,0.0,1,9.0,GD,0.0,0,,11077.0,,0.63,1.2
37,,,,第1节,-2.5,0.8,2.5,0.87,151.5,0.83,151.5,0.83,151.5,1.0,8804222.0,,5.0,0.0,0.0,1,8.0,GD,48.0,0,,11077.0,,0.63,1.2
38,,,,第1节,-2.5,0.83,4.5,0.83,151.5,0.83,151.5,0.83,4.5,1.0,8804222.0,,5.0,0.0,0.0,1,8.0,GD,48.0,0,,11077.0,,0.63,1.2
39,,,,第1节,-4.5,0.83,4.5,0.83,151.5,0.83,153.5,0.83,-4.5,1.0,8804222.0,,5.0,0.0,0.0,1,8.0,GD,48.0,0,,11077.0,,0.63,1.2
40,,,,第1节,-4.5,0.83,4.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,8804222.0,,5.0,0.0,0.0,1,8.0,GD,48.0,0,,11077.0,,0.63,1.2
41,,,,第1节,-4.5,0.83,4.5,0.83,153.5,0.83,153.5,0.83,153.5,1.0,8804222.0,,5.0,0.0,0.0,1,8.0,GD,45.0,0,,11077.0,,0.45,0.0
42,,,,第1节,-4.5,0.83,3.5,0.83,153.5,0.83,153.5,0.83,3.5,1.0,8804222.0,,5.0,0.0,0.0,1,8.0,GD,45.0,0,,11077.0,,0.45,0.0
43,,,,第1节,-3.5,0.83,3.5,0.83,153.5,0.83,155.5,0.83,-3.5,1.0,8804222.0,,5.0,0.0,0.0,1,8.0,GD,45.0,0,,11077.0,,0.45,0.0
44,,,,第1节,-3.5,0.83,3.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,8804222.0,,5.0,0.0,0.0,1,8.0,GD,45.0,0,,11077.0,,0.45,0.0
45,,,,第1节,-3.5,0.83,3.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,8804222.0,,5.0,0.0,0.0,1,8.0,GD,45.0,0,,11074.0,,0.56,1.3
46,,,,第1节,-3.5,0.83,3.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,8804222.0,,5.0,2.0,0.0,1,8.0,GD,30.0,0,,21077.0,,0.56,1.3
47,,,,第1节,-3.5,0.83,3.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,8804222.0,,5.0,2.0,0.0,1,8.0,GD,30.0,0,,21077.0,,0.56,1.3
48,,,,第1节,-3.5,0.83,3.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,8804222.0,,5.0,2.0,0.0,1,8.0,GD,27.0,0,,21077.0,,0.56,1.3
49,,,,第1节,-3.5,0.83,3.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,5.0,2.0,0.0,1,8.0,GD,27.0,0,,21077.0,,0.56,1.3
50,,,,第1节,-3.5,0.83,3.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,5.0,2.0,0.0,1,8.0,GD,18.0,0,,21077.0,,0.56,1.3
51,,,,第1节,-3.5,0.83,3.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,5.0,2.0,0.0,1,8.0,GD,18.0,0,,11086.0,,0.56,1.3
52,,,,第1节,-3.5,0.83,3.5,0.83,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,5.0,2.0,0.0,1,8.0,GD,18.0,0,,21077.0,,0.56,1.3
53,,,,第1节,-3.5,0.83,4.5,0.83,154.5,0.83,154.5,0.83,4.5,1.0,8804222.0,1:2,5.0,2.0,0.0,1,8.0,GD,18.0,0,,21078.0,,0.56,1.3
54,,,,第1节,-4.5,0.83,4.5,0.83,154.5,0.83,155.5,0.83,-4.5,1.0,8804222.0,1:2,5.0,2.0,0.0,1,8.0,GD,18.0,0,,21078.0,,0.56,1.3
55,,,,第1节,-4.5,0.83,4.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,8804222.0,1:2,5.0,2.0,0.0,1,8.0,GD,18.0,0,,21078.0,,0.56,1.3
56,,,,第1节,-4.5,0.83,4.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,8804222.0,1:2,5.0,2.0,0.0,1,8.0,GD,18.0,0,,21079.0,,0.0,1.5
57,,,,第1节,-4.5,0.83,4.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,8804222.0,2:2,6.0,2.0,0.0,1,8.0,GD,18.0,0,,21078.0,,0.47,0.0
58,,,,第1节,-4.5,0.83,4.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,8804222.0,2:2,6.0,2.0,0.0,1,8.0,GD,18.0,0,,21079.0,,0.47,0.0
59,,,,第1节,-4.5,0.83,4.5,0.83,155.5,0.83,155.5,0.83,155.5,1.0,8804222.0,,7.0,2.0,0.0,1,8.0,GD,18.0,0,,11077.0,,0.47,0.0
60,,,,第1节,-4.5,0.83,4.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,7.0,2.0,0.0,1,8.0,GD,18.0,0,,11077.0,,0.47,0.0
61,,,,第1节,-4.5,0.83,4.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,7.0,2.0,0.0,1,8.0,GD,13.0,0,,11077.0,,0.45,0.0
62,,,,第1节,-4.5,0.83,4.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,7.0,2.0,0.0,1,8.0,GD,13.0,0,,11077.0,,0.45,0.0
63,,,,第1节,-4.5,0.83,4.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,7.0,2.0,0.0,1,8.0,GD,11.0,0,,11077.0,,0.45,0.0
64,,,,第1节,-4.5,0.83,4.5,0.83,156.5,0.83,156.5,0.83,156.5,1.0,8804222.0,,7.0,2.0,0.0,1,8.0,GD,11.0,0,,11086.0,,0.45,0.0
65,,,,第1节,-4.5,0.83,5.5,0.83,156.5,0.83,156.5,0.83,5.5,1.0,8804222.0,,7.0,2.0,0.0,1,8.0,GD,11.0,0,,21077.0,,0.45,0.0
66,,,,第1节,-5.5,0.87,5.5,0.8,156.5,0.83,154.5,0.83,-5.5,1.0,8804222.0,,7.0,2.0,0.0,1,8.0,GD,11.0,0,,21077.0,,0.0,0.0
67,,,,第1节,-5.5,0.87,5.5,0.8,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,7.0,2.0,0.0,1,8.0,GD,11.0,0,,21077.0,,0.0,0.0
68,,,,第1节,-5.5,0.87,5.5,0.8,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,7.0,2.0,0.0,1,7.0,GD,54.0,0,,11077.0,,0.0,0.0
69,,,,第1节,-5.5,0.87,5.5,0.8,154.5,0.83,154.5,0.83,154.5,1.0,8804222.0,,7.0,2.0,0.0,1,7.0,GD,54.0,0,,11077.0,,0.0,0.0
