,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,3.0,17.5,0.8333333333333334,-17.5,0.8333333333333334,109.5,0.8695652173913043,109.5,0.8,,,,,1.0,2.0,14.0,5.0,8.0,10.0,4,3,2.0,0.0,57.1,55.6,39.0,26,0,1,5.0,56.0,1,20180923180811,21077,15.0,0.006666666666666667
1,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,109.5,0.8333333333333334,109.5,0.8333333333333334,,,,,1.0,2.0,14.0,5.0,8.0,10.0,4,3,2.0,0.0,57.1,55.6,39.0,26,0,1,5.0,56.0,1,20180923180812.0,11077.0,16.0,0.005
2,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,109.5,0.8333333333333334,109.5,0.8333333333333334,,,,,1.0,2.0,14.0,5.0,8.0,10.0,4,3,2.0,0.0,57.1,55.6,39.0,26,0,1,5.0,55.0,1,20180923180812.0,11077.0,16.0,0.005
3,,3.0,19.5,0.8,-19.5,0.8695652173913043,111.5,0.8695652173913043,111.5,0.8,,,^,,1.0,2.0,15.0,5.0,8.0,10.0,4,3,2.0,0.0,57.1,55.6,41.0,26,0,1,5.0,50.0,1,20180923180818.0,11074^21077,17.0,0.004
4,,3.0,19.5,0.8,-19.5,0.8695652173913043,111.5,0.8695652173913043,111.5,0.8,,,,,1.0,2.0,15.0,5.0,8.0,10.0,4,3,2.0,0.0,57.1,55.6,41.0,26,0,1,5.0,49.0,1,20180923180819.0,21077.0,17.0,0.004
5,,3.0,19.5,0.8,-19.5,0.8695652173913043,111.5,0.8,111.5,0.8695652173913043,,,,,1.0,2.0,15.0,5.0,8.0,10.0,4,3,2.0,0.0,57.1,55.6,41.0,26,0,1,5.0,40.0,1,20180923180827.0,21077.0,17.0,0.004
6,,3.0,20.5,0.8,-20.5,0.8695652173913043,110.5,0.8695652173913043,110.5,0.8,11.0,,,,1.0,2.0,15.0,5.0,8.0,10.0,4,3,2.0,0.0,57.1,55.6,41.0,26,0,1,5.0,33.0,1,20180923180835.0,11077.0,17.0,0.004
7,,3.0,20.5,0.7692307692307693,-20.5,0.9090909090909091,110.5,0.8333333333333334,110.5,0.8333333333333334,11.0,,,,1.0,2.0,15.0,5.0,8.0,10.0,4,3,2.0,0.0,57.1,55.6,41.0,26,0,1,5.0,24.0,1,20180923180843.0,11077.0,17.0,0.004
8,,3.0,20.5,0.7692307692307693,-20.5,0.9090909090909091,110.5,0.8,110.5,0.8695652173913043,11.0,,,,1.0,2.0,15.0,5.0,8.0,10.0,4,3,2.0,0.0,57.1,55.6,41.0,26,0,1,5.0,23.0,0.0,20180923180844.0,11077.0,17.0,0.004
9,,3.0,20.5,0.7692307692307693,-20.5,0.9090909090909091,110.5,0.8,110.5,0.8695652173913043,11.0,,,,1.0,2.0,15.0,5.0,8.0,10.0,4,3,2.0,0.0,57.1,55.6,41.0,26,0,1,5.0,23.0,0.0,20180923180849.0,11077.0,17.0,0.004
10,,3.0,20.5,0.8333333333333334,-20.5,0.8333333333333334,111.5,0.8333333333333334,111.5,0.8333333333333334,11.0,,1:2,,1.0,2.0,15.0,5.0,8.0,10.0,4,3,2.0,0.0,57.1,55.6,41.0,26,0,1,5.0,23.0,0.0,20180923180850.0,11078.0,17.0,0.004
11,,3.0,20.5,0.8333333333333334,-20.5,0.8333333333333334,112.5,0.7692307692307693,112.5,0.9090909090909091,11.0,,1:2^2:2,,1.0,2.0,15.0,5.0,9.0,10.0,4,3,2.0,0.0,60.0,55.6,42.0,26,0,1,5.0,23.0,0.0,20180923180912.0,11079^11078,17.0,0.004
12,,3.0,20.5,0.9090909090909091,-20.5,0.7692307692307693,112.5,0.8695652173913043,112.5,0.8,11.0,,2:2^,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,5.0,23.0,0.0,20180923180921.0,11079^21077,17.0,0.004
13,,3.0,20.5,0.9090909090909091,-20.5,0.7692307692307693,112.5,0.8695652173913043,112.5,0.8,11.0,,2:2^,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,5.0,23.0,1.0,20180923180922.0,11079^21077,17.0,0.004
14,,3.0,20.5,0.9090909090909091,-20.5,0.7692307692307693,112.5,0.8695652173913043,112.5,0.8,11.0,,2:2^,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,5.0,23.0,1.0,20180923180923.0,11079^21077,17.0,0.004
15,,3.0,20.5,0.9090909090909091,-20.5,0.7692307692307693,112.5,0.8333333333333334,112.5,0.8333333333333334,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,5.0,23.0,1.0,20180923180924.0,21077.0,17.0,0.004
16,,3.0,20.5,0.9090909090909091,-20.5,0.7692307692307693,112.5,0.8,112.5,0.8695652173913043,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,5.0,14.0,1.0,20180923180932.0,21077.0,17.0,0.004
17,,3.0,20.5,0.8695652173913043,-20.5,0.8,111.5,0.8695652173913043,111.5,0.8,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,5.0,6.0,1.0,20180923180940.0,21077.0,17.0,0.004
18,,3.0,20.5,0.8695652173913043,-20.5,0.8,111.5,0.8333333333333334,111.5,0.8333333333333334,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,5.0,2.0,0.0,20180923180944.0,21077.0,17.0,0.004
19,,3.0,20.5,0.8695652173913043,-20.5,0.8,111.5,0.8333333333333334,111.5,0.8333333333333334,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,5.0,2.0,1.0,20180923180959.0,21077.0,17.0,0.004
20,,3.0,21.5,0.8695652173913043,-21.5,0.8,111.5,0.8333333333333334,111.5,0.8333333333333334,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,5.0,1.0,1.0,20180923181001.0,21077.0,17.0,0.004
21,,3.0,21.5,0.8695652173913043,-21.5,0.8,110.5,0.9090909090909091,110.5,0.7692307692307693,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,4.0,52.0,1.0,20180923181009.0,11077.0,17.0,0.004
22,,3.0,21.5,0.8695652173913043,-21.5,0.8,110.5,0.8333333333333334,110.5,0.8333333333333334,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,4.0,44.0,1.0,20180923181017.0,11077.0,17.0,0.004
23,,3.0,20.5,0.8695652173913043,-20.5,0.8,110.5,0.8,110.5,0.8695652173913043,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,4.0,40.0,1.0,20180923181022.0,21077.0,17.0,0.004
24,,3.0,20.5,0.8695652173913043,-20.5,0.8,109.5,0.9090909090909091,109.5,0.7692307692307693,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,4.0,34.0,0.0,20180923181028.0,21077.0,17.0,0.004
25,,3.0,20.5,0.8695652173913043,-20.5,0.8,109.5,0.9090909090909091,109.5,0.7692307692307693,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,4.0,34.0,0.0,20180923181036.0,21077.0,17.0,0.004
26,,3.0,20.5,0.8695652173913043,-20.5,0.8,109.5,0.9090909090909091,109.5,0.7692307692307693,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,4.0,34.0,1.0,20180923181050.0,21077.0,17.0,0.004
27,,3.0,20.5,0.8695652173913043,-20.5,0.8,109.5,0.9090909090909091,109.5,0.7692307692307693,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,4.0,33.0,1.0,20180923181051.0,21077.0,17.0,0.004
28,,3.0,20.5,0.8695652173913043,-20.5,0.8,109.5,0.8333333333333334,109.5,0.8333333333333334,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,4.0,28.0,1.0,20180923181056.0,21077.0,17.0,0.004
29,,3.0,20.5,0.8695652173913043,-20.5,0.8,109.5,0.8333333333333334,109.5,0.8333333333333334,11.0,,,,1.0,2.0,15.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,43.0,26,0,1,4.0,27.0,1.0,20180923181057.0,21077.0,17.0,0.004
30,,3.0,22.5,0.8333333333333334,-22.5,0.8333333333333334,111.5,0.8333333333333334,111.5,0.8333333333333334,10.0,,^,,1.0,2.0,16.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,45.0,26,0,1,4.0,20.0,1.0,20180923181104.0,11074^21077,17.0,0.004
31,,3.0,22.5,0.8333333333333334,-22.5,0.8333333333333334,111.5,0.7692307692307693,111.5,0.9090909090909091,10.0,,,,1.0,2.0,16.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,45.0,26,0,1,4.0,11.0,1.0,20180923181113.0,21077.0,17.0,0.004
32,,3.0,22.5,0.8333333333333334,-22.5,0.8333333333333334,110.5,0.8333333333333334,110.5,0.8333333333333334,10.0,,,,1.0,2.0,16.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,45.0,26,0,1,4.0,3.0,1.0,20180923181121.0,21077.0,17.0,0.004
33,,3.0,20.5,0.8333333333333334,-20.5,0.8333333333333334,114.5,0.8,114.5,0.8695652173913043,10.0,,^,,1.0,3.0,16.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,45.0,29,0,1,4.0,3.0,1.0,20180923181121.0,21075^11077,17.0,0.004
34,,3.0,20.5,0.8333333333333334,-20.5,0.8333333333333334,114.5,0.7692307692307693,114.5,0.9090909090909091,10.0,,,,1.0,3.0,16.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,45.0,29,0,1,4.0,1.0,1.0,20180923181124.0,11077.0,17.0,0.004
35,,3.0,20.5,0.8333333333333334,-20.5,0.8333333333333334,113.5,0.8333333333333334,113.5,0.8333333333333334,10.0,,,,1.0,3.0,16.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,45.0,29,0,1,3.0,52.0,1.0,20180923181132.0,11077.0,17.0,0.004
36,,3.0,20.5,0.8333333333333334,-20.5,0.8333333333333334,113.5,0.8,113.5,0.8695652173913043,10.0,,,,1.0,3.0,16.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,45.0,29,0,1,3.0,44.0,1.0,20180923181140.0,11077.0,17.0,0.004
37,,3.0,20.5,0.8333333333333334,-20.5,0.8333333333333334,112.5,0.9090909090909091,112.5,0.7692307692307693,10.0,,,,1.0,3.0,16.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,45.0,29,0,1,3.0,41.0,1.0,20180923181144.0,11077.0,17.0,0.004
38,,3.0,20.5,0.8333333333333334,-20.5,0.8333333333333334,112.5,0.9090909090909091,112.5,0.7692307692307693,10.0,,,,1.0,3.0,16.0,5.0,10.0,10.0,4,3,2.0,0.0,62.5,55.6,45.0,29,0,1,3.0,40.0,1.0,20180923181144.0,11077.0,17.0,0.004
