,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,-13.5,0.8333333333333334,13.5,0.8333333333333334,121.5,0.8333333333333334,121.5,0.8333333333333334,,,2.0,1.0,13.0,18.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,39.0,51,0,1,10.0,0.0,0,20180916153638,01082,0.015151515151515152,11.0
1,,-13.5,0.8333333333333334,13.5,0.8333333333333334,121.5,0.8333333333333334,121.5,0.8333333333333334,,^,2.0,1.0,13.0,18.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,39.0,51,0,1,10.0,0.0,1.0,20180916153638,01090^11077,0.015151515151515152,11.0
2,,-13.5,0.8333333333333334,13.5,0.8333333333333334,121.5,0.8,121.5,0.8695652173913043,,,2.0,1.0,13.0,18.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,39.0,51,0,1,9.0,58.0,1.0,20180916153858.0,21077.0,0.015151515151515152,11.0
3,,-13.5,0.8333333333333334,13.5,0.8333333333333334,120.5,0.8695652173913043,120.5,0.8,,,2.0,1.0,13.0,18.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,39.0,51,0,1,9.0,49.0,1.0,20180916153906.0,21077.0,0.015151515151515152,11.0
4,,-13.5,0.8333333333333334,13.5,0.8333333333333334,120.5,0.8695652173913043,120.5,0.8,,,2.0,1.0,13.0,18.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,39.0,51,0,1,9.0,48.0,1.0,20180916153908.0,21077.0,0.015151515151515152,11.0
5,,-13.5,0.8333333333333334,13.5,0.8333333333333334,120.5,0.8,120.5,0.8695652173913043,,,2.0,1.0,13.0,18.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,39.0,51,0,1,9.0,40.0,1.0,20180916153916.0,21077.0,0.015151515151515152,11.0
6,,-10.5,0.8333333333333334,10.5,0.8333333333333334,123.5,0.8,123.5,0.8695652173913043,,^,3.0,1.0,13.0,18.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,51,0,1,9.0,33.0,1.0,20180916153923.0,11075^21077,0.044444444444444446,7.75
7,,-10.5,0.8333333333333334,10.5,0.8333333333333334,123.5,0.8,123.5,0.8695652173913043,,,3.0,1.0,13.0,18.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,51,0,1,9.0,33.0,1.0,20180916153924.0,21077.0,0.044444444444444446,7.75
8,,-10.5,0.8333333333333334,10.5,0.8333333333333334,122.5,0.8695652173913043,122.5,0.8,,,3.0,1.0,13.0,18.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,51,0,1,9.0,24.0,1.0,20180916153932.0,21077.0,0.04,8.0
9,,-10.5,0.8333333333333334,10.5,0.8333333333333334,122.5,0.8,122.5,0.8695652173913043,,,3.0,1.0,13.0,18.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,51,0,1,9.0,16.0,1.0,20180916153940.0,21077.0,0.04,8.0
10,,-12.5,0.9090909090909091,12.5,0.7692307692307693,124.5,0.8,124.5,0.8695652173913043,,^,3.0,1.0,13.0,19.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,53,0,1,9.0,14.0,1.0,20180916153943.0,21074^11077,0.02,10.0
11,,-12.5,0.9090909090909091,12.5,0.7692307692307693,124.5,0.7692307692307693,124.5,0.9090909090909091,,,3.0,1.0,13.0,19.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,53,0,1,9.0,11.0,1.0,20180916153946.0,11077.0,0.02,10.0
12,,-12.5,0.9090909090909091,12.5,0.7692307692307693,123.5,0.8333333333333334,123.5,0.8333333333333334,,,3.0,1.0,13.0,19.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,53,0,1,9.0,2.0,1.0,20180916153954.0,11077.0,0.02,10.0
13,,-12.5,0.8333333333333334,12.5,0.8333333333333334,123.5,0.8333333333333334,123.5,0.8333333333333334,,,3.0,1.0,13.0,19.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,53,0,1,9.0,2.0,1.0,20180916153955.0,21077.0,0.016666666666666666,10.5
14,,-12.5,0.8333333333333334,12.5,0.8333333333333334,123.5,0.8,123.5,0.8695652173913043,,,3.0,1.0,13.0,19.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,53,0,1,8.0,57.0,0.0,20180916153959.0,21077.0,0.016666666666666666,10.5
15,,-12.5,0.8333333333333334,12.5,0.8333333333333334,123.5,0.8,123.5,0.8695652173913043,,,3.0,1.0,13.0,19.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,53,0,1,8.0,57.0,1.0,20180916154011.0,21077.0,0.016666666666666666,10.5
16,,-12.5,0.8333333333333334,12.5,0.8333333333333334,123.5,0.8,123.5,0.8695652173913043,,,3.0,1.0,13.0,19.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,53,0,1,8.0,56.0,1.0,20180916154014.0,21077.0,0.016666666666666666,10.5
17,,-14.5,0.7692307692307693,14.5,0.9090909090909091,126.5,0.8,126.5,0.8695652173913043,6.0,^,3.0,2.0,13.0,19.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,56,0,1,8.0,53.0,1.0,20180916154016.0,21075^11077,0.005,16.0
18,,-14.5,0.7692307692307693,14.5,0.9090909090909091,126.5,0.7692307692307693,126.5,0.9090909090909091,6.0,,3.0,2.0,13.0,19.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,56,0,1,8.0,52.0,1.0,20180916154017.0,11077.0,0.005,16.0
19,,-14.5,0.7692307692307693,14.5,0.9090909090909091,125.5,0.8695652173913043,125.5,0.8,6.0,,3.0,2.0,13.0,19.0,7.0,11.0,1,5,0.0,0.0,70.0,84.6,42.0,56,0,1,8.0,43.0,1.0,20180916154025.0,11077.0,0.005,16.0
