,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
36,,,4.0,4.5,0.0,-4.5,0.0,2.0,^,78.0,74.0,0,1,0.0,16.0,0.0,20181108150712.0,11077^11077
37,,,4.0,4.5,0.0,-4.5,0.0,2.0,^,78.0,74.0,0,1,0.0,16.0,1.0,20181108150712.0,11077^11077
38,,,4.0,4.5,0.0,-4.5,0.0,2.0,^,78.0,74.0,0,1,0.0,14.0,0.0,20181108150728.0,11077^11077
39,,,4.0,4.5,0.0,-4.5,0.0,2.0,^,78.0,74.0,0,1,0.0,14.0,0.0,20181108150731.0,11077^11077
40,,,4.0,4.5,0.0,-4.5,0.0,2.0,^,78.0,74.0,0,1,0.0,14.0,0.0,20181108150744.0,21086.0
41,,,4.0,4.5,0.0,-4.5,0.0,2.0,1:2,78.0,74.0,0,1,0.0,14.0,0.0,20181108150745.0,11078.0
42,,,4.0,4.5,0.0,-4.5,0.0,2.0,1:2^2:2,78.0,74.0,0,1,0.0,14.0,0.0,20181108150759.0,11080^11078
43,,,4.0,4.5,0.0,-4.5,0.0,1.0,2:2^,81.0,77.0,0,1,0.0,14.0,0.0,20181108150809.0,11079^21077
44,,,4.0,4.5,0.0,-4.5,0.0,1.0,,81.0,77.0,0,1,0.0,14.0,0.0,20181108150809.0,21077.0
45,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,81.0,77.0,0,1,0.0,14.0,0.0,20181108150923.0,21077^21077
46,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,81.0,77.0,0,1,0.0,16.0,0.0,20181108150928.0,21077^21077
47,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,81.0,77.0,0,1,0.0,16.0,1.0,20181108150928.0,21077^21077
48,,,4.0,4.5,0.0,-4.5,0.0,1.0,,81.0,77.0,0,1,0.0,16.0,1.0,20181108150928.0,11077.0
49,,,4.0,4.5,0.0,-4.5,0.0,1.0,,81.0,77.0,0,1,0.0,11.0,0.0,20181108150936.0,11077.0
50,44.0,5.0,4.0,4.5,0.0,-4.5,0.0,1.0,,81.0,77.0,0,1,0.0,11.0,0.0,20181108150941.0,11081.0
51,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,81.0,77.0,0,1,0.0,11.0,0.0,20181108151030.0,11077^11077
52,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,81.0,77.0,0,1,0.0,11.0,1.0,20181108151048.0,11077^11077
53,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,81.0,77.0,0,1,0.0,9.0,0.0,20181108151050.0,11077^11077
54,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,81.0,77.0,0,1,0.0,9.0,0.0,20181108151053.0,11077^11077
55,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,81.0,77.0,0,1,0.0,9.0,0.0,20181108151103.0,21086.0
56,,,4.0,4.5,0.0,-4.5,0.0,2.0,1:2,81.0,77.0,0,1,0.0,9.0,0.0,20181108151106.0,11078.0
57,,,4.0,4.5,0.0,-4.5,0.0,2.0,1:2^2:2,81.0,77.0,0,1,0.0,9.0,0.0,20181108151129.0,11080^11078
58,,,4.0,4.5,0.0,-4.5,0.0,1.0,1:2^2:2,82.0,79.0,0,1,0.0,9.0,0.0,20181108151142.0,11080^11078
59,,,4.0,4.5,0.0,-4.5,0.0,1.0,,82.0,79.0,0,1,0.0,9.0,0.0,20181108151142.0,21077.0
60,44.0,5.0,4.0,4.5,0.0,-4.5,0.0,1.0,,82.0,79.0,0,1,0.0,9.0,0.0,20181108151145.0,21081.0
61,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,82.0,79.0,0,1,0.0,9.0,0.0,20181108151259.0,21077^21077
62,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,82.0,79.0,0,1,0.0,9.0,1.0,20181108151259.0,21077^21077
63,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,82.0,79.0,0,1,0.0,0.0,1.0,20181108151314.0,21077^21077
64,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,82.0,79.0,0,1,0.0,0.0,0.0,20181108151316.0,21077^21077
65,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,82.0,79.0,0,1,0.0,0.0,0.0,20181108151317.0,21077^21077
66,,,4.0,4.5,0.0,-4.5,0.0,1.0,^,82.0,79.0,0,1,0.0,0.0,0.0,20181108151317.0,1084.0
