,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_a,S2,S2_a,S3,S3_a,S4,S4_a,S5,S5_a,S6,S6_a,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
55,44.0,5.0,,,5.5,0.83,-5.5,0.83,135.5,0.83,135.5,0.83,-5.5,,0.0,,,2,8.0,6,3.0,1,,5,,2,,100.0,25.0,25,23.0,0.0,1,4.0,58.0,0.0,20180721012806.0,21077.0,0.0,0.0
56,44.0,5.0,,,5.5,0.83,-5.5,0.83,135.5,0.83,135.5,0.83,-5.5,,0.0,,,2,8.0,6,3.0,1,,5,,2,,100.0,25.0,25,23.0,0.0,1,4.0,58.0,0.0,20180721012822.0,21077.0,0.0,0.0
57,44.0,5.0,,,5.5,0.83,-5.5,0.83,138.5,0.8,135.5,0.87,138.5,,0.0,,,2,8.0,6,3.0,1,,5,,2,,100.0,25.0,25,23.0,0.0,1,4.0,58.0,0.0,20180721012822.0,21081.0,0.0,0.0
58,,,,,5.5,0.83,-5.5,0.83,138.5,0.8,138.5,0.87,138.5,,0.0,,,2,8.0,6,3.0,1,,5,,2,,100.0,25.0,25,23.0,0.0,1,5.0,34.0,0.0,20180721012906.0,21081.0,0.0,0.0
59,,,,,5.5,0.83,-5.5,0.83,138.5,0.8,138.5,0.87,138.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,23.0,0.0,1,5.0,34.0,0.0,20180721012906.0,11086.0,0.0,0.0
60,,,,,5.5,0.83,-5.5,0.83,139.5,0.83,138.5,0.83,139.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,23.0,0.0,1,5.0,34.0,0.0,20180721012906.0,21077.0,0.0,0.0
61,,,,,5.5,0.83,-5.5,0.83,139.5,0.83,139.5,0.83,139.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,24.0,0.0,1,5.0,34.0,0.0,20180721012937.0,21077.0,0.0,0.0
62,,,,,5.5,0.83,-5.5,0.83,140.5,0.83,139.5,0.83,140.5,,0.0,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,24.0,0.0,1,5.0,34.0,0.0,20180721012937.0,11077.0,0.0,0.0
63,,,,,3.5,0.83,-5.5,0.83,140.5,0.83,140.5,0.83,140.5,,0.47,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,24.0,0.0,1,5.0,34.0,0.0,20180721012937.0,11077.0,0.0,0.0
64,,,,,3.5,0.87,-3.5,0.83,140.5,0.83,140.5,0.83,3.5,,0.47,,,2,8.0,6,3.0,1,,5,3.0,2,,100.0,25.0,25,24.0,0.0,1,5.0,34.0,0.0,20180721012937.0,11077.0,0.0,0.0
