,ED,LM,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,11,8,21,22,,14,17,0,0,,8,8,,70.0,63.0,89,85,0,1,0,55.0,0,20181018020523,21086
1,,,1:2,11,8,21,22,,14,17,0,0,,8,8,,70.0,63.0,89,85,0,1,0,55.0,0,20181018020559.0,11078.0
2,,,^1:2,11,8,21,22,15.0,14,17,0,0,9.0,8,8,71.4,70.0,63.0,89,85,0,1,0,55.0,0,20181018020559.0,21086^11078
3,,,2:2^,11,8,21,22,15.0,14,17,0,0,9.0,8,8,68.2,70.0,63.0,89,85,0,1,0,55.0,1.0,20181018020620.0,11080^21077
4,,,2:2^,11,8,21,22,15.0,14,17,0,0,9.0,8,8,68.2,70.0,63.0,89,85,0,1,0,55.0,1.0,20181018020622.0,11080^21077
5,,,,11,8,21,22,15.0,14,17,0,0,9.0,8,8,68.2,70.0,63.0,89,85,0,1,0,46.0,1.0,20181018020630.0,21077.0
6,,,,11,8,21,22,15.0,14,17,0,0,9.0,8,8,68.2,70.0,63.0,89,85,0,1,0,43.0,0.0,20181018020634.0,21077.0
7,,,,11,8,21,22,15.0,14,17,0,0,9.0,8,8,68.2,70.0,63.0,89,85,0,1,0,43.0,0.0,20181018020643.0,11086.0
8,,,1:2,11,8,21,22,15.0,14,17,0,0,9.0,8,8,68.2,70.0,63.0,89,85,0,1,0,43.0,0.0,20181018020652.0,21078.0
9,,,^1:2,11,8,21,22,18.0,14,17,0,0,9.0,8,8,64.3,70.0,63.0,89,85,0,1,0,43.0,0.0,20181018020652.0,11086^21078
10,,,2:2^,11,8,21,22,18.0,14,17,0,0,9.0,8,8,62.1,70.0,63.0,89,85,0,1,0,43.0,1.0,20181018020726.0,21080^11077
11,,,2:2^,11,8,21,22,18.0,14,17,0,0,9.0,8,8,62.1,70.0,63.0,89,85,0,1,0,43.0,1.0,20181018020728.0,21080^11077
12,,,,11,8,21,22,18.0,14,17,0,0,9.0,8,8,62.1,70.0,63.0,89,85,0,1,0,34.0,1.0,20181018020737.0,11077.0
13,,1.0,,11,8,21,22,18.0,14,17,0,0,9.0,8,8,62.1,70.0,63.0,89,85,0,1,0,26.0,1.0,20181018020745.0,11077.0
14,,1.0,,11,8,21,22,18.0,14,17,0,0,9.0,8,8,62.1,70.0,63.0,89,85,0,1,0,21.0,1.0,20181018020749.0,21077.0
15,,1.0,,11,8,21,22,18.0,14,17,0,0,9.0,8,8,62.1,70.0,63.0,89,85,0,1,0,20.0,1.0,20181018020751.0,11077.0
16,,1.0,,11,8,21,22,18.0,14,17,0,0,9.0,8,8,62.1,70.0,63.0,89,85,0,1,0,13.0,0.0,20181018020757.0,11077.0
17,,1.0,,11,8,21,22,18.0,14,17,0,0,9.0,8,8,62.1,70.0,63.0,89,85,0,1,0,13.0,0.0,20181018020811.0,21086.0
18,,2.0,1:2,11,8,21,22,18.0,14,17,0,0,9.0,8,8,62.1,70.0,63.0,89,85,0,1,0,13.0,0.0,20181018020831.0,11078.0
19,,2.0,^1:2,11,8,21,22,18.0,14,17,0,0,10.0,8,8,62.1,70.0,63.0,89,85,0,1,0,13.0,0.0,20181018020832.0,21086^11078
20,,2.0,^1:2,11,8,21,22,18.0,14,17,0,0,10.0,8,8,62.1,70.0,63.0,89,85,0,1,0,11.0,0.0,20181018020832.0,21086^11078
21,,1.0,^1:2,11,8,21,22,18.0,14,17,0,0,10.0,8,8,62.1,70.0,63.0,89,85,0,1,0,9.0,0.0,20181018020832.0,21086^11078
22,,1.0,1:2^2:2,11,8,21,22,16.0,14,17,0,0,10.0,8,8,69.6,70.0,63.0,91,86,0,1,0,9.0,0.0,20181018020849.0,11079^11078
23,,1.0,2:2,11,8,21,22,17.0,14,17,0,0,10.0,8,8,70.8,70.0,63.0,92,86,0,1,0,9.0,0.0,20181018020903.0,11079.0
24,,1.0,,11,8,21,22,17.0,14,17,0,0,10.0,8,8,70.8,70.0,63.0,92,86,0,1,0,9.0,1.0,20181018020909.0,21077.0
25,,1.0,,11,8,21,22,17.0,14,17,0,0,10.0,8,8,70.8,70.0,63.0,92,86,0,1,0,2.0,1.0,20181018020915.0,11077.0
26,,1.0,,11,8,21,22,17.0,14,17,0,0,10.0,8,8,70.8,70.0,63.0,92,86,0,1,0,0.0,0.0,20181018020919.0,11077.0
27,,1.0,,11,8,21,22,17.0,14,17,0,0,10.0,8,8,70.8,70.0,63.0,92,86,0,1,0,0.0,0.0,20181018020919.0,1084.0
28,,1.0,,11,8,21,22,17.0,14,17,0,0,10.0,8,8,70.8,70.0,63.0,92,86,0,1,0,0.0,0.0,20181018020926.0,1084.0
29,,1.0,,11,8,21,22,17.0,14,17,0,0,10.0,8,8,70.8,70.0,63.0,92,86,0,1,0,0.0,0.0,20181018020926.0,1084.0
