,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
35,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.66,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,33.0,0,,11077.0,0.66,1.1
36,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.66,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,33.0,0,,11077.0,0.66,1.1
37,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.66,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,32.0,0,,11077.0,0.66,1.1
38,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.66,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,32.0,0,,11077.0,0.66,1.1
39,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.66,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,13.0,0,,11077.0,0.66,1.1
40,,,,第1节,157.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,157.5,1.0,0.66,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,9.0,GD,13.0,0,,21077.0,0.66,1.1
41,,,,第1节,157.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,157.5,1.0,0.66,,,1.0,0.0,0.0,5.0,0.0,0.0,,3.0,0.0,1,9.0,GD,13.0,0,,21075.0,0.66,1.1
42,,,,第1节,157.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,157.5,1.0,0.66,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1,8.0,GD,58.0,0,,11077.0,0.66,1.1
43,,,,第1节,4.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,4.5,1.0,0.66,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1,8.0,GD,58.0,0,,11077.0,0.66,1.1
44,,,,第1节,-4.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,-4.5,1.0,0.66,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1,8.0,GD,58.0,0,,11077.0,0.66,1.1
45,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.66,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1,8.0,GD,58.0,0,,11077.0,0.66,1.1
46,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,1.5,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1,8.0,GD,58.0,0,,11077.0,0.66,1.1
47,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1,8.0,GD,54.0,0,,11077.0,0.66,1.1
48,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1,8.0,GD,54.0,0,,21077.0,0.66,1.1
49,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.0,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1,8.0,GD,31.0,0,,21077.0,0.66,1.1
50,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.83,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1,8.0,GD,31.0,0,,21077.0,0.66,1.1
51,,,,第1节,157.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,157.5,1.0,0.83,,,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1,8.0,GD,31.0,0,,21077.0,0.66,1.1
52,,,,第1节,157.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,157.5,1.0,0.83,,,1.0,1.0,0.0,5.0,0.0,0.0,3.0,5.0,0.0,1,8.0,GD,31.0,0,,21074.0,0.66,1.1
53,,,,第1节,157.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,157.5,1.0,0.83,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1,8.0,GD,12.0,0,,11077.0,0.66,1.1
54,,,,第1节,5.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,5.5,1.0,0.83,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1,8.0,GD,12.0,0,,11077.0,0.66,1.1
55,,,,第1节,-5.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,-5.5,1.0,0.83,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1,8.0,GD,12.0,0,,11077.0,0.66,1.1
56,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.83,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1,8.0,GD,12.0,0,,11077.0,0.66,1.1
57,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,1.7,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1,8.0,GD,12.0,0,,11077.0,0.66,1.1
58,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1,8.0,GD,8.0,0,,11077.0,0.66,1.1
59,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1,8.0,GD,8.0,0,,11074.0,0.66,1.1
60,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,8.0,GD,8.0,0,,21077.0,0.66,1.1
61,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,56.0,0,,21077.0,0.66,1.1
62,,,,第1节,4.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,4.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,56.0,0,,21077.0,0.66,1.1
63,,,,第1节,-4.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,-4.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,56.0,0,,21077.0,0.66,1.1
64,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,56.0,0,,21077.0,0.66,1.1
65,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,1.5,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,56.0,0,,21077.0,0.66,1.1
66,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,50.0,0,,21077.0,0.66,1.1
67,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,50.0,0,,21077.0,0.66,1.1
68,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,42.0,0,,21077.0,0.66,1.1
69,,,,第1节,159.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,159.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,42.0,0,,11086.0,0.66,1.1
70,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,42.0,0,,21077.0,0.66,1.1
71,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,42.0,0,,21077.0,0.66,1.1
72,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.47,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,1.0,1,7.0,GD,42.0,0,,21077.0,0.66,1.1
73,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.47,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,1.0,1,7.0,GD,42.0,0,,21077.0,0.66,1.1
74,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.47,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,1.0,1,7.0,GD,42.0,0,,21077.0,0.66,1.1
75,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.47,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,1.0,1,7.0,GD,42.0,0,,21077.0,0.66,1.1
76,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.47,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,42.0,0,,21077.0,0.66,1.1
77,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.47,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,42.0,0,,21077.0,0.66,1.1
78,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.47,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,42.0,0,,21077.0,0.66,1.1
79,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.47,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,39.0,0,,21077.0,0.66,1.1
80,,,,第1节,158.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,158.5,1.0,0.47,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,39.0,0,,11086.0,0.66,1.1
81,,,,第1节,5.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,5.5,1.0,0.8,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,39.0,0,,21077.0,0.66,1.1
82,,,,第1节,-5.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,-5.5,1.0,0.87,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,39.0,0,,21077.0,0.66,1.1
83,,,,第1节,-5.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,-5.5,1.0,0.0,,,1.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1,7.0,GD,39.0,0,,21077.0,0.66,1.1
84,,,,第1节,-5.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,-5.5,1.0,0.0,,,2.0,1.0,0.0,5.0,0.0,0.0,5.0,8.0,0.0,1,7.0,GD,39.0,0,,21075.0,0.66,1.1
85,,,,第1节,-5.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,-5.5,1.0,0.0,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,2.0,0.0,1,7.0,GD,39.0,0,,11077.0,0.66,1.1
86,,,,第1节,-5.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,-5.5,1.0,0.0,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,2.0,0.0,1,7.0,GD,27.0,0,,11077.0,0.66,1.1
87,,,,第1节,6.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,6.5,1.0,0.87,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,2.0,0.0,1,7.0,GD,27.0,0,,11077.0,0.66,1.1
88,,,,第1节,-6.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,-6.5,1.0,0.8,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,2.0,0.0,1,7.0,GD,27.0,0,,11077.0,0.66,1.1
89,,,,第1节,161.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,161.5,1.0,0.8,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,2.0,0.0,1,7.0,GD,27.0,0,,11077.0,0.66,1.1
90,,,,第1节,161.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,161.5,1.0,0.0,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,2.0,0.0,1,7.0,GD,27.0,0,,11077.0,0.66,1.1
91,,,,第1节,161.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,161.5,1.0,0.0,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,2.0,0.0,1,7.0,GD,22.0,0,,11077.0,0.66,1.1
92,,,,第1节,160.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,160.5,1.0,0.0,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,2.0,0.0,1,7.0,GD,22.0,0,,11077.0,0.66,1.1
93,,,,第1节,160.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,160.5,1.0,0.0,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,2.0,0.0,1,7.0,GD,13.0,0,,11077.0,0.66,1.1
94,,,,第1节,160.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,160.5,1.0,0.0,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,2.0,0.0,1,7.0,GD,13.0,0,,11074.0,0.66,1.1
95,,,,第1节,160.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,160.5,1.0,0.0,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,4.0,0.0,1,7.0,GD,0.0,0,,21077.0,0.66,1.1
96,,,,第1节,5.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,5.5,1.0,0.83,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,4.0,0.0,1,7.0,GD,0.0,0,,21077.0,0.66,1.1
97,,,,第1节,-5.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,-5.5,1.0,0.83,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,4.0,0.0,1,7.0,GD,0.0,0,,21077.0,0.66,1.1
98,,,,第1节,161.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,161.5,1.0,0.83,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,4.0,0.0,1,7.0,GD,0.0,0,,21077.0,0.66,1.1
99,,,,第1节,161.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,161.5,1.0,1.75,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,4.0,0.0,1,7.0,GD,0.0,0,,21077.0,0.66,1.1
100,,,,第1节,161.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,161.5,1.0,0.0,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,4.0,0.0,1,6.0,GD,55.0,0,,21077.0,0.66,1.1
101,,,,第1节,6.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,6.5,1.0,0.87,,,2.0,1.0,0.0,5.0,0.0,0.0,8.0,10.0,0.0,1,6.0,GD,55.0,0,,21077.0,0.66,1.1
102,,,,第1节,-6.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,-6.5,1.0,0.8,,,2.0,2.0,0.0,5.0,0.0,0.0,8.0,10.0,0.0,1,6.0,GD,55.0,0,,21074.0,0.66,1.1
103,,,,第1节,162.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,162.5,1.0,0.8,,,2.0,2.0,0.0,5.0,0.0,0.0,8.0,10.0,0.0,1,6.0,GD,55.0,0,,11077.0,0.66,1.1
104,,,,第1节,162.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,162.5,1.0,0.8,,,2.0,2.0,0.0,5.0,0.0,0.0,8.0,10.0,0.0,1,6.0,GD,36.0,0,,11077.0,0.66,1.1
105,,,,第1节,162.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,162.5,1.0,0.0,,,2.0,2.0,0.0,5.0,0.0,0.0,8.0,10.0,0.0,1,6.0,GD,36.0,0,,11077.0,0.66,1.1
106,,,,第1节,162.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,162.5,1.0,0.0,,,2.0,2.0,0.0,5.0,0.0,0.0,10.0,4.0,0.0,1,6.0,GD,36.0,0,,11077.0,0.66,1.1
107,,,,第1节,162.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,162.5,1.0,0.0,,,2.0,2.0,0.0,5.0,0.0,0.0,10.0,4.0,0.0,1,6.0,GD,32.0,0,,11077.0,0.66,1.1
108,,,,第1节,161.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,161.5,1.0,0.0,,,2.0,2.0,0.0,5.0,0.0,0.0,10.0,4.0,0.0,1,6.0,GD,32.0,0,,11077.0,0.66,1.1
109,,,,第1节,161.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,161.5,1.0,0.0,,,2.0,2.0,0.0,5.0,0.0,0.0,10.0,4.0,0.0,1,6.0,GD,21.0,0,,11077.0,0.66,1.1
110,,,,第1节,160.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,160.5,1.0,0.0,,,2.0,2.0,0.0,5.0,0.0,0.0,10.0,4.0,0.0,1,6.0,GD,21.0,0,,11077.0,0.66,1.1
111,,,,第1节,160.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,160.5,1.0,0.0,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,4.0,0.0,1,6.0,GD,21.0,0,,21086.0,0.66,1.1
112,,,,第1节,160.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,160.5,1.0,0.0,,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,4.0,0.0,1,6.0,GD,21.0,0,,11077.0,0.66,1.1
113,,,,第1节,160.5,-2.5,0.87,2.5,0.8,161.5,0.83,161.5,0.83,160.5,1.0,0.8,1:2,,2.0,2.0,0.0,5.0,1.0,0.0,10.0,4.0,0.0,1,6.0,GD,21.0,0,,11078.0,0.66,1.1
