,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,,,,9,9,,18,13,,11,26,,1,3,,6,1,,73.3,78.8,74,79,0,1,2.0,18.0,1,20181021134158,11077
1,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,,,,9,9,,18,13,,11,26,,1,3,,6,1,,73.3,78.8,74,79,0,1,2.0,10.0,1,20181021134206.0,11077
2,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,,,,9,9,,18,13,,11,26,,1,3,,6,1,,73.3,78.8,74,79,0,1,2.0,5.0,0.0,20181021134211.0,11077
3,,,4.0,-4.5,0.7692307692307693,4.5,0.9090909090909091,,^,,9,9,,18,13,,11,26,,1,3,2.0,6,1,,73.3,78.8,74,79,0,1,2.0,5.0,0.0,20181021134214.0,21086^11077
4,,,4.0,-4.5,0.8333333333333334,4.5,0.8333333333333334,,1:2,,9,9,,18,13,,11,26,,1,3,2.0,6,1,,73.3,78.8,74,79,0,1,2.0,5.0,0.0,20181021134221.0,11078.0
5,,,4.0,-4.5,0.9090909090909091,4.5,0.7692307692307693,,1:2^2:2,,9,9,,18,13,12.0,11,26,,1,3,2.0,6,1,75.0,73.3,78.8,75,79,0,1,2.0,5.0,0.0,20181021134243.0,11079^11078
6,,,4.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,,2:2^,,9,9,,18,13,13.0,11,26,,1,3,2.0,6,1,76.5,73.3,78.8,76,79,0,1,2.0,5.0,0.0,20181021134300.0,11079^21077
7,,,4.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,,2:2^,,9,9,,18,13,13.0,11,26,,1,3,2.0,6,1,76.5,73.3,78.8,76,79,0,1,2.0,4.0,0.0,20181021134300.0,11079^21077
8,,,4.0,-3.5,0.7692307692307693,3.5,0.9090909090909091,,,,9,9,,18,13,13.0,11,26,,1,3,2.0,6,1,76.5,73.3,78.8,76,79,0,1,2.0,5.0,0.0,20181021134300.0,21077.0
9,,,4.0,-3.5,0.0,3.5,0.0,3.0,,,9,9,,18,13,13.0,11,26,,1,3,2.0,6,1,76.5,73.3,78.8,76,79,0,1,1.0,57.0,0.0,20181021134314.0,21077.0
10,,,4.0,-3.5,0.0,3.5,0.0,3.0,,,9,9,,18,13,13.0,11,26,,1,3,2.0,6,1,76.5,73.3,78.8,76,79,0,1,1.0,48.0,0.0,20181021134322.0,21077.0
11,,,4.0,-3.5,0.0,3.5,0.0,3.0,,,9,9,,18,13,13.0,11,26,,1,3,2.0,6,1,76.5,73.3,78.8,76,79,0,1,1.0,47.0,0.0,20181021134324.0,21077.0
12,,,4.0,-3.5,0.0,3.5,0.0,3.0,,,9,9,,18,13,13.0,11,26,,1,3,2.0,6,1,76.5,73.3,78.8,76,79,0,1,1.0,43.0,0.0,20181021134324.0,21077.0
