,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第3节,3.5,0.83,-3.5,0.83,173.5,0.83,173.5,0.83,,,,7,3,5,6,4,8,6,6,0,0.0,40.0,66.7,35,29,0.0,1,10.0,0.0,1,20180709054519,11077,1.25,0.0
1,,,,第3节,3.5,0.8,-3.5,0.87,173.5,0.83,173.5,0.83,,,,7,3,5,6,4,8,6,6,0,1.0,40.0,66.7,35,29,0.0,1,10.0,0.0,1,20180709054519,21074.0,1.25,0.0
2,,,,第3节,3.5,0.8,-3.5,0.87,173.5,0.83,173.5,0.83,,,,7,3,5,6,4,8,6,6,0,1.0,40.0,66.7,35,29,0.0,1,10.0,43.0,1,20180709054625.0,11077.0,1.25,0.0
3,,,,第3节,3.5,0.8,-3.5,0.87,173.5,0.83,173.5,0.83,,,,7,3,5,6,4,8,6,6,0,1.0,40.0,66.7,2,2,0.0,1,10.0,43.0,1,20180709054625.0,11077.0,1.25,0.0
4,,,,第3节,3.5,0.83,-2.5,0.83,173.5,0.83,173.5,0.83,-2.5,,,7,3,5,6,4,8,6,6,0,1.0,40.0,66.7,2,2,0.0,1,10.0,43.0,1,20180709054625.0,11077.0,1.25,0.0
5,,,,第3节,2.5,0.83,-2.5,0.83,173.5,0.83,173.5,0.83,2.5,,,7,3,5,6,4,8,6,6,0,1.0,40.0,66.7,2,2,0.0,1,10.0,43.0,1,20180709054625.0,11077.0,1.25,0.0
6,,,,第3节,2.5,0.83,-2.5,0.83,173.5,0.83,173.5,0.83,173.5,,,7,3,5,6,4,8,6,6,0,1.0,40.0,66.7,2,2,0.0,1,10.0,43.0,1,20180709054625.0,11077.0,1.25,0.0
7,,,,第3节,2.5,0.83,-2.5,0.83,173.5,0.83,173.5,0.83,173.5,,,7,3,5,6,4,8,6,6,0,1.0,40.0,66.7,2,2,0.0,1,10.0,42.0,1,20180709054628.0,11077.0,1.2,0.63
8,,,,第3节,2.5,0.83,-2.5,0.83,173.5,0.83,173.5,0.83,173.5,,,7,3,5,6,4,8,6,6,0,1.0,40.0,66.7,2,2,0.0,1,10.0,42.0,1,20180709054628.0,11074.0,1.2,0.63
9,,,,第3节,2.5,0.83,-2.5,0.83,173.5,0.83,173.5,0.83,173.5,,,7,3,5,6,4,8,6,6,0,1.0,40.0,66.7,2,4,0.0,1,10.0,42.0,1,20180709054628.0,21077.0,1.2,0.63
10,,,,第3节,2.5,0.8,-3.5,0.87,173.5,0.83,173.5,0.83,-3.5,,,7,3,5,6,4,8,6,6,0,1.0,40.0,66.7,2,4,0.0,1,10.0,42.0,1,20180709054628.0,21077.0,1.2,0.63
11,,,,第3节,3.5,0.8,-3.5,0.87,173.5,0.83,174.5,0.83,3.5,,,7,3,5,6,4,8,6,6,0,1.0,40.0,66.7,2,4,0.0,1,10.0,42.0,1,20180709054628.0,21077.0,1.2,0.63
