,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
34,,,,第1节,18.5,0.87,-18.5,0.8,132.5,0.83,132.5,0.83,18.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
35,,,,第1节,18.5,0.83,-19.5,0.83,132.5,0.83,132.5,0.83,-19.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
36,,,,第1节,19.5,0.83,-19.5,0.87,132.5,0.83,132.5,0.83,19.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
37,,,,第1节,19.5,0.8,-20.5,0.87,132.5,0.83,132.5,0.83,-20.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
38,,,,第1节,20.5,0.8,-20.5,0.83,132.5,0.83,132.5,0.83,20.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
39,,,,第1节,20.5,0.83,-19.5,0.83,132.5,0.83,132.5,0.83,-19.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
40,,,,第1节,19.5,0.83,-19.5,0.87,132.5,0.83,132.5,0.83,19.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
41,,,,第1节,19.5,0.8,-21.5,0.87,132.5,0.83,132.5,0.83,-21.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
42,,,,第1节,21.5,0.8,-21.5,0.83,132.5,0.83,132.5,0.83,21.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
43,,,,第1节,21.5,0.83,-19.5,0.83,132.5,0.83,132.5,0.83,-19.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
44,,,,第1节,19.5,0.8,-19.5,0.87,132.5,0.83,132.5,0.83,19.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
45,,,,第1节,19.5,0.83,-18.5,0.83,132.5,0.83,132.5,0.83,-18.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
46,,,,第1节,18.5,0.87,-18.5,0.8,132.5,0.83,132.5,0.83,18.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
47,,,,第1节,18.5,0.83,-18.5,0.83,132.5,0.83,132.5,0.83,18.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
48,,,,第1节,18.5,0.8,-20.5,0.87,132.5,0.83,132.5,0.83,-20.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
49,,,,第1节,20.5,0.8,-20.5,0.87,132.5,0.83,132.5,0.83,20.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
50,,,,第1节,20.5,0.83,-16.5,0.83,132.5,0.83,132.5,0.83,-16.5,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
51,,,,第1节,16.5,0.83,-16.5,0.83,132.5,0.83,132.5,0.83,16.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
52,,,,第1节,16.5,0.83,-15.5,0.83,132.5,0.83,132.5,0.83,-15.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
53,,,,第1节,15.5,0.83,-15.5,0.87,132.5,0.83,132.5,0.83,15.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
54,,,,第1节,15.5,0.8,-13.5,0.87,132.5,0.83,132.5,0.83,-13.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
55,,,,第1节,13.5,0.8,-13.5,0.83,132.5,0.83,132.5,0.83,13.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
56,,,,第1节,13.5,0.83,-14.5,0.83,132.5,0.83,132.5,0.83,-14.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
57,,,,第1节,14.5,0.8,-14.5,0.87,132.5,0.83,132.5,0.83,14.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
58,,,,第1节,14.5,0.8,-13.5,0.87,132.5,0.83,132.5,0.83,-13.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
59,,,,第1节,13.5,0.8,-13.5,0.8,132.5,0.83,132.5,0.83,13.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
60,,,,第1节,13.5,0.87,-12.5,0.8,132.5,0.83,132.5,0.83,-12.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
61,,,,第1节,12.5,0.83,-12.5,0.83,132.5,0.83,132.5,0.83,12.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
62,,,,第1节,12.5,0.8,-12.5,0.87,132.5,0.83,132.5,0.83,12.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
63,,,,第1节,12.5,0.87,-10.5,0.8,132.5,0.83,132.5,0.83,-10.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
64,,,,第1节,10.5,0.87,-10.5,0.87,132.5,0.83,132.5,0.83,10.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
65,,,,第1节,10.5,0.8,-12.5,0.87,132.5,0.83,132.5,0.83,-12.5,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
