,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,LA,LM,MD,OD,PG,PI,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
0,,,,,,-26.5,0.8333333333333334,26.5,0.8333333333333334,140.5,0.8,140.5,0.8695652173913043,,,,,,,,,1,5,,14,18,,4,3,,4,4,,0,1,,80.0,75.0,,35,54,0.0,1,4.0,57.0,0,20180911171135,21077,15.0,0.006666666666666667,
1,,,,,,-26.5,0.8333333333333334,26.5,0.8333333333333334,140.5,0.8,140.5,0.8695652173913043,,,,,,,,,1,5,,14,18,,4,3,,4,4,,0,1,,80.0,75.0,,35,54,0.0,1,4.0,57.0,1.0,20180911171157.0,21077,15.0,0.006666666666666667,
2,,,,,,-26.5,0.8333333333333334,26.5,0.8333333333333334,140.5,0.8,140.5,0.8695652173913043,,,,,,,,,1,5,,14,18,,4,3,,4,4,,0,1,,80.0,75.0,,35,54,0.0,1,4.0,57.0,1.0,20180911171157.0,21077,15.0,0.006666666666666667,
3,,,,,139.5,-26.5,0.8333333333333334,26.5,0.8333333333333334,140.5,0.8,140.5,0.8695652173913043,139.5,139.5,,,0.8333333333333334,,,,1,5,,14,18,,4,3,,4,4,,0,1,,80.0,75.0,,35,54,0.0,1,4.0,48.0,1.0,20180911171205.0,21077,15.0,0.006666666666666667,
4,,,,,139.5,-26.5,0.8333333333333334,26.5,0.8333333333333334,140.5,0.8,140.5,0.8695652173913043,139.5,139.5,,,0.8333333333333334,,,,1,5,,14,18,,4,3,,4,4,,0,1,,80.0,75.0,,35,54,0.0,1,4.0,48.0,1.0,20180911171205.0,21077,15.0,0.006666666666666667,
5,,,,,25.5,-26.5,0.8333333333333334,26.5,0.8333333333333334,140.5,0.8,140.5,0.8695652173913043,25.5,139.5,,,0.8333333333333334,,,,1,5,,14,18,,4,3,,4,4,,0,1,,80.0,75.0,,35,54,0.0,1,4.0,48.0,1.0,20180911171205.0,21077,15.0,0.006666666666666667,
6,,,,,-25.5,-26.5,0.8333333333333334,26.5,0.8333333333333334,140.5,0.8,140.5,0.8695652173913043,-25.5,139.5,,,0.8333333333333334,,,,1,5,,14,18,,4,3,,4,4,,0,1,,80.0,75.0,,35,54,0.0,1,4.0,48.0,1.0,20180911171205.0,21077,15.0,0.006666666666666667,
7,,,,,25.5,-26.5,0.8333333333333334,26.5,0.8333333333333334,140.5,0.8,140.5,0.8695652173913043,25.5,139.5,,,0.8333333333333334,,,,1,5,,14,18,,4,3,,4,4,,0,1,,80.0,75.0,,35,54,0.0,1,4.0,48.0,1.0,20180911171205.0,21077,15.0,0.006666666666666667,
8,,,,,-25.5,-26.5,0.8333333333333334,26.5,0.8333333333333334,140.5,0.8,140.5,0.8695652173913043,-25.5,139.5,,,0.8333333333333334,,,,1,5,,14,18,,4,3,,4,4,,0,1,,80.0,75.0,,35,54,0.0,1,4.0,47.0,1.0,20180911171207.0,11077.0,15.0,0.006666666666666667,
9,,,,,25.5,-26.5,0.8333333333333334,26.5,0.8333333333333334,140.5,0.8,140.5,0.8695652173913043,25.5,139.5,,,0.8333333333333334,,,,1,5,,14,18,,4,3,,4,4,,0,1,,80.0,75.0,,35,54,0.0,1,4.0,47.0,1.0,20180911171207.0,11077.0,15.0,0.006666666666666667,
