,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,XY
0,,,,第3节,66.5,0.87,-66.5,0.8,152.5,0.83,152.5,0.83,,,,10.0,2,15.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,62.0,24.0,0.0,1,6.0,39.0,0,,11077,
1,,,,第3节,66.5,0.77,-68.5,0.91,152.5,0.83,152.5,0.83,-68.5,,,10.0,2,15.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,62.0,24.0,0.0,1,6.0,39.0,0,,21095.0,"0.78,0.64"
2,,,,第3节,68.5,0.77,-68.5,0.91,152.5,0.83,152.5,0.83,68.5,,,10.0,2,15.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,62.0,24.0,0.0,1,6.0,10.0,0,,21095.0,"0.78,0.64"
3,,,,第3节,68.5,0.77,-68.5,0.91,152.5,0.83,152.5,0.83,68.5,,,10.0,2,15.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,66.0,24.0,0.0,1,6.0,10.0,0,,11077.0,"0.78,0.64"
4,,,,第3节,68.5,0.77,-68.5,0.91,152.5,0.83,152.5,0.83,68.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,66.0,24.0,0.0,1,6.0,10.0,0,,11074.0,"0.85,0.57"
5,,,,第3节,68.5,0.77,-68.5,0.91,152.5,0.83,152.5,0.83,68.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,6.0,10.0,0,,21077.0,
6,,,,第3节,68.5,0.77,-68.5,0.91,152.5,0.83,152.5,0.83,68.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,55.0,0,,21077.0,
7,,,,第3节,68.5,0.83,-68.5,0.83,153.5,0.83,153.5,0.83,153.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,55.0,0,,21077.0,
8,,,,第3节,68.5,0.83,-68.5,0.83,153.5,0.83,153.5,0.83,153.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,55.0,0,,21095.0,"0.17,0.43"
9,,,,第3节,68.5,0.87,-68.5,0.8,152.5,0.77,152.5,0.91,152.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,55.0,0,,11077.0,
10,,,,第3节,68.5,0.87,-68.5,0.8,152.5,0.77,152.5,0.91,152.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,34.0,0,,11077.0,
11,,,,第3节,68.5,0.87,-67.5,0.8,152.5,0.77,152.5,0.91,-67.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,34.0,0,,21077.0,
12,,,,第3节,67.5,0.87,-67.5,0.8,152.5,0.77,152.5,0.91,67.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,34.0,0,,21095.0,"0.17,0.43"
13,,,,第3节,67.5,0.87,-67.5,0.8,152.5,0.77,152.5,0.91,67.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,29.0,0,,11077.0,
14,,,,第3节,67.5,0.87,-68.5,0.8,152.5,0.77,152.5,0.91,-68.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,29.0,0,,11077.0,
15,,,,第3节,68.5,0.87,-68.5,0.8,152.5,0.77,151.5,0.83,68.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,29.0,0,,11077.0,
16,,,,第3节,68.5,0.87,-68.5,0.8,151.5,0.83,151.5,0.83,151.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,29.0,0,,11077.0,
17,,,,第3节,68.5,0.83,-68.5,0.83,151.5,0.83,151.5,0.83,151.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,28.0,0,,11077.0,
18,,,,第3节,68.5,0.83,-69.5,0.83,151.5,0.83,151.5,0.83,-69.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,28.0,0,,11077.0,
19,,,,第3节,69.5,0.83,-69.5,0.83,151.5,0.83,153.5,0.83,69.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,28.0,0,,11077.0,
20,,,,第3节,69.5,0.83,-69.5,0.83,153.5,0.83,153.5,0.83,153.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,28.0,0,,11077.0,
21,,,,第3节,69.5,0.83,-69.5,0.83,153.5,0.83,153.5,0.83,153.5,,,10.0,2,17.0,8.0,2.0,2,5,3.0,1.0,0.0,40.0,33.3,24.0,66.0,0.0,1,5.0,24.0,0,,11077.0,
