,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XY
28,,,,第2节,12.5,0.83,-12.5,0.83,128.5,0.83,128.5,0.83,128.5,,0.0,,24.0,31.0,0.0,1,2.0,22.0,0,,11077.0,0.0,0.0,
29,,,,第2节,12.5,0.8,-11.5,0.87,128.5,0.83,128.5,0.83,-11.5,,0.0,,24.0,31.0,0.0,1,2.0,22.0,0,,11077.0,0.0,0.0,
30,,,,第2节,11.5,0.8,-11.5,0.87,128.5,0.83,130.5,0.83,11.5,,0.0,,24.0,31.0,0.0,1,2.0,22.0,0,,11077.0,0.0,0.0,
31,,,,第2节,11.5,0.8,-11.5,0.87,130.5,0.83,130.5,0.83,130.5,,0.0,,24.0,31.0,0.0,1,2.0,22.0,0,,11077.0,0.0,0.0,
32,,,,第2节,11.5,0.8,-11.5,0.87,130.5,0.83,130.5,0.83,130.5,,0.0,,24.0,31.0,0.0,1,2.0,22.0,0,,11077.0,0.0,0.0,
33,,,,第2节,11.5,0.83,-10.5,0.83,130.5,0.83,130.5,0.83,-10.5,,0.0,,24.0,31.0,0.0,1,2.0,22.0,0,,11077.0,0.0,0.0,
34,,,,第2节,10.5,0.83,-10.5,0.83,130.5,0.83,129.5,0.83,10.5,,0.0,,24.0,31.0,0.0,1,2.0,22.0,0,,11077.0,0.0,0.0,
35,,,,第2节,10.5,0.83,-10.5,0.83,129.5,0.83,129.5,0.83,129.5,,0.0,,24.0,31.0,0.0,1,2.0,22.0,0,,11077.0,0.0,0.0,
36,,,,第2节,10.5,0.83,-10.5,0.83,129.5,0.83,129.5,0.83,129.5,,0.0,,24.0,31.0,0.0,1,2.0,4.0,0,,11077.0,0.0,0.0,
37,,,,第2节,10.5,0.83,-10.5,0.83,129.5,0.83,129.5,0.83,129.5,,0.0,,24.0,31.0,0.0,1,2.0,4.0,0,,11094.0,0.0,0.0,"0.72,0.68"
38,,,,第2节,10.5,0.83,-10.5,0.83,129.5,0.83,129.5,0.83,129.5,,0.0,,24.0,31.0,0.0,1,2.0,4.0,0,,21077.0,0.0,0.0,
39,,,,第2节,10.5,0.83,-10.5,0.83,129.5,0.83,129.5,0.83,129.5,,0.0,,24.0,31.0,0.0,1,2.0,4.0,0,,21095.0,0.0,0.0,"0.09,0.48"
